NUM	TEXT	NUM	NUM	NUM	TEXT	NUM
属性表索引Index(无特珠意义)	属性名称	属性类别(0：基础属性；1：激活属性)	属性ID	属性值	部件	随机权重
1	力量	0	0	100	1~12|20~29|35~46	1
2	力量	0	0	80	1~12|20~29|35~46	1
3	力量	0	0	60	1~12|20~29|35~46	1
4	力量	0	0	40	1~12|20~29|35~46	1
5	力量	0	0	20	1~12|20~29|35~46	1
6	敏捷	0	2	100	1~12|20~29|35~46	1
7	敏捷	0	2	80	1~12|20~29|35~46	1
8	敏捷	0	2	60	1~12|20~29|35~46	1
9	敏捷	0	2	40	1~12|20~29|35~46	1
10	敏捷	0	2	20	1~12|20~29|35~46	1
11	智力	0	4	100	1~12|20~29|35~46	1
12	智力	0	4	80	1~12|20~29|35~46	1
13	智力	0	4	60	1~12|20~29|35~46	1
14	智力	0	4	40	1~12|20~29|35~46	1
15	智力	0	4	20	1~12|20~29|35~46	1
16	体质	0	6	100	1~12|20~29|35~46	1
17	体质	0	6	80	1~12|20~29|35~46	1
18	体质	0	6	60	1~12|20~29|35~46	1
19	体质	0	6	40	1~12|20~29|35~46	1
20	体质	0	6	20	1~12|20~29|35~46	1
21	全属	0	8	1000	1~12|20~29|35~46	10000
22	全属	0	8	48	1~12|20~29|35~46	1
23	全属	0	8	36	1~12|20~29|35~46	1
24	全属	0	8	24	1~12|20~29|35~46	1
25	全属	0	8	12	1~12|20~29|35~46	1
26	近攻	0	12	60	1~12|20~29|35~46	1
27	近攻	0	12	48	1~12|20~29|35~46	1
28	近攻	0	12	36	1~12|20~29|35~46	1
29	近攻	0	12	24	1~12|20~29|35~46	1
30	近攻	0	12	12	1~12|20~29|35~46	1
31	远攻	0	14	60	1~12|20~29|35~46	1
32	远攻	0	14	48	1~12|20~29|35~46	1
33	远攻	0	14	36	1~12|20~29|35~46	1
34	远攻	0	14	24	1~12|20~29|35~46	1
35	远攻	0	14	12	1~12|20~29|35~46	1
36	魔攻	0	10	60	1~12|20~29|35~46	1
37	魔攻	0	10	48	1~12|20~29|35~46	1
38	魔攻	0	10	36	1~12|20~29|35~46	1
39	魔攻	0	10	24	1~12|20~29|35~46	1
40	魔攻	0	10	12	1~12|20~29|35~46	1
41	近防	0	18	80	1~12|20~29|35~46	1
42	近防	0	18	65	1~12|20~29|35~46	1
43	近防	0	18	50	1~12|20~29|35~46	1
44	近防	0	18	35	1~12|20~29|35~46	1
45	近防	0	18	20	1~12|20~29|35~46	1
46	远防	0	20	80	1~12|20~29|35~46	1
47	远防	0	20	65	1~12|20~29|35~46	1
48	远防	0	20	50	1~12|20~29|35~46	1
49	远防	0	20	35	1~12|20~29|35~46	1
50	远防	0	20	20	1~12|20~29|35~46	1
51	魔防	0	16	80	1~12|20~29|35~46	1
52	魔防	0	16	65	1~12|20~29|35~46	1
53	魔防	0	16	50	1~12|20~29|35~46	1
54	魔防	0	16	35	1~12|20~29|35~46	1
55	魔防	0	16	20	1~12|20~29|35~46	1
56	血上限	0	22	600	1~12|20~29|35~46	1
57	血上限	0	22	480	1~12|20~29|35~46	1
58	血上限	0	22	360	1~12|20~29|35~46	1
59	血上限	0	22	240	1~12|20~29|35~46	1
60	血上限	0	22	120	1~12|20~29|35~46	1
61	暴击	1	53	500	1~12|20~29|35~46	1
62	暴击	1	53	3	1~12|20~29|35~46	1
63	暴击	1	53	3	1~12|20~29|35~46	1
64	韧性	1	54	3	1~12|20~29|35~46	1
65	韧性	1	54	3	1~12|20~29|35~46	1
66	韧性	1	54	3	1~12|20~29|35~46	1
67	命中	1	50	3	1~12|20~29|35~46	1
68	命中	1	50	3	1~12|20~29|35~46	1
69	闪避	1	51	3	1~12|20~29|35~46	1
70	闪避	1	51	3	1~12|20~29|35~46	1
71	闪避	1	51	3	1~12|20~29|35~46	1
72	暴伤	1	97	1000	1~12|35~46	1
73	暴伤	1	97	10	1~12|35~46	1
74	暴伤	1	97	10	1~12|35~46	1
75	暴伤	1	97	10	1~12|35~46	1
76	暴伤	1	97	10	1~12|35~46	1
77	生命回复	1	94	100	24	1
78	怒气回复	1	38	1	24	1
79	能量回复	1	39	3	24	1
80	箭支回复	1	40	1	24	1
81	子弹回复	1	41	1	24	1
82	魔法恢复	1	42	100	24	1
83	灵力回复	1	43	100	24	1
84	移动速度	1	88	5000	27	10000
85	移动速度	1	88	700	27	1
86	移动速度	1	88	700	27	1
87	移动速度	1	88	700	27	1
88	移动速度	1	88	700	27	1
89	减免武士伤害	1	109	3	1~12|20~29|35~46	1
90	减免武士伤害	1	109	2	1~12|20~29|35~46	1
91	减免武士伤害	1	109	1	1~12|20~29|35~46	1
92	减免剑侠伤害	1	110	3	1~12|20~29|35~46	1
93	减免剑侠伤害	1	110	2	1~12|20~29|35~46	1
94	减免剑侠伤害	1	110	1	1~12|20~29|35~46	1
95	减免骑射手伤害	1	111	3	1~12|20~29|35~46	1
96	减免骑射手伤害	1	111	2	1~12|20~29|35~46	1
97	减免骑射手伤害	1	111	1	1~12|20~29|35~46	1
98	减免火枪手伤害	1	112	3	1~12|20~29|35~46	1
99	减免火枪手伤害	1	112	2	1~12|20~29|35~46	1
100	减免火枪手伤害	1	112	1	1~12|20~29|35~46	1
101	减免先知伤害	1	113	3	1~12|20~29|35~46	1
102	减免先知伤害	1	113	2	1~12|20~29|35~46	1
103	减免先知伤害	1	113	1	1~12|20~29|35~46	1
104	减免萨满伤害	1	114	3	1~12|20~29|35~46	1
105	减免萨满伤害	1	114	2	1~12|20~29|35~46	1
106	减免萨满伤害	1	114	1	1~12|20~29|35~46	1
107	减免十字军伤害	1	211	3	1~12|20~29|35~46	1
108	减免十字军伤害	1	211	2	1~12|20~29|35~46	1
109	减免十字军伤害	1	211	1	1~12|20~29|35~46	1
110	减免圣火使伤害	1	212	3	1~12|20~29|35~46	1
111	减免圣火使伤害	1	212	2	1~12|20~29|35~46	1
112	减免圣火使伤害	1	212	1	1~12|20~29|35~46	1
113	减免刺客伤害	1	213	3	1~12|20~29|35~46	1
114	减免刺客伤害	1	213	2	1~12|20~29|35~46	1
115	减免刺客伤害	1	213	1	1~12|20~29|35~46	1
116	减免近卫军伤害	1	214	3	1~12|20~29|35~46	1
117	减免近卫军伤害	1	214	2	1~12|20~29|35~46	1
118	减免近卫军伤害	1	214	1	1~12|20~29|35~46	1
119	减免隐修士伤害	1	215	3	1~12|20~29|35~46	1
120	减免隐修士伤害	1	215	2	1~12|20~29|35~46	1
121	减免隐修士伤害	1	215	1	1~12|20~29|35~46	1
122	减免僧侣伤害	1	216	3	1~12|20~29|35~46	1
123	减免僧侣伤害	1	216	2	1~12|20~29|35~46	1
124	减免僧侣伤害	1	216	1	1~12|20~29|35~46	1
125	近程减免	1	149	3	1~12|20~29|35~46	1
126	近程减免	1	149	3	1~12|20~29|35~46	1
127	近程减免	1	149	3	1~12|20~29|35~46	1
128	远程减免	1	150	3	1~12|20~29|35~46	1
129	远程减免	1	150	3	1~12|20~29|35~46	1
130	远程减免	1	150	3	1~12|20~29|35~46	1
131	魔法减免	1	151	3	1~12|20~29|35~46	1
132	魔法减免	1	151	3	1~12|20~29|35~46	1
133	魔法减免	1	151	3	1~12|20~29|35~46	1
134	近程反免	1	201	5	1~12|20~29|35~46	1
135	近程反免	1	201	5	1~12|20~29|35~46	1
136	近程反免	1	201	5	1~12|20~29|35~46	1
137	近程反免	1	201	5	1~12|20~29|35~46	1
138	近程反免	1	201	5	1~12|20~29|35~46	1
139	远程反免	1	202	5	1~12|20~29|35~46	1
140	远程反免	1	202	5	1~12|20~29|35~46	1
141	远程反免	1	202	5	1~12|20~29|35~46	1
142	远程反免	1	202	5	1~12|20~29|35~46	1
143	远程反免	1	202	10	1~12|20~29|35~46	1000
144	魔法反免	1	203	5	1~12|20~29|35~46	1
145	魔法反免	1	203	5	1~12|20~29|35~46	1
146	魔法反免	1	203	5	1~12|20~29|35~46	1
147	魔法反免	1	203	5	1~12|20~29|35~46	1
148	魔法反免	1	203	5	1~12|20~29|35~46	1
149	三系减免	1	163	2	1~12|20~29|35~46	1
150	三系减免	1	163	2	1~12|20~29|35~46	1
151	增加经验获得	1	115	3	28	1
152	增加经验获得	1	115	3	28	1
153	增加经验获得	1	115	3	28	1
154	增强对武士伤害	1	225	3	1~12|20~29|35~46	1
155	增强对武士伤害	1	225	2	1~12|20~29|35~46	1
156	增强对武士伤害	1	225	1	1~12|20~29|35~46	1
157	增强对剑侠伤害	1	226	3	1~12|20~29|35~46	1
158	增强对剑侠伤害	1	226	2	1~12|20~29|35~46	1
159	增强对剑侠伤害	1	226	1	1~12|20~29|35~46	1
160	增强对骑射手伤害	1	227	3	1~12|20~29|35~46	1
161	增强对骑射手伤害	1	227	2	1~12|20~29|35~46	1
162	增强对骑射手伤害	1	227	1	1~12|20~29|35~46	1
163	增强对火枪手伤害	1	228	3	1~12|20~29|35~46	1
164	增强对火枪手伤害	1	228	2	1~12|20~29|35~46	1
165	增强对火枪手伤害	1	228	1	1~12|20~29|35~46	1
166	增强对先知伤害	1	229	3	1~12|20~29|35~46	1
167	增强对先知伤害	1	229	2	1~12|20~29|35~46	1
168	增强对先知伤害	1	229	1	1~12|20~29|35~46	1
169	增强对萨满伤害	1	230	3	1~12|20~29|35~46	1
170	增强对萨满伤害	1	230	2	1~12|20~29|35~46	1
171	增强对萨满伤害	1	230	1	1~12|20~29|35~46	1
172	增强对十字军伤害	1	231	3	1~12|20~29|35~46	1
173	增强对十字军伤害	1	231	2	1~12|20~29|35~46	1
174	增强对十字军伤害	1	231	1	1~12|20~29|35~46	1
175	增强对圣火使伤害	1	232	3	1~12|20~29|35~46	1
176	增强对圣火使伤害	1	232	2	1~12|20~29|35~46	1
177	增强对圣火使伤害	1	232	1	1~12|20~29|35~46	1
178	增强对刺客伤害	1	233	3	1~12|20~29|35~46	1
179	增强对刺客伤害	1	233	2	1~12|20~29|35~46	1
180	增强对刺客伤害	1	233	1	1~12|20~29|35~46	1
181	增强对近卫军伤害	1	234	3	1~12|20~29|35~46	1
182	增强对近卫军伤害	1	234	2	1~12|20~29|35~46	1
183	增强对近卫军伤害	1	234	1	1~12|20~29|35~46	1
184	增强对隐修士伤害	1	235	3	1~12|20~29|35~46	1
185	增强对隐修士伤害	1	235	2	1~12|20~29|35~46	1
186	增强对隐修士伤害	1	235	1	1~12|20~29|35~46	1
187	增强对僧侣伤害	1	236	3	1~12|20~29|35~46	1
188	增强对僧侣伤害	1	236	2	1~12|20~29|35~46	1
189	增强对僧侣伤害	1	236	1	1~12|20~29|35~46	1
