NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
索引	库ID	库概率（采集）	库概率（定时）	类型（仅标志，无实际使用）	怪物ID	怪物最小等级	怪物最大等级	基础ai	扩展ai	朝向	最小数量	最大数量	逗留时间(s)
#经验小鬼													
0	0	30	0	0	62825	30	35	8	-1	18	2	3	30
1	0	30	0	0	62826	35	40	8	-1	40	2	3	30
2	0	30	0	0	62827	40	45	8	-1	18	2	3	30
3	0	30	0	0	62828	45	50	8	-1	18	2	3	30
4	0	30	0	0	62829	50	55	8	-1	40	2	3	30
5	0	30	0	0	62830	55	60	8	-1	18	2	3	30
6	0	30	0	0	62831	60	65	8	-1	18	2	3	30
7	0	30	0	0	62832	65	70	8	-1	40	2	3	30
8	0	30	0	0	62833	70	75	8	-1	18	2	3	30
9	0	30	0	0	62834	75	80	8	-1	18	2	3	30
10	0	30	0	0	62835	80	85	8	-1	40	2	3	30
11	0	30	0	0	62836	85	90	8	-1	18	2	3	30
12	0	30	0	0	62837	90	95	8	-1	33	2	3	30
13	0	30	0	0	62838	95	100	8	-1	18	2	3	30
14	0	30	0	0	62839	100	105	8	-1	40	2	3	30
15	0	30	0	0	62840	105	110	8	-1	18	2	3	30
16	0	30	0	0	62841	110	115	8	-1	18	2	3	30
17	0	30	0	0	62842	115	120	8	-1	40	2	3	30
18	0	30	0	0	62843	120	125	8	-1	18	2	3	30
19	0	30	0	0	62844	125	130	8	-1	18	2	3	30
20	0	30	0	0	62845	130	135	8	-1	40	2	3	30
21	0	30	0	0	62846	135	140	8	-1	18	2	3	30
22	0	30	0	0	62847	140	145	8	-1	40	2	3	30
23	0	30	0	0	62848	145	150	8	-1	18	2	3	30
24	0	30	0	0	62849	150	155	8	-1	18	2	3	30
25	0	30	0	0	62850	155	160	8	-1	40	2	3	30
26	0	30	0	0	62851	160	165	8	-1	18	2	3	30
#声望小鬼													
27	1	30	0	0	62852	30	35	8	-1	18	2	3	30
28	1	30	0	0	62853	35	40	8	-1	40	2	3	30
29	1	30	0	0	62854	40	45	8	-1	18	2	3	30
30	1	30	0	0	62855	45	50	8	-1	18	2	3	30
31	1	30	0	0	62856	50	55	8	-1	40	2	3	30
32	1	30	0	0	62857	55	60	8	-1	18	2	3	30
33	1	30	0	0	62858	60	65	8	-1	18	2	3	30
34	1	30	0	0	62859	65	70	8	-1	40	2	3	30
35	1	30	0	0	62860	70	75	8	-1	18	2	3	30
36	1	30	0	0	62861	75	80	8	-1	18	2	3	30
37	1	30	0	0	62862	80	85	8	-1	40	2	3	30
38	1	30	0	0	62863	85	90	8	-1	18	2	3	30
39	1	30	0	0	62864	90	95	8	-1	33	2	3	30
40	1	30	0	0	62865	95	100	8	-1	18	2	3	30
41	1	30	0	0	62866	100	105	8	-1	40	2	3	30
42	1	30	0	0	62867	105	110	8	-1	18	2	3	30
43	1	30	0	0	62868	110	115	8	-1	18	2	3	30
44	1	30	0	0	62869	115	120	8	-1	40	2	3	30
45	1	30	0	0	62870	120	125	8	-1	18	2	3	30
46	1	30	0	0	62871	125	130	8	-1	18	2	3	30
47	1	30	0	0	62872	130	135	8	-1	40	2	3	30
48	1	30	0	0	62873	135	140	8	-1	18	2	3	30
49	1	30	0	0	62874	140	145	8	-1	40	2	3	30
50	1	30	0	0	62875	145	150	8	-1	18	2	3	30
51	1	30	0	0	62876	150	155	8	-1	18	2	3	30
52	1	30	0	0	62877	155	160	8	-1	40	2	3	30
53	1	30	0	0	62878	160	165	8	-1	18	2	3	30
#银卡小鬼													
54	2	25	0	0	62879	30	35	8	-1	18	2	3	30
55	2	25	0	0	62880	35	40	8	-1	40	2	3	30
56	2	25	0	0	62881	40	45	8	-1	18	2	3	30
57	2	25	0	0	62882	45	50	8	-1	18	2	3	30
58	2	25	0	0	62883	50	55	8	-1	40	2	3	30
59	2	25	0	0	62884	55	60	8	-1	18	2	3	30
60	2	25	0	0	62885	60	65	8	-1	18	2	3	30
61	2	25	0	0	62886	65	70	8	-1	40	2	3	30
62	2	25	0	0	62887	70	75	8	-1	18	2	3	30
63	2	25	0	0	62888	75	80	8	-1	18	2	3	30
64	2	25	0	0	62889	80	85	8	-1	40	2	3	30
65	2	25	0	0	62890	85	90	8	-1	18	2	3	30
66	2	25	0	0	62891	90	95	8	-1	33	2	3	30
67	2	25	0	0	62892	95	100	8	-1	18	2	3	30
68	2	25	0	0	62893	100	105	8	-1	40	2	3	30
69	2	25	0	0	62894	105	110	8	-1	18	2	3	30
70	2	25	0	0	62895	110	115	8	-1	18	2	3	30
71	2	25	0	0	62896	115	120	8	-1	40	2	3	30
72	2	25	0	0	62897	120	125	8	-1	18	2	3	30
73	2	25	0	0	62898	125	130	8	-1	18	2	3	30
74	2	25	0	0	62899	130	135	8	-1	40	2	3	30
75	2	25	0	0	62900	135	140	8	-1	18	2	3	30
76	2	25	0	0	62901	140	145	8	-1	40	2	3	30
77	2	25	0	0	62902	145	150	8	-1	18	2	3	30
78	2	25	0	0	62903	150	155	8	-1	18	2	3	30
79	2	25	0	0	62904	155	160	8	-1	40	2	3	30
80	2	25	0	0	62905	160	165	8	-1	18	2	3	30
#高物防BOSS													
81	3	5	0	0	62906	30	35	1	-1	18	1	1	600
82	3	5	0	0	62907	35	40	1	-1	40	1	1	600
83	3	5	0	0	62908	40	45	1	-1	18	1	1	600
84	3	5	0	0	62909	45	50	1	-1	18	1	1	600
85	3	5	0	0	62910	50	55	1	-1	40	1	1	600
86	3	5	0	0	62911	55	60	1	-1	18	1	1	600
87	3	5	0	0	62912	60	65	1	-1	18	1	1	600
88	3	5	0	0	62913	65	70	1	-1	40	1	1	600
89	3	5	0	0	62914	70	75	1	-1	18	1	1	600
90	3	5	0	0	62915	75	80	1	-1	18	1	1	600
91	3	5	0	0	62916	80	85	1	-1	40	1	1	600
92	3	5	0	0	62917	85	90	1	-1	18	1	1	600
93	3	5	0	0	62918	90	95	1	-1	33	1	1	600
94	3	5	0	0	62919	95	100	1	-1	18	1	1	600
95	3	5	0	0	62920	100	105	1	-1	40	1	1	600
96	3	5	0	0	62921	105	110	1	-1	18	1	1	600
97	3	5	0	0	62922	110	115	1	-1	18	1	1	600
98	3	5	0	0	62923	115	120	1	-1	40	1	1	600
99	3	5	0	0	62924	120	125	1	-1	18	1	1	600
100	3	5	0	0	62925	125	130	1	-1	18	1	1	600
101	3	5	0	0	62926	130	135	1	-1	40	1	1	600
102	3	5	0	0	62927	135	140	1	-1	18	1	1	600
103	3	5	0	0	62928	140	145	1	-1	40	1	1	600
104	3	5	0	0	62929	145	150	1	-1	18	1	1	600
105	3	5	0	0	62930	150	155	1	-1	18	1	1	600
106	3	5	0	0	62931	155	160	1	-1	40	1	1	600
107	3	5	0	0	62932	160	165	1	-1	18	1	1	600
#高远防BOSS													
108	4	5	0	0	62933	30	35	1	-1	18	1	1	600
109	4	5	0	0	62934	35	40	1	-1	40	1	1	600
110	4	5	0	0	62935	40	45	1	-1	18	1	1	600
111	4	5	0	0	62936	45	50	1	-1	18	1	1	600
112	4	5	0	0	62937	50	55	1	-1	40	1	1	600
113	4	5	0	0	62938	55	60	1	-1	18	1	1	600
114	4	5	0	0	62939	60	65	1	-1	18	1	1	600
115	4	5	0	0	62940	65	70	1	-1	40	1	1	600
116	4	5	0	0	62941	70	75	1	-1	18	1	1	600
117	4	5	0	0	62942	75	80	1	-1	18	1	1	600
118	4	5	0	0	62943	80	85	1	-1	40	1	1	600
119	4	5	0	0	62944	85	90	1	-1	18	1	1	600
120	4	5	0	0	62945	90	95	1	-1	33	1	1	600
121	4	5	0	0	62946	95	100	1	-1	18	1	1	600
122	4	5	0	0	62947	100	105	1	-1	40	1	1	600
123	4	5	0	0	62948	105	110	1	-1	18	1	1	600
124	4	5	0	0	62949	110	115	1	-1	18	1	1	600
125	4	5	0	0	62950	115	120	1	-1	40	1	1	600
126	4	5	0	0	62951	120	125	1	-1	18	1	1	600
127	4	5	0	0	62952	125	130	1	-1	18	1	1	600
128	4	5	0	0	62953	130	135	1	-1	40	1	1	600
129	4	5	0	0	62954	135	140	1	-1	18	1	1	600
130	4	5	0	0	62955	140	145	1	-1	40	1	1	600
131	4	5	0	0	62956	145	150	1	-1	18	1	1	600
132	4	5	0	0	62957	150	155	1	-1	18	1	1	600
133	4	5	0	0	62958	155	160	1	-1	40	1	1	600
134	4	5	0	0	62959	160	165	1	-1	18	1	1	600
#高魔防BOSS													
135	5	5	0	0	62960	30	35	1	-1	18	1	1	600
136	5	5	0	0	62961	35	40	1	-1	40	1	1	600
137	5	5	0	0	62962	40	45	1	-1	18	1	1	600
138	5	5	0	0	62963	45	50	1	-1	18	1	1	600
139	5	5	0	0	62964	50	55	1	-1	40	1	1	600
140	5	5	0	0	62965	55	60	1	-1	18	1	1	600
141	5	5	0	0	62966	60	65	1	-1	18	1	1	600
142	5	5	0	0	62967	65	70	1	-1	40	1	1	600
143	5	5	0	0	62968	70	75	1	-1	18	1	1	600
144	5	5	0	0	62969	75	80	1	-1	18	1	1	600
145	5	5	0	0	62970	80	85	1	-1	40	1	1	600
146	5	5	0	0	62971	85	90	1	-1	18	1	1	600
147	5	5	0	0	62972	90	95	1	-1	33	1	1	600
148	5	5	0	0	62973	95	100	1	-1	18	1	1	600
149	5	5	0	0	62974	100	105	1	-1	40	1	1	600
150	5	5	0	0	62975	105	110	1	-1	18	1	1	600
151	5	5	0	0	62976	110	115	1	-1	18	1	1	600
152	5	5	0	0	62977	115	120	1	-1	40	1	1	600
