NUM	TEXT	NUM	NUM
编号	玩法名称	玩法ID	是否打开
1	四大法王	1001	0
2	赵王府斗戏	1002	0
3	银票换银卡	1003	1
4	相国寺比武	1004	0
5	生死财神	1005	0
6	益者三友	1006	1
7	天坛灯谜会	1007	1
8	领取国运补偿	1008	1
9	领取出国补偿	1009	1
10	大内密探	1010	0
11	紫青宝剑	1011	0
12	谍影重重	1012	0
13	倾城火雷	1013	0
14	东海海图	1014	0
15	黄道吉日	1015	0
16	副本答题机制	1016	0
17	收集神木	1017	1
18	黑金任务答题	1018	1
19	乌龙词典	1019	1
20	登录答题	1020	1
21	弱国任务	1021	0
22	现金副本	1022	1
23	新兵速成	1023	0
24	圣女之选	1024	0
25	心诚则灵	1025	0
26	屠城战	1026	1
27	内政任务	1027	1
28	冲星大礼包	1028	1
29	帮会跑钱	1029	1
30	军需武备	1030	1
31	弹劾国王	1031	0
32	弹劾帮主	1032	1
33	国民津贴领取	1033	1
34	帮会津贴领取	1034	1
35	智力竞赛排行榜	1035	1
36	CDKEY领奖	1036	1
37	师徒任务	1037	1
38	猜谜	1038	1
39	暴龙大作战	1039	1
40	抢箱子	1040	1
41	游乐场彩票	1041	1
42	游乐场泡澡	1042	1
43	大观园彩票	1043	1
44	大观园泡澡	1044	1
45	大观园挖宝大赛	1045	1
46	大观园镇魔除妖	1046	1
47	领地金钱津贴	1047	1
48	领地经验津贴	1048	1
49	领地图腾进贡	1050	1
50	大观园买生命琼浆	1051	1
51	天赋修行学习（帮会）	1052	1
52	天赋修行学习（个人）	1053	1
53	天赋平衡学习	1054	1
54	骑乘炼化	1055	1
55	节日领奖	1056	1
56	帮会发展基金	1057	0
57	天赋专攻重置	1058	1
58	天赋专防重置	1059	1
60	防御之路	1060	1
61	跨服2v2进入开关	1061	1
62	帮会神兽中途经验	1062	1
63	师徒任务中途答题	1063	1
64	帮会密令	1064	1
65	脱机经验	1065	0
66	弱国令	1066	1
67	随机精英怪	1067	1
68	进入场景触发随机怪物	1068	1
69	紫色Boss	1069	1
70	新年刷怪	1070	1
71	黄金纪念币	1071	1
72	成吉思汗周年庆典	1072	1
73	脱机消费银币	1073	0
74	人物技能记录	1074	1
75	春节活动——天降年兽	1075	1
76	春节活动——年兽袭城	1076	1
77	元宵活动	1077	1
78	情人节活动	1078	1
79	春节商店	1079	1
80	春节玩法补偿	1080	1
81	春节舞厅补偿	1081	1
82	领取军饷	1082	1
83	大对决领奖	1083	1
84	跨服6V6	1084	0
85	大对决玩法开启	1085	1
86	大对决运镖任务	1086	1
87	大对决搬砖	1087	1
88	图腾搬砖	1088	1
89	捐献仲夏娱乐币	1089	1
90	兑换四级冥铁	1090	1
91	五一在线领奖	1091	1
92	青龙守护津贴	1092	1
93	朱雀守护津贴	1093	1
94	战车令	1094	1
95	仲夏嘉年华（游行）	1095	1
96	跨服帮会战	1096	0
97	帮会战	1097	1
98	改变国籍	1098	1
99	赛马大会	1099	1
100	浮屠塔代刷	1100	1
101	挂酒版新兵速成	1101	1
102	新服冲级赛	1102	1
103	浮屠塔进入挑战	1103	1
104	临时兑换神器	1104	1
105	后花园神秘商人	2001	
106	沙城神秘商店	2003	
107	双人战场	2004	1
108	宝石抛光雕琢商店	2005	1
109	活动开创新世纪	2010	1
110	跨界之王	2006	0
