NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	TEXT	NUM	NUM	NUM
recordid	templateid	script	state	event	random	hp	checkOpt	arg0	arg1	arg2	times	opt0	arg0	arg1	arg2	opt1	arg0	arg1	arg2	opt2	arg0	arg1	arg2
1	0	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	1	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	901	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	2	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	902	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	3	-1	Combat	-1	-1	-1	-1	-1	-1	-1	5	BehaviorStateToSkill	903	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	3	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	4	-1	Combat	-1	-1	-1	-1	-1	-1	-1	5	BehaviorStateToSkill	904	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	4	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	901	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	5	-1	Combat	-1	-1	-1	-1	-1	-1	-1	5	BehaviorStateToSkill	905	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	5	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	902	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	6	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	906	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	7	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	926	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	10	-1	Combat	-1	-1	50	-1	-1	-1	-1	-1	BehaviorStateToSkill	2001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	10	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	50	-1	Combat	-1	-1	5	-1	-1	-1	-1	1	BehaviorStateToFlee	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	50	-1	Combat	-1	-1	60	-1	-1	-1	-1	-1	BehaviorStateToSkill	1009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	50	-1	Combat	-1	-1	90	-1	-1	-1	-1	-1	BehaviorStateToSkill	1002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	50	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	51	-1	Combat	-1	-1	30	-1	-1	-1	-1	-1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	51	-1	Combat	-1	-1	50	-1	-1	-1	-1	-1	BehaviorStateToSkill	1012	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	51	-1	Combat	-1	-1	95	-1	-1	-1	-1	-1	BehaviorStateToSkill	1013	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	51	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	901	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	52	-1	Combat	-1	-1	10	-1	-1	-1	-1	1	BehaviorStateToSkill	1003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	52	-1	Combat	-1	-1	55	-1	-1	-1	-1	-1	BehaviorStateToSkill	2002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	52	-1	Combat	-1	-1	80	-1	-1	-1	-1	-1	BehaviorStateToSkill	1003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	52	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	902	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	53	-1	Combat	-1	-1	53	-1	-1	-1	-1	-1	BehaviorStateToSkill	1016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	53	-1	Combat	-1	-1	60	-1	-1	-1	-1	-1	BehaviorStateToSkill	3003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	53	-1	Combat	-1	-1	90	-1	-1	-1	-1	-1	BehaviorStateToSkill	1002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	53	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	54	-1	Combat	-1	-1	15	-1	-1	-1	-1	1	BehaviorStateToSkill	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	54	-1	Combat	-1	-1	60	-1	-1	-1	-1	-1	BehaviorStateToSkill	2001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	54	-1	Combat	-1	-1	95	-1	-1	-1	-1	-1	BehaviorStateToSkill	1008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	54	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	902	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	55	-1	Combat	-1	-1	20	-1	-1	-1	-1	1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	55	-1	Combat	-1	-1	50	-1	-1	-1	-1	1	BehaviorStateToSkill	3001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	55	-1	Combat	-1	-1	75	-1	-1	-1	-1	1	BehaviorStateToSkill	4003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	55	-1	Combat	-1	-1	90	-1	-1	-1	-1	1	BehaviorStateToSkill	1015	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	55	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	901	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	56	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	3001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	56	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	57	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	58	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	58	-1	Combat	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSpeak	54	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	58	-1	Combat	-1	5	-1	-1	-1	-1	-1	-1	BehaviorStateToSpeak	49	3	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	59	-1	Combat	-1	-1	30	-1	-1	-1	-1	1	BehaviorStateToSpeak	68	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
46	59	-1	Combat	-1	-1	60	-1	-1	-1	-1	1	BehaviorStateToSpeak	67	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	59	-1	Combat	-1	-1	79	-1	-1	-1	-1	-1	BehaviorStateToSkill	2001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
