NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	4295	-1	-1	奥尔格勒	总务大臣	73.056129	40.889984	19	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
1	2	4293	-1	-1	郭守礼	内务大臣	54.762119	40.699806	34	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
2	3	4288	-1	-1	禁军左卫		55.33268	74.551727	30	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
3	4	4290	-1	-1	禁军右卫		73.073685	74.738777	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
4	5	4280	-1	-1	呼伦王子		42.499596	25.162695	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
5	6	4282	-1	-1	呼和王子		83.625534	23.807102	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
6	7	4275	-1	-1	鄂敏郡主		42.887726	28.338369	6	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
7	8	4276	-1	-1	纳兰郡主		85.111038	27.207144	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
8	9	4268	-1	-1	蓝琪尔格格		41.340195	26.706083	3	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
9	10	4266	-1	-1	莎林娜格格		85.500885	24.470266	21	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
10	11	4259	-1	-1	王后		64.022469	17.251358	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
11	12	4214	-1	-1	王国大将军		63.885818	27.890381	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
12	13	4207	-1	-1	王国右相		71.602318	23.214958	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
13	14	4206	-1	-1	查干王子		73.139053	34.150082	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
14	15	4205	-1	-1	阿古拉小王爷		55.018349	34.316051	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
15	16	4204	-1	-1	王国左丞		56.5009	22.847168	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
16	17	4317	-1	-1	王宫禁卫军头领		75.934464	32.294987	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
17	18	4317	-1	-1	王宫禁卫军头领		52.514061	31.932877	31	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
18	19	4317	-1	-1	王宫禁卫军头领		73.608444	85.997406	21	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
19	20	4317	-1	-1	王宫禁卫军头领		57.541092	114.250641	3	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
20	21	4316	-1	-1	王宫禁卫军		50.578182	14.510664	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
21	22	4316	-1	-1	王宫禁卫军		41.689396	38.41502	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
22	23	4316	-1	-1	王宫禁卫军		50.936474	21.344814	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
23	24	4316	-1	-1	王宫禁卫军		41.55162	52.031757	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
24	25	4316	-1	-1	王宫禁卫军		57.989857	25.906694	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
25	26	4316	-1	-1	王宫禁卫军		41.506161	64.976044	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
26	27	4316	-1	-1	王宫禁卫军		50.457619	61.943169	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
27	28	4316	-1	-1	王宫禁卫军		41.507835	77.994659	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
28	29	4316	-1	-1	王宫禁卫军		51.006836	72.237457	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
29	30	4316	-1	-1	王宫禁卫军		41.550259	92.004959	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
30	31	4316	-1	-1	王宫禁卫军		50.755505	51.062935	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
31	32	4316	-1	-1	王宫禁卫军		41.587334	105.639442	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
32	33	4316	-1	-1	王宫禁卫军		50.68821	87.839958	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
33	34	4316	-1	-1	王宫禁卫军		50.50581	100.766571	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
34	35	4316	-1	-1	王宫禁卫军		77.27874	111.540428	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
35	36	4316	-1	-1	王宫禁卫军		77.327171	39.083847	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
36	37	4316	-1	-1	王宫禁卫军		75.487328	82.497658	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
37	38	4316	-1	-1	王宫禁卫军		76.555992	72.604393	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
38	39	4316	-1	-1	王宫禁卫军		77.242981	86.180328	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
39	40	4316	-1	-1	王宫禁卫军		57.672207	118.32486	6	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
40	41	4316	-1	-1	王宫禁卫军		85.983673	38.909878	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
41	42	4316	-1	-1	王宫禁卫军		85.949875	51.923038	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
42	43	4316	-1	-1	王宫禁卫军		85.981682	64.888443	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
43	44	4316	-1	-1	王宫禁卫军		86.023125	79.019951	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
44	45	4316	-1	-1	王宫禁卫军		86.041306	92.363594	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
45	46	4316	-1	-1	王宫禁卫军		85.946312	105.084099	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
46	47	4316	-1	-1	王宫禁卫军		71.459793	118.322029	15	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
47	48	4316	-1	-1	王宫禁卫军		76.980881	99.31292	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
48	49	4316	-1	-1	王宫禁卫军		53.133648	114.194473	3	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
49	50	4316	-1	-1	王宫禁卫军		77.066643	61.795517	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
50	51	4316	-1	-1	王宫禁卫军		77.192665	50.833153	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
51	52	4316	-1	-1	王宫禁卫军		70.306213	25.520899	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
52	53	4316	-1	-1	王宫禁卫军		76.939354	21.886005	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
53	54	4316	-1	-1	王宫禁卫军		77.100876	14.875918	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
54	55	4316	-1	-1	王宫禁卫军		50.53828	39.592964	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
