NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2604	101117	-1	大都·南	大都传送人	128	98	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	2262043	1181	-1	21	安南密探		150.007477	156.705933	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
2	2262043	1181	-1	21	安南密探		156.178085	158.274628	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
3	2262043	1181	-1	21	安南密探		153.806839	153.655411	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
4	15052371	202	141033	20	汉军营士兵		78.151062	175.435532	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
5	15052372	202	141034	20	汉军营士兵		78.280174	185.212173	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
6	15052373	202	141035	20	汉军营士兵		50.246155	176.738922	28	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
7	15052374	202	141036	20	汉军营士兵		40.110168	207.729279	28	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
8	15052375	202	141037	20	汉军营士兵		33.048141	207.783554	28	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
9	15052377	17	141038	20	范崇虎	汉军统领	37.23616	173.247574	28	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	15052378	202	141039	20	汉军营士兵		38.99543	171.308716	28	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
11	15052379	202	141040	20	汉军营士兵		35.259407	171.504974	28	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
12	15052380	9	141041	20	张天宝	汉军营校尉	39.01873	197.615585	18	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
13	15052381	202	141042	20	汉军营士兵		60.799431	173.154022	28	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
14	15052382	202	141043	20	汉军营士兵		68.679977	172.678696	28	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
