NUM	NUM	FLOAT	FLOAT	NUM	NUM	NUM	NUM
NUM	NUM	FLOAT	FLOAT	采集点类型(0标准式1集合式)	种子的数量	种子补充间隔	镜像组Id
1	241	232	105	0	1	-1	
2	241	220	125	0	1	-1	
3	241	225	167	0	1	-1	
4	241	207	100	0	1	-1	
5	241	189	105	0	1	-1	
6	241	196	136	0	1	-1	
7	241	234	184	0	1	-1	
8	241	200	179	0	1	-1	
9	241	189	188	0	1	-1	
10	241	168	163	0	1	-1	
11	241	155	121	0	1	-1	
12	241	138	87	0	1	-1	
13	241	188	60	0	1	-1	
14	241	188	39	0	1	-1	
15	241	134	42	0	1	-1	
16	241	89	39	0	1	-1	
17	241	27	39	0	1	-1	
18	241	48	101	0	1	-1	
19	241	123	106	0	1	-1	
20	241	80	66	0	1	-1	
21	241	123	64	0	1	-1	
22	241	151	47	0	1	-1	
23	241	141	181	0	1	-1	
24	241	127	122	0	1	-1	
25	241	71	163	0	1	-1	
26	241	129	194	0	1	-1	
27	241	179	218	0	1	-1	
28	241	144	227	0	1	-1	
29	241	100	228	0	1	-1	
30	241	62	232	0	1	-1	
31	241	30	232	0	1	-1	
32	241	35	188	0	1	-1	
33	241	29	146	0	1	-1	
34	241	62	134	0	1	-1	
35	323	110.546982	186.95207	1	1	-1	1
36	323	111.553176	200.482681	1	1	-1	1
37	323	97.146157	191.416934	1	1	-1	1
38	323	92.767671	227.75708	1	1	-1	1
39	323	90.739785	216.537861	1	1	-1	1
40	323	98.119568	213.176953	1	1	-1	1
41	323	104.290061	202.250898	1	1	-1	1
42	323	101.080322	206.032075	1	1	-1	1
43	323	93.967256	203.692339	1	1	-1	1
44	323	107.398748	207.518252	1	1	-1	1
45	323	113.185148	207.826299	1	1	-1	1
46	323	101.986875	180.669028	1	1	-1	1
47	325	160.45395	40.808506	1	1	-1	1
48	325	171.839766	27.112432	1	1	-1	1
49	325	177.796221	35.901289	1	1	-1	1
50	325	157.768142	27.50458	1	1	-1	1
51	325	167.458008	34.606025	1	1	-1	1
52	325	152.227798	31.508389	1	1	-1	1
53	325	172.709531	43.545996	1	1	-1	1
54	325	177.292954	41.639512	1	1	-1	1
55	325	165.172463	50.368999	1	1	-1	1
56	325	154.233743	35.342568	1	1	-1	1
57	325	171.261323	46.871123	1	1	-1	1
58	326	45.32083	146.775208	1	1	-1	1
59	326	38.680332	149.402969	1	1	-1	1
60	326	41.166865	139.999023	1	1	-1	1
61	326	53.89686	149.608567	1	1	-1	1
62	326	50.153359	151.280837	1	1	-1	1
63	326	38.807148	155.83252	1	1	-1	1
64	326	48.774805	140.474197	1	1	-1	1
65	326	53.016685	140.827256	1	1	-1	1
66	326	50.822153	142.011672	1	1	-1	1
67	326	45.618633	157.544294	1	1	-1	1
68	326	32.653994	154.678855	1	1	-1	1
69	326	39.642031	165.989128	1	1	-1	1
70	329	99.4477	106.777939	1	1	-1	1
71	329	91.742371	107.288147	1	1	-1	1
72	329	69.995156	107.505989	1	1	-1	1
73	329	62.733066	102.850762	1	1	-1	1
74	329	74.868384	103.921311	1	1	-1	1
75	329	71.59981	112.368096	1	1	-1	1
76	329	79.706826	108.833694	1	1	-1	1
77	329	95.875564	109.657661	1	1	-1	1
78	329	84.839541	104.074807	1	1	-1	1
79	329	61.620293	107.824656	1	1	-1	1
80	329	86.634536	110.717135	1	1	-1	1
81	330	120.638412	72.543047	1	1	-1	1
82	330	99.788315	68.009766	1	1	-1	1
83	330	111.992218	73.281382	1	1	-1	1
84	330	102.633613	73.660171	1	1	-1	1
85	330	107.697777	64.205313	1	1	-1	1
86	330	95.864358	73.752695	1	1	-1	1
87	330	120.126014	64.784082	1	1	-1	1
88	330	88.113213	69.269126	1	1	-1	1
89	330	120.064148	80.973066	1	1	-1	1
90	330	108.402473	81.136577	1	1	-1	1
91	330	117.347212	58.590933	1	1	-1	1
