NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2603	132001	-1	敦煌外城	敦煌王国传送人	128	180	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
1	15052370	224	132154	-1	阿鲁图	运镖回复人	84	90.699997	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	50	0	
2	1886322	212	133539	-1	耶律虞	50级圣山地宫	83.721901	193.462006	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
3	1886323	213	133540	-1	耶律潭	60级圣山地宫	83.261375	184.821472	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
4	1886324	224	133541	-1	耶律修	70级圣山地宫	83.334602	173.645844	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
5	1886325	225	133542	-1	耶律英	75级圣山地宫	83.881699	165.403046	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	75	0	
6	7267810	211	133543	-1	耶律杰	80级圣山地宫	109.174004	202.121002	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
7	7267811	207	133544	-1	耶律睿	85级圣山地宫	99.365097	202.113998	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
8	11245579	87	133545	-1	耶律德	90级圣山地宫	90.239197	201.994003	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
9	8921579	9779	129749	20		屠城战传送石	191	82	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
10	7191855	3840	400040	20			68.839119	191.428009	32	-1	2000	-1	-1	5	0	0	-1	-1	-1	-1	-1	20	0	
11	7191856	3841	400041	20			35.261749	148.547897	32	-1	2000	-1	-1	5	0	1	-1	-1	-1	-1	-1	20	0	
12	7191857	3842	400042	20			108.718002	203.936005	32	-1	2000	-1	-1	5	0	2	-1	-1	-1	-1	-1	20	0	
13	7191858	3843	400043	20			149.274017	195.99942	32	-1	2000	-1	-1	5	0	3	-1	-1	-1	-1	-1	20	0	
14	7191859	3844	400044	20			169.39238	139.993912	32	-1	2000	-1	-1	5	0	4	-1	-1	-1	-1	-1	20	0	
15	7191860	3845	400045	20			41.984268	188.970993	32	-1	2000	-1	-1	5	0	5	-1	-1	-1	-1	-1	20	0	
17	15052372	2403	400731	-1	敦煌御卫		150	95	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
18	15052373	2403	400732	-1	敦煌御卫		150	85	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
19	15052374	2403	400733	-1	敦煌御卫		150	75	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
20	15052375	2403	400734	-1	敦煌御卫		150	65	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
21	15052376	2403	400735	-1	敦煌御卫		150	55	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
23	15052378	2403	400731	-1	敦煌御卫		100	95	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
24	15052379	2403	400732	-1	敦煌御卫		100	85	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
25	15052380	2403	400733	-1	敦煌御卫		100	75	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
26	15052381	2403	400734	-1	敦煌御卫		100	65	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
27	15052382	2403	400735	-1	敦煌御卫		100	55	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
