NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	4497	132000	-1	中心广场	敦煌王国传送人	255	115	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
1	2	4498	101134	-1	灵宝村	敦煌王国传送人	59	119	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
2	3	4499	101135	-1	铁骑镇	敦煌王国传送人	465.202545	42.779842	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
3	4	4500	101136	-1	月牙湾	敦煌王国传送人	116	341	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
4	5	4402	101137	-1	瀚月关	敦煌王国传送人	344	412	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
5	6	4499	101138	-1	南城关隘	敦煌王国传送人	211	275	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
6	7	4500	101139	-1	圣山遗迹	敦煌王国传送人	456	319	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
7	8	1188	132004	-1	都由干	津贴管理人	293.375458	207.44606	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
8	9	1314	132006	-1	撒都尤	杂货商人	213.985641	89.607536	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
9	10	1314	132006	-1	撒都尤	杂货商人	283.765289	168.176636	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
10	11	1322	132008	-1	马哈孜	骑乘繁殖大师	317.800873	118.218163	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
11	12	1319	132009	-1	伊斯马里	骑乘恢复商人	284.232727	125.32547	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
12	13	1318	132010	-1	保备多	藏宝洞传送人	306.907257	59.086525	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
13	14	1311	132011	-1	祖堆莱	轮回台传送人	234.60231	98.811058	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
14	15	4205	132016	-1	巫贤	王城贤者	245	86	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
15	16	4260	132017	-1	伊盛	免费治疗医师	219.938004	166.600006	26	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
16	17	1323	132018	-1	篾筹迪	帮战发布人	297.891144	181.347595	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
17	18	420	132019	-1	都据吉	国战发布人	300.677032	207.908798	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
18	19	4233	132020	-1	壹其座	帮会任务发布人	297.864441	189.24353	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
19	20	4214	132021	-1	固库	国家管理员	304.778259	199.658508	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
20	21	4210	132022	-1	杰伊	帮会管理员	296.586365	185.265579	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
21	22	4258	132023	-1	拜答戈	师徒管理员	320.878418	156.462753	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
22	23	4253	132024	-1	干不幻	声望商店	221.547501	115.593407	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
23	24	4271	132025	-1	忽饰	药品商人	281.706726	150.536194	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
24	25	1310	132026	-1	谢帖伊	防具商人	296.925049	150.787125	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
25	26	4224	132027	-1	麻扎	武器商人	291.61676	150.687271	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
26	27	1099	132028	-1	梵贝	领双管理员	238.766525	129.025146	10	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
27	28	4222	132029	-1	江克尔	装备铭刻大师	319.696686	85.193398	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
28	29	1317	132030	-1	布奎	装备保值大师	312.313599	77.521309	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
29	30	4231	123850	-1	史慧	装备升级大师	311.427979	72.725922	19	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
30	31	4252	132031	-1	马依力	骑乘道具商人	325.776428	124.624199	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
31	32	4290	132032	-1	吾买尔	荣誉商店	188.208084	116.123299	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
32	33	4228	132033	-1	吉雅德	帮会商店	210.549057	115.893661	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
33	34	1313	132034	-1	羌力	装备升星大师	313.237549	82.514259	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
34	35	4227	132035	-1	音莱	装备镶嵌大师	326.283417	85.49633	26	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
35	36	4227	132036	-1	宝珠	印度珠宝大师	193.169235	161.431519	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
36	37	4277	132037	-1	黄柏	中原草药大师	216.535355	142.678528	8	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
37	38	4208	132038	-1	马穆多尔	骑乘技能大师	320.028625	123.229561	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
38	39	1346	132040	-1	景彦多	三环副本传送人	308.029785	54.918087	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
39	40	1315	132041	-1	金常佐	内政任务发布人	242.845871	102.575729	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
40	41	4237	132042	-1	龙嫣	龙眼石兑换	192.179916	116.855446	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
41	42	1122	132043	-1	武士技能大师		188.162659	40.785683	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
42	43	1123	132044	-1	剑侠技能大师		187.074249	45.124825	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
43	44	1125	132045	-1	火枪手技能大师		188.003113	53.032578	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
44	45	1124	132046	-1	骑射手技能大师		187.943115	48.944611	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
45	46	1127	132047	-1	萨满技能大师		187.940002	61.241249	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
46	47	1126	132048	-1	先知技能大师		187.017899	57.098007	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
47	48	4297	132049	-1	十字军技能大师		209.936646	60.89502	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
48	49	4298	132050	-1	圣火使技能大师		210.660904	57.057716	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
49	50	4299	132051	-1	刺客技能大师		210.043777	52.92918	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
50	51	4300	132052	-1	近卫军技能大师		210.147171	49.037148	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
51	52	4301	132053	-1	僧侣技能大师		210.049438	41.13834	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
52	53	4302	132054	-1	隐修士技能大师		211.045502	45.058945	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
