NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	49	406000	20	爱德格·戈麦斯	卡迪兹港总督	134.391998	330.686005	30	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
1	2	50	406001	20	伊曼努尔·洛佩斯	卡迪兹港卫官	136.834473	274.603424	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
2	3	5866	406002	20	小哲别乌兰巴日	兵部员外	240.474289	352.075592	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
3	4	212	406003	20	哈丹巴特尔	海都叛将	247.763412	349.136353	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
4	5	45	406004	20	德利卡多·科斯塔	神父	152.489136	316.711212	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
5	6	2109	406005	20	阿德里亚诺	港口商人	208.103653	325.425598	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
6	7	4100	-1	21	阿拔斯海盗		80.83078	305.414032	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
7	8	4100	-1	21	阿拔斯海盗		94.903244	320.811737	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
8	9	4100	-1	21	阿拔斯海盗		81.748688	318.796814	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
9	10	4100	-1	21	阿拔斯海盗		85.103867	283.184326	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
10	11	4100	-1	21	阿拔斯海盗		73.655426	224.492126	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
11	12	4100	-1	21	阿拔斯海盗		97.979912	313.987549	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
12	13	4100	-1	21	阿拔斯海盗		87.51123	323.69162	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
13	14	4100	-1	21	阿拔斯海盗		80.904358	327.270874	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
14	15	4100	-1	21	阿拔斯海盗		92.989746	292.783295	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
15	16	4100	-1	21	阿拔斯海盗		88.446915	311.850067	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
16	17	4100	-1	21	阿拔斯海盗		97.225037	306.831116	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
17	18	4100	-1	21	阿拔斯海盗		90.998711	284.128174	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
18	19	4100	-1	21	阿拔斯海盗		82.413864	294.829071	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
19	20	4100	-1	21	阿拔斯海盗		97.247902	269.40921	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
20	21	4100	-1	21	阿拔斯海盗		97.079208	287.497681	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
21	22	4101	-1	21	大马士革流寇		96.778915	281.111938	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
22	23	4101	-1	21	大马士革流寇		84.529221	274.832031	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
23	24	4101	-1	21	大马士革流寇		98.723877	243.012756	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
24	25	4101	-1	21	大马士革流寇		88.919083	300.984192	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
25	26	4101	-1	21	大马士革流寇		85.021057	220.651993	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
26	27	4101	-1	21	大马士革流寇		86.289612	290.220001	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
27	28	4101	-1	21	大马士革流寇		79.042503	265.522064	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
28	29	4101	-1	21	大马士革流寇		79.370644	272.669922	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
29	30	4101	-1	21	大马士革流寇		106.11792	264.177979	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
30	31	4101	-1	21	大马士革流寇		94.400528	222.259201	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
31	32	4101	-1	21	大马士革流寇		83.893791	260.359589	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
32	33	4101	-1	21	大马士革流寇		77.784782	258.650177	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
33	34	4101	-1	21	大马士革流寇		69.351837	260.358948	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
34	35	4101	-1	21	大马士革流寇		91.309219	247.894897	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
35	36	4101	-1	21	大马士革流寇		76.446289	216.41452	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
36	37	4102	-1	21	阿拔斯贵族首领		76.035194	302.081757	0	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	80	0	
37	38	4102	-1	21	阿拔斯贵族首领		103.922356	307.682983	0	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	80	0	
38	39	4103	-1	21	西班牙军士		272.280334	143.69397	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
39	40	4103	-1	21	西班牙军士		224.291031	133.572266	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
40	41	4103	-1	21	西班牙军士		274.48877	172.034851	18	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
41	42	4103	-1	21	西班牙军士		268.98761	148.05513	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
42	43	4103	-1	21	西班牙军士		207.246063	167.4245	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
43	44	4103	-1	21	西班牙军士		207.323273	148.822601	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
44	45	4103	-1	21	西班牙军士		272.290436	147.915878	0	0	10000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	80	0	
45	46	4103	-1	21	西班牙军士		277.528015	171.957062	18	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
46	47	4103	-1	21	西班牙军士		275.586182	147.867203	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
47	48	4103	-1	21	西班牙军士		271.491394	171.960587	18	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
48	49	4103	-1	21	西班牙军士		274.624329	175.938583	18	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
49	50	4103	-1	21	西班牙军士		271.618988	176.101181	18	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
50	51	4103	-1	21	西班牙军士		275.501007	143.67421	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
51	52	4103	-1	21	西班牙军士		277.651123	175.859619	18	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
52	53	4103	-1	21	西班牙军士		268.848053	143.913834	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
53	54	4105	-1	21	西班牙弓兵		187.812592	196.788483	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
54	55	4105	-1	21	西班牙弓兵		195.625381	203.406189	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
55	56	4105	-1	21	西班牙弓兵		191.728439	192.395462	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
56	57	4105	-1	21	西班牙弓兵		201.179871	194.76088	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
57	58	4105	-1	21	西班牙弓兵		204.874542	181.484283	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
58	59	4105	-1	21	西班牙弓兵		213.554398	153.629654	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
59	60	4105	-1	21	西班牙弓兵		206.345856	145.456497	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
60	61	4105	-1	21	西班牙弓兵		212.463623	130.791443	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
61	62	4105	-1	21	西班牙弓兵		230.417725	130.118851	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
62	63	4105	-1	21	西班牙弓兵		234.739624	143.288666	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
63	64	4105	-1	21	西班牙弓兵		242.90596	142.386566	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
64	65	4105	-1	21	西班牙弓兵		258.033325	147.367172	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
65	66	4105	-1	21	西班牙弓兵		267.833221	154.537338	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
66	67	4105	-1	21	西班牙弓兵		282.867401	159.078293	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
67	68	4105	-1	21	西班牙弓兵		255.113754	143.708374	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
68	69	4104	-1	21	西班牙骑士		267.107208	174.104187	0	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	80	0	
69	70	4104	-1	21	西班牙骑士		279.360291	145.652725	18	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	80	0	
70	71	4106	-1	21	帕拉多·波旁	主教	417.158966	101.815613	32	0	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	80	0	
71	72	4107	-1	21	港口流匪		391.856354	106.128662	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
72	73	4107	-1	21	港口流匪		369.834595	136.489151	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
73	74	4107	-1	21	港口流匪		354.674469	91.006134	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
74	75	4107	-1	21	港口流匪		351.634277	115.022156	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
75	76	4107	-1	21	港口流匪		365.625854	120.629562	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
76	77	4107	-1	21	港口流匪		370.818756	98.119011	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
77	78	4107	-1	21	港口流匪		386.452393	86.455467	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
78	79	4107	-1	21	港口流匪		395.517914	75.609512	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
79	80	4107	-1	21	港口流匪		403.264618	64.975174	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
80	81	4107	-1	21	港口流匪		412.639984	112.535477	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
81	82	4107	-1	21	港口流匪		376.715057	113.334496	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
82	83	4107	-1	21	港口流匪		349.728088	76.858551	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
83	84	4107	-1	21	港口流匪		317.745422	87.340179	0	0	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	80	0	
84	85	4107	-1	21	港口流匪		321.153564	77.655472	0	0	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
