NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	4821	144802	20	宁采臣	传送使者	128	97	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	
1	2	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
2	3	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
3	4	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
4	5	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
5	6	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
6	7	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
7	8	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
8	9	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
9	10	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
10	11	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
11	12	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
12	13	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
13	14	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
14	15	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
15	16	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
16	17	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
17	18	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
18	19	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
19	20	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
20	21	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
21	22	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
22	23	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
23	24	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
24	25	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
25	26	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
26	27	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
27	28	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
28	29	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
29	30	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
30	31	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
31	32	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
32	33	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
33	34	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
34	35	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
35	36	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
36	37	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
37	38	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
38	39	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
39	40	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
40	41	18402	-1	21			65	67	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	
41	42	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
42	43	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
43	44	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
44	45	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
45	46	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
46	47	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
47	48	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
48	49	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
49	50	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
50	51	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
51	52	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
52	53	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
53	54	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
54	55	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
55	56	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
56	57	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
57	58	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
58	59	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
59	60	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
60	61	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
61	62	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
62	63	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
63	64	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
64	65	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
65	66	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
66	67	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
67	68	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
68	69	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
69	70	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
70	71	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
71	72	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
72	73	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
73	74	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
74	75	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
75	76	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
76	77	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
77	78	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
78	79	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
79	80	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
80	81	18402	-1	21			113	72	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	65	
81	82	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
82	83	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
83	84	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
84	85	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
85	86	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
86	87	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
87	88	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
88	89	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
89	90	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
90	91	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
91	92	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
92	93	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
93	94	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
94	95	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
95	96	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
96	97	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
97	98	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
98	99	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
99	100	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
100	101	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
101	102	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
102	103	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
103	104	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
104	105	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
105	106	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
106	107	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
107	108	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
108	109	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
109	110	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
110	111	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
111	112	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
112	113	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
113	114	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
114	115	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
115	116	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
116	117	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
117	118	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
118	119	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
119	120	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
120	121	18402	-1	21			135	68	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	70	
121	122	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
122	123	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
123	124	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
124	125	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
125	126	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
126	127	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
127	128	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
128	129	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
129	130	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
130	131	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
131	132	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
132	133	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
133	134	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
134	135	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
135	136	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
136	137	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
137	138	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
138	139	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
139	140	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
140	141	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
141	142	18402	-1	21			158	64	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	75	
