NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	4703	145001	20	暴蓝	暴龙大作战	54.090714	75.9235	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	1	0	
1	2	4704	145002	20	暴红	暴龙大作战	86.252556	44.049541	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	1	0	
2	3	4702	145000	20	暴龙使者	暴龙大作战发布人	71.446922	61.6133	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	1	0	
3	4	4709	145013	20	迷途的斑点		124.563194	96.124809	0	0	10000	-1	-1	3	0	0	-1	-1	-1	-1	-1	1	0	
4	5	4708	145006	20	旋转木马管理员	天上人间·麒麟	70.74762	186.178314	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	1	0	
5	6	4707	145007	20	摩天轮管理员	天上人间·麒麟	167.497559	167.347824	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	1	0	
6	7	4706	145009	20	鬼屋管理员	天上人间·麒麟	132.031662	191.394791	5	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	1	0	
7	8	4705	145003	20	彩湘子	疯狂的宝箱发布人	128.05072	118.143974	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	1	0	
8	9	4701	145005	20	天上人间管理员	天上人间·麒麟	208	207	14	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	1	0	
9	10	240	145014	20	戏子“铜锤”		152.498001	39.800701	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
10	11	334	145015	20	戏子“小生”		149.559998	41.593899	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
11	12	351	145016	20	戏子“花旦”		159.576492	39.800705	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
