NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像
0	1	21285	151001	-1	夏植	种植管理员	34.852684	52.550072	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	-1	
1	2	21025	151002	-1	史成	矿石加工师	96.125793	36.083111	23	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	-1	
2	3	1920	151003	-1	秦香琴	作物加工师	27.341982	35.822468	29	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	-1	
3	4	21646	151004	-1	贾成	庄园管理员	61.838329	37.356754	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	-1	
4	5	1316	151005	-1	嵩储	仓库保管员	70.368492	37.356754	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	-1	
5	6	21027	151006	-1	李木山	建筑大师	73.064453	68.170364	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	-1	
6	7	21402	151007	-1	孙金来	矿山小工	94.676323	80.768723	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	-1	
7	8	29017	-1	-1			65.798813	28.945955	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	-1	
9	10	21037	151009	20	李虎	庄园看护员	53.547913	53.121861	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	-1	
10	11	22817	-1	20	     	     	73.845161	49.512665	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	-1	
11	12	22817	-1	20	     	     	77.326256	48.229107	12	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	-1	
12	13	62802	-1	20	     	     	52.446693	52.406982	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	-1	
13	14	1155	-1	20	     	     	30.035002	58.81403	28	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	-1	
14	15	1155	-1	20	     	     	27.989048	56.632702	8	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	-1	
15	16	1155	-1	20	     	     	26.248447	60.112144	4	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	-1	
16	17	62803	-1	20	     	     	27.897215	50.997234	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	-1	
17	18	22817	-1	20	     	     	80.27964	21.098711	28	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	-1	
18	19	22817	-1	20	     	     	54.905071	42.24279	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	-1	
19	20	62804	-1	20	     	     	73.267273	99.805161	4	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	-1	
21	22	62805	-1	20	     	     	71.557632	98.704048	0	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	-1	
22	23	62805	-1	20	     	     	73.616455	97.070587	32	0	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	60	-1	
