NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	224	123829	-1	阿鲁图	运镖回复人	299	165.300003	18	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	50	0	
1	1886322	212	124539	-1	耶律虞	50级圣山地宫	232.26358	54.180328	0	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	50	0	
2	1886323	213	124540	-1	耶律潭	60级圣山地宫	232.26358	67.078323	0	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	60	0	
3	1886324	224	124541	-1	耶律修	70级圣山地宫	232.26358	79.918518	0	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	70	0	
4	1886325	225	124542	-1	耶律英	75级圣山地宫	232.26358	93.970711	0	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	75	0	
5	7267810	211	124543	-1	耶律杰	80级圣山地宫	275.60347	54.180328	18	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	80	0	
6	7267811	207	124544	-1	耶律睿	85级圣山地宫	275.60347	67.078323	18	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	85	0	
7	11245579	87	124547	-1	耶律德	90级圣山地宫	275.60347	79.918518	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
8	15052370	2600	101120	-1	楼兰外城	楼兰王国传送人	255	76	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
9	7191855	3840	400040	20			195.839119	191.428009	32	-1	2000	-1	-1	5	0	0	-1	-1	-1	-1	-1	20	0	
10	7191856	3841	400041	20			162.261749	148.547897	32	-1	2000	-1	-1	5	0	1	-1	-1	-1	-1	-1	20	0	
11	7191857	3842	400042	20			239.664978	206.38623	32	-1	2000	-1	-1	5	0	2	-1	-1	-1	-1	-1	20	0	
12	7191858	3843	400043	20			276.274017	195.99942	32	-1	2000	-1	-1	5	0	3	-1	-1	-1	-1	-1	20	0	
13	7191859	3844	400044	20			296.39238	139.993912	32	-1	2000	-1	-1	5	0	4	-1	-1	-1	-1	-1	20	0	
14	7191860	3845	400045	20			168.984268	188.970993	32	-1	2000	-1	-1	5	0	5	-1	-1	-1	-1	-1	20	0	
15	8921579	9779	129749	20		屠城战传送石	193	173	27	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	60	0	
16	15052371	2400	400700	-1	楼兰御卫		337.312378	61.232307	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
17	15052372	2400	400701	-1	楼兰御卫		336.51973	47.664948	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
18	15052373	2400	400702	-1	楼兰御卫		173.118164	47.40345	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
19	15052374	2400	400703	-1	楼兰御卫		173.453606	60.776894	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
21	15052376	2400	400705	-1	楼兰御卫		232	165	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
23	15052378	2400	400701	-1	楼兰御卫		232	175	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
25	15052380	2400	400703	-1	楼兰御卫		232	185	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
27	15052382	2400	400705	-1	楼兰御卫		232	195	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
29	15052384	2400	400701	-1	楼兰御卫		277	165	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
31	15052386	2400	400703	-1	楼兰御卫		277	175	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
33	15052388	2400	400705	-1	楼兰御卫		277	185	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
35	15052390	2400	400701	-1	楼兰御卫		277	195	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
36	15052391	2400	400702	-1	楼兰御卫		242.128815	42.185341	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
37	15052392	2400	400703	-1	楼兰御卫		248.203629	32.93412	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
38	15052393	2400	400704	-1	楼兰御卫		262.201523	33.211037	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
39	15052394	2400	400705	-1	楼兰御卫		268.063339	42.05619	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
40	8921579	207	129719	16	国昭	王国召集人	210	28	27	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	60	0	
41	15052395	1320	101532	-1	通往王国迷宫一层	王国迷宫传送	317	45.5	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
42	15052400	788	-1	20	  		240	59	9	0	10000	-1	-1	3	0	6	-1	-1	-1	-1	-1	60	0	
43	15052400	788	-1	20	  		268	91	9	0	10000	-1	-1	3	0	7	-1	-1	-1	-1	-1	60	0	
44	11245579	224	124548	-1	耶律勇	95级圣山地宫	275.60347	93.970711	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
45	11245579	211	124549	-1	耶律辉	100级圣山地宫	290.444	93.970703	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
46	15052401	211	124550	-1	耶律宏	105级圣山地宫	290.440002	79.685699	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
47	15052402	211	124551	-1	耶律齐	110级圣山地宫	290.440002	67.137146	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
48	15052403	1320	400706	-1	羌龙	图腾龙魂任务发布人	272	131	27	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
49	15052404	211	124553	-1	耶律图	115级圣山地宫	290.440002	54.180328	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	115	0	
