NUM	NUM	FLOAT	FLOAT	NUM	NUM	NUM	NUM
NUM	NUM	FLOAT	FLOAT	采集点类型(0标准式1集合式)	种子的数量	种子补充间隔	镜像组Id
1	58	285	221				-1
2	58	280	221				-1
3	58	275	221				-1
4	58	215	221				-1
5	58	220	221				-1
6	58	216	217				-1
7	58	284	216				-1
8	58	212	214				-1
9	400	108	83				1
10	400	119	59				1
11	400	100	54				1
12	400	63	66				1
13	400	90	86				1
14	400	94	313				1
15	400	79	291				1
16	400	95	283				1
17	400	111	304				1
18	400	102	274				1
19	400	183	293				1
20	400	198	282				1
21	400	194	321				1
22	400	216	313				1
23	400	222	306				1
24	400	239	311				1
25	400	227	268				1
26	400	298	279				1
27	400	306	296				1
28	400	454	310				1
29	400	462	318				1
30	400	458	269				1
31	400	475	276				1
32	400	400	59				1
33	400	398	75				1
34	400	446	50				1
35	400	429	39				1
36	400	194	57				1
37	400	196	196				1
38	400	217	188				1
39	400	305	87				1
40	400	298	34				1
41	400	273	188				1
42	400	320	155				1
43	400	193	48				1
44	400	205	203				1
45	400	219	166				1
46	400	315	188				1
47	400	316	141				1
48	400	304	35				1
49	400	299	79				1
50	400	300	92				1
51	400	279	176				1
52	400	199	187				1
53	400	195	77				1
54	400	186	94				1
55	400	214	66				1
56	400	95	67				1
57	400	82	300				1
58	400	207	301				1
59	400	243	319				1
60	400	175	311				1
61	400	309	291				1
62	400	299	272				1
63	400	301	287				1
64	400	446	290				1
65	400	454	279				1
66	400	459	330				1
67	400	443	56				1
68	400	382	47				1
69	400	386	70				1
70	400	373	57				1
71	400	410	57				1
72	400	430	48				1
73	400	68	79				1
74	400	78	65				1
75	400	96	61				1
76	400	112	90				1
77	400	111	59				1
78	400	115	53				1
79	400	89	62				1
80	400	97	290				1
81	400	99	307				1
82	400	117	299				1
83	400	87	286				1
84	400	178	299				1
85	400	208	283				1
86	400	214	305				1
87	400	221	316				1
88	400	219	283				1
89	400	199	278				1
90	400	304	274				1
91	400	310	286				1
92	400	299	296				1
93	400	324	275				1
94	400	464	311				1
95	400	477	284				1
96	400	460	262				1
97	400	443	277				1
98	400	467	270				1
99	400	462	297				1
100	400	393	48				1
101	400	400	54				1
102	400	432	41				1
103	400	429	54				1
104	400	444	45				1
105	400	426	57				1
106	400	385	58				1
107	400	395	52				1
108	400	212	181				1
109	400	194	91				1
110	400	198	58				1
111	400	300	57				1
112	400	309	91				1
113	400	288	200				1
114	400	309	192				1
115	401	114	76				1
116	401	130	59				1
117	401	85	65				1
118	401	74	74				1
119	401	115	313				1
120	401	84	307				1
121	401	84	282				1
122	401	95	299				1
123	401	116	293				1
124	401	184	303				1
125	401	185	281				1
126	401	199	292				1
127	401	206	323				1
128	401	230	324				1
129	401	211	289				1
130	401	240	293				1
131	401	283	273				1
132	401	317	271				1
133	401	445	310				1
134	401	451	325				1
135	401	445	299				1
136	401	462	284				1
137	401	389	45				1
138	401	401	49				1
139	401	416	68				1
140	401	446	63				1
141	401	194	40				1
142	401	202	62				1
143	401	208	196				1
144	401	208	176				1
145	401	319	90				1
146	401	303	171				1
147	401	284	168				1
148	401	310	182				1
149	401	195	64				1
150	401	208	185				1
151	401	280	209				1
152	401	307	159				1
153	401	313	172				1
154	401	308	74				1
155	401	306	66				1
156	401	297	62				1
157	401	287	184				1
