NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	224	126129	-1	阿鲁图	运镖回复人	172	165.300003	18	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	50	0	
1	1886322	212	127550	-1	耶律虞	50级圣山地宫	104.764923	54.180328	0	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	50	0	
2	1886323	213	127551	-1	耶律潭	60级圣山地宫	104.764923	67.078323	0	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	60	0	
3	1886324	224	127552	-1	耶律修	70级圣山地宫	104.764923	79.918518	0	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	70	0	
4	1886325	225	127553	-1	耶律英	75级圣山地宫	104.764923	93.970711	0	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	75	0	
5	7267810	211	127554	-1	耶律杰	80级圣山地宫	148.60347	54.180328	18	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	80	0	
6	7267811	207	127555	-1	耶律睿	85级圣山地宫	148.60347	67.078323	18	-1	30000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	85	0	
7	11245579	87	127556	-1	耶律德	90级圣山地宫	148.60347	79.918518	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	90	0	
8	15052370	2600	101121	-1	天山外城	天山王国传送人	128	76	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
9	8921579	9779	129749	20		屠城战传送人	64	173	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
10	7191855	3840	400040	20			68.839119	191.428009	32	-1	2000	-1	-1	5	0	0	-1	-1	-1	-1	-1	20	0	
11	7191856	3841	400041	20			35.261749	148.547897	32	-1	2000	-1	-1	5	0	1	-1	-1	-1	-1	-1	20	0	
12	7191857	3842	400042	20			110.214645	203.690079	32	-1	2000	-1	-1	5	0	2	-1	-1	-1	-1	-1	20	0	
13	7191858	3843	400043	20			149.274017	195.99942	32	-1	2000	-1	-1	5	0	3	-1	-1	-1	-1	-1	20	0	
14	7191859	3844	400044	20			169.39238	139.993912	32	-1	2000	-1	-1	5	0	4	-1	-1	-1	-1	-1	20	0	
15	7191860	3845	400045	20			41.984268	188.970993	32	-1	2000	-1	-1	5	0	5	-1	-1	-1	-1	-1	20	0	
16	15052371	2401	400710	-1	天山御卫		135.703003	28.046801	27	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
17	15052372	2401	400711	-1	天山御卫		140.164597	41.633682	27	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
18	15052373	2401	400712	-1	天山御卫		120.592728	28.1646	27	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
19	15052374	2401	400713	-1	天山御卫		115.723831	41.881844	27	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
20	15052376	2401	400714	-1	天山御卫		209.035843	47.417458	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
21	15052377	2401	400715	-1	天山御卫		209.252258	60.943512	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
22	15052379	2401	400710	-1	天山御卫		47.336349	60.185783	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
23	15052380	2401	400711	-1	天山御卫		47.281944	47.034508	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
24	15052381	2401	400712	-1	天山御卫		92.5	190	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
25	15052382	2401	400713	-1	天山御卫		92.5	180	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
26	15052383	2401	400714	-1	天山御卫		92.5	170	0	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
29	15052386	2401	400711	-1	天山御卫		147.5	190	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
30	15052387	2401	400712	-1	天山御卫		147.5	180	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
31	15052388	2401	400713	-1	天山御卫		147.5	170	18	0	10000	-1	-1	20	0	-1	-1	-1	-1	-1	-1	60	0	
34	8921579	207	129719	17	国昭	王国召集人	89	26	27	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
35	15052391	1320	101533	-1	前往王国迷宫一层	王国迷宫传送	67.300003	45.299999	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
36	15052400	788	-1	20	  		140	197	9	0	10000	-1	-1	3	0	6	-1	-1	-1	-1	-1	60	0	
37	15052400	788	-1	20	  		141	91	9	0	10000	-1	-1	3	0	7	-1	-1	-1	-1	-1	60	0	
38	11245579	224	127557	-1	耶律勇	95级圣山地宫	148.60347	93.970711	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
39	11245579	211	127558	-1	耶律辉	100级圣山地宫	159.388	93.970703	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
40	15052401	211	127559	-1	耶律宏	105级圣山地宫	159.399994	79.918518	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	105	0	
41	15052402	211	127560	-1	耶律齐	110级圣山地宫	159.399994	67.105301	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	110	0	
42	15052403	1320	400716	-1	羌龙	图腾龙魂任务发布人	145	133	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
43	15052404	211	127562	-1	耶律图	115级圣山地宫	159.399994	54.180328	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	115	0	
