NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	0	9906	-1	21	秘之石灵		64	100	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
1	1	9905	-1	21	秘之水灵		74	34	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
2	2	9905	-1	21	秘之水灵		42	33	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
3	3	9904	-1	21	石灵		14	82	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
4	4	9904	-1	21	石灵		14.1	81.9	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
5	5	9904	-1	21	石灵		13	82	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
6	6	9904	-1	21	石灵		13	83	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
7	7	9904	-1	21	石灵		13	81	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
8	8	9904	-1	21	石灵		14	83	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
9	9	9904	-1	21	石灵		14	81	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
10	10	9904	-1	21	石灵		15	82	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
11	11	9904	-1	21	石灵		15	83	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
12	12	9904	-1	21	石灵		15	81	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
13	13	9904	-1	21	石灵		13	57	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
14	14	9904	-1	21	石灵		13.1	56.9	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
15	15	9904	-1	21	石灵		12	57	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
16	16	9904	-1	21	石灵		12	58	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
17	17	9904	-1	21	石灵		12	56	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
18	18	9904	-1	21	石灵		13	58	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
19	19	9904	-1	21	石灵		13	56	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
20	20	9904	-1	21	石灵		14	57	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
21	21	9904	-1	21	石灵		14	58	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
22	22	9904	-1	21	石灵		14	56	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
23	23	9904	-1	21	石灵		13	36	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
24	24	9904	-1	21	石灵		13.1	35.9	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
25	25	9904	-1	21	石灵		12	36	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
26	26	9904	-1	21	石灵		12	37	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
27	27	9904	-1	21	石灵		12	35	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
28	28	9904	-1	21	石灵		13	37	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
29	29	9904	-1	21	石灵		13	35	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
30	30	9904	-1	21	石灵		14	36	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
31	31	9904	-1	21	石灵		14	37	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
32	32	9904	-1	21	石灵		14	35	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
33	33	9904	-1	21	石灵		14	16	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
34	34	9904	-1	21	石灵		14.1	15.9	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
35	35	9904	-1	21	石灵		13	16	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
36	36	9904	-1	21	石灵		13	17	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
37	37	9904	-1	21	石灵		13	15	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
38	38	9904	-1	21	石灵		14	17	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
39	39	9904	-1	21	石灵		14	15	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
40	40	9904	-1	21	石灵		15	16	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
41	41	9904	-1	21	石灵		15	17	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
42	42	9904	-1	21	石灵		15	15	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
43	43	9904	-1	21	石灵		44	14	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
44	44	9904	-1	21	石灵		44.1	13.9	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
45	45	9904	-1	21	石灵		43	14	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
46	46	9904	-1	21	石灵		43	15	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
47	47	9904	-1	21	石灵		43	13	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
48	48	9904	-1	21	石灵		44	15	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
49	49	9904	-1	21	石灵		44	13	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
50	50	9904	-1	21	石灵		45	14	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
51	51	9904	-1	21	石灵		45	15	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
52	52	9904	-1	21	石灵		45	13	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
53	53	9904	-1	21	石灵		43	32	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
54	54	9904	-1	21	石灵		43.1	31.9	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
55	55	9904	-1	21	石灵		42	32	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
56	56	9904	-1	21	石灵		42	33	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
57	57	9904	-1	21	石灵		42	31	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
58	58	9904	-1	21	石灵		43	33	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
59	59	9904	-1	21	石灵		43	31	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
60	60	9904	-1	21	石灵		44	32	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
61	61	9904	-1	21	石灵		44	33	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
62	62	9904	-1	21	石灵		44	31	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
63	63	9904	-1	21	石灵		41	56	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
64	64	9904	-1	21	石灵		41.1	55.9	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
65	65	9904	-1	21	石灵		40	56	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
66	66	9904	-1	21	石灵		40	57	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
67	67	9904	-1	21	石灵		40	55	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
68	68	9904	-1	21	石灵		41	57	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
69	69	9904	-1	21	石灵		41	55	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
