NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	2600	101114	20	哲别村	王城王国传送人	301.316986	236.580994	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	2	1099	138038	20	梅伊娜	新手领奖大使	314.139099	262.185852	14	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	-1	
2	3	86	123833	20	珐琅	猎场商人	285.689148	257.044067	2	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	-1	
3	4	4501	-1	20	  		305	367	22	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	-1	
4	5	4380	138000	20	钥匙老人		298.972412	420.071716	10	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
5	6	4381	138001	20	雄鹰长老	王国先贤	298.781219	370.195374	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
6	7	4403	138002	20	智者哈达	王国先贤	299.158813	326	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
7	8	4398	138003	20	苍狼长老	王国先贤	302.434814	311.929779	21	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
8	9	47	138004	20	穆图	哲别村村长	319.475159	256.196289	17	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
9	10	2458	138005	20	草原之花塔娜	雄鹰长老之女	362.274841	214.902817	19	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
10	11	11994	138006	20	哈日巴日	技能大师	315	155	30	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	-1	
11	12	664	138007	20	呼和巴日		272	170	10	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	-1	
12	13	658	138008	20	哈穆图	哲别村卫队长	222.273926	159.703629	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
13	14	11954	138011	20	金虎	王城右都尉	321	152	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	-1	
14	15	11980	138012	20	刀之魂		294.305359	287.307617	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
15	16	11981	138013	20	剑之魂		303.785553	287.491699	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
16	17	11982	138014	20	弓之魂		303.720642	292.814484	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
17	18	11983	138015	20	枪之魂		310.655823	293.206787	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
18	19	11984	138016	20	杖之魂		293.9729	292.386688	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
19	20	11985	138017	20	槌之魂		307.007477	287.506165	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
20	21	11986	138018	20	矛之魂		286.914764	291.867615	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
21	22	11987	138019	20	令之魂		290.773773	287.034058	25	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
22	23	11988	138020	20	弩之魂		286.886902	286.871826	6	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
23	24	11989	138021	20	铳之魂		310.541351	287.441437	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
