NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	7801713	84	110051	-1	张柴胡	塞外神医	136.255463	156.52359	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
1	7803090	84	110054	-1	脱脱迷失	楼兰王国使者	134.645966	126.717865	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
2	8823332	74	110056	-1	苏丽斯	波斯王后	122.318962	137.709076	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
3	8823336	73	110057	-1	萝莉丝	王后侍女	124.705528	138.12001	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
4	8823433	54	110058	-1	里斯曼	王子追随者	120.311447	120.81633	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
5	8823457	128	110059	-1	阿鲁兹	波斯将军	125.802177	121.068718	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
6	8823636	55	110062	-1	贝希斯敦	波斯王子	123.170212	122.920258	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
7	8825774	125	110063	-1	格鲁尔	迦色尼将军	104.794197	116.622971	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
8	8839053	128	110064	-1	高墨鞑	波斯大将军	118.083221	105.610123	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
9	8840410	53	110065	-1	里斯顿	王子追随者	107.565178	114.708664	36	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
10	9000340	1633	110066	-1	库尔班	河西回鹘酋长	105.270645	145.549866	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
11	9000344	1640	110067	-1	部落勇士	河西回鹘	100.106369	139.139771	10	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
12	9000351	1640	110068	-1	部落勇士	河西回鹘	103.141724	139.22731	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
13	9000691	13	110070	-1	空明		145.484787	151.955017	10	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
14	9000697	31	110071	-1	正苦大师		143.995514	150.83963	10	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
15	9167502	23	110073	-1	小馒头		179.059662	114.036011	25	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
16	9167508	27	110074	-1	南从仁		177.800125	116.103752	0	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
17	9167516	1914	110075	-1	李雪儿		177.85939	114.417435	30	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
18	9167521	1917	110076	-1	钟慕华		171.974365	138.693268	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
19	9168049	48	110088	-1	不里士	昆仑王国使者	130.798248	131.97113	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
20	9168075	94	110089	-1	霍博	敦煌王国使者	134.535187	132.024963	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
21	14888865	225	110106	-1	麻里	天山王国使者	130.907928	126.821068	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
22	14888870	4295	110122	-1	安童	承旨官	136.345291	129.259903	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
23	14888871	1627	110108	-1	御前护军		137.161713	131.426926	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
24	14888872	1627	110109	-1	御前护军		137.189728	127.318184	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
25	14888874	1627	110110	-1	御前护军		121.931396	162.012604	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
26	14888875	1627	110111	-1	御前护军		133.952286	162.263748	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
27	14888876	1627	110112	-1	御前护军		161.55304	134.966125	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
28	14888877	1627	110113	-1	御前护军		161.821442	122.802673	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
29	14888878	1627	110114	-1	御前护军		134.303986	95.806816	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
30	14888879	1627	110115	-1	御前护军		121.542969	95.747169	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
