NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	4811	145100	20	海公子	天降魔君发布人	75.367043	68.874969	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
1	2	4802	145101	20	阿宝	挖宝大作战发布人	130	70	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
2	3	4804	145141	20	大福神		111.173233	50.91378	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
3	4	4836	145103	20	周小唯	画皮传送人	50.306225	129.637741	35	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
4	5	4833	145104	20	阴阳法王	倩女幽魂传送人	219.601883	39.596855	23	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
5	8	4727	145145	20	熊猫佳瑟	外装大师	46.806583	206.615814	5	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
6	9	4821	145105	20	宁采臣		162.068283	209.153442	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
7	10	4822	145106	20	聂小倩		168.026672	209.095322	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
8	11	4805	145107	20	王生	天上人间·梦聊管理员	127.720215	133.709778	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
9	12	4809	145108	20	功夫大师		43.91452	185.52095	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
10	13	4817	145109	20	龙王		182.313995	146.141998	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
11	14	4810	145110	20	龟丞相		186.366409	145.924973	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
12	15	4823	145111	20	胖道士		134.022766	220.147018	23	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
13	16	4832	145112	20	羊驼		126.37133	227.987213	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
14	17	4827	145113	20	小龙女		221.602478	177.18457	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
15	18	4825	145114	20	药诚	药尊	201.215118	224.832672	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
16	19	4828	145115	20	胖多	太山老君大弟子	192.112183	227.024994	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
17	20	4835	145116	20	临风	玉兔	188.94931	171.295044	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
18	21	4838	145117	20	谷稞	丹王	183.482208	226.026016	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
19	22	4814	145118	20	艾咪		222.720474	117.000854	20	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
20	23	4819	145119	20	毛驴		164.262268	110.383675	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
21	24	4820	145120	20	孟婆婆		230.013748	52.618359	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
22	25	4839	145121	20	骷髅王		206.409073	34.531387	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
23	26	4818	-1	20	 	 	225.998123	117.195328	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
24	27	4812	145123	20	黑山老妖		216.254974	130.95105	8	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
25	28	4836	145124	20	胡媚娘	金纺坊老板娘	179.17627	95.235954	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
26	29	4807	145125	20	地行尸	旅行家	190.198059	97.355797	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
27	30	4815	145126	20	小魔魔	飞天列车长	142.559814	66.445374	36	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
28	31	4830	145127	20	辛十四娘	醉红楼	152.249496	65.288849	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
29	32	4826	145128	20	杜必输	车夫	142.375626	48.267906	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
30	33	4802	145129	20	伊嫣	天上人间梦聊·三番代言人	129.945892	44.502304	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
31	34	4829	145130	20	牛吕	米店老板	146.049438	97.31356	28	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
32	35	4816	145131	20	跳跳鬼		188.25441	66.976097	23	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
33	36	4808	145138	20	业释方丈		162.630173	156.516525	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	85	0	
