NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	5691092	880	115001	20	成吉思汗	四海之王	184.713791	215.676575	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
1	5691150	882	115005	20	忽必烈	拖雷之子	186.897598	211.795242	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
2	5691154	882	115004	20	蒙哥	拖雷之子	185.633865	209.73291	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
3	5691159	881	115002	20	丘处机	长春真人	182.884811	216.686523	6	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
4	5691161	882	115007	20	郭宝玉	火器营少帅	180.693512	213.748505	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
5	5691165	882	115008	20	拔都	术赤之子	180.3172	215.554291	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
6	5692150	1167	115016	20	耶律楚材	治天下匠	220.661346	102.545685	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
7	5692546	882	115003	20	旭烈兀	拖雷之子	179.182938	213.211945	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
8	5692556	887	115006	20	哲别	神射手	186.702682	214.918549	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
9	5694318	888	-1	21	斡思剌黑	花剌子模二王子	29.486198	120.554321	33	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	80	0	
10	5694593	859	115009	20	旭烈兀	拖雷之子	59.050308	54.996407	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
11	5714630	889	-1	21	摩诃末	花剌子模国王	173.071991	51.798996	15	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	80	0	
12	5714822	1152	115000	20	钥匙老人		178.2314	221.280182	8	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
13	6022079	860	-1	-1	蒙古勇士		223.611053	103.126312	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
14	6022086	860	-1	-1	蒙古勇士		217.297699	102.376923	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
15	6022103	860	-1	-1	蒙古勇士		222.393707	100.813652	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
16	6022104	860	-1	-1	蒙古勇士		219.062195	100.345863	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
17	6022122	860	-1	-1	蒙古勇士		217.013367	97.312943	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
18	6022125	860	-1	-1	蒙古勇士		224.679672	98.695557	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
19	6023990	859	115010	20	郭宝玉	火器营少帅	56.184296	123.147675	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
20	6024017	860	-1	-1	蒙古勇士		57.402855	124.513992	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
21	6024019	860	-1	-1	蒙古勇士		57.869652	121.532608	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
22	6024093	860	-1	-1	蒙古勇士		59.649048	124.31739	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
23	6024097	860	-1	-1	蒙古勇士		59.997375	121.212288	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
24	6024408	859	115011	20	拔都	术赤之子	140.5	39.5	25	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
25	6024692	860	-1	-1	蒙古勇士		60.916954	53.939781	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
26	6024695	860	-1	-1	蒙古勇士		59.348206	57.255135	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
27	6024697	860	-1	-1	蒙古勇士		61.630516	59.032661	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
28	6024699	860	-1	-1	蒙古勇士		63.233368	55.482712	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
29	6025802	894	-1	21	突厥伏兵		129.177048	204.889572	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
30	6025804	894	-1	21	突厥伏兵		134.933411	204.400024	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
31	6025806	894	-1	21	突厥伏兵		122.869713	186.07666	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
32	6025807	894	-1	21	突厥伏兵		129.959091	184.439987	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
33	6025809	894	-1	21	突厥伏兵		123.317703	195.953842	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
34	6025810	894	-1	21	突厥伏兵		113.921677	176.9776	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
35	6025814	894	-1	21	突厥伏兵		121.249626	179.778839	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
36	6025817	894	-1	21	突厥伏兵		131.278702	197.350098	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
37	6025819	894	-1	21	突厥伏兵		123.640846	201.001373	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
38	6025826	894	-1	21	突厥伏兵		125.162628	205.924835	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
39	6025830	894	-1	21	突厥伏兵		136.380234	185.675598	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
40	6025831	894	-1	21	突厥伏兵		130.875336	190.917664	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
41	6025835	894	-1	21	突厥伏兵		138.39595	199.028473	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
42	6025838	894	-1	21	突厥伏兵		119.788956	182.015747	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
43	6025854	894	-1	21	突厥伏兵		133.972748	179.351105	35	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
44	6027709	893	-1	21	突厥侦察兵		170.793991	179.007629	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
45	6027711	893	-1	21	突厥侦察兵		174.787811	186.020844	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
46	6027713	893	-1	21	突厥侦察兵		175.814758	175.708038	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
47	6027714	893	-1	21	突厥侦察兵		179.448975	181.207916	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
48	6027717	893	-1	21	突厥侦察兵		186.914688	178.382568	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
49	6027718	893	-1	21	突厥侦察兵		183.742935	171.819458	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
50	6027720	893	-1	21	突厥侦察兵		191.745193	184.056076	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
51	6027723	893	-1	21	突厥侦察兵		198.14328	174.865082	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
52	6027724	893	-1	21	突厥侦察兵		191.921539	170.030396	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
53	6027726	893	-1	21	突厥侦察兵		199.453491	181.701508	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
54	6027728	893	-1	21	突厥侦察兵		207.217178	177.617798	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
55	6027730	893	-1	21	突厥侦察兵		203.218018	170.946747	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
56	6027731	893	-1	21	突厥侦察兵		200.966339	162.200409	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
57	6027733	893	-1	21	突厥侦察兵		216.745087	169.683762	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
58	6028448	902	-1	21	突厥右翼军		72.353592	43.61319	21	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
59	6028454	902	-1	21	突厥右翼军		76.212112	44.897522	21	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
60	6028456	902	-1	21	突厥右翼军		80.474167	46.122345	21	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
61	6028457	902	-1	21	突厥右翼军		81.865158	43.103699	21	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
62	6028459	902	-1	21	突厥右翼军		77.664795	41.056419	21	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
63	6028461	902	-1	21	突厥右翼军		73.904419	39.186295	21	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
64	6028463	902	-1	21	突厥右翼军		76.225822	36.234276	21	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
65	6028465	902	-1	21	突厥右翼军		80.619385	38.032196	21	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
66	6028466	902	-1	21	突厥右翼军		84.139381	39.784927	21	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
67	6028487	900	-1	21	右翼军统领		69.661682	38.728706	23	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
68	6036739	899	-1	21	左翼军统领		49.358498	75.775711	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
69	6036832	901	-1	21	突厥左翼军		44.174118	76.300125	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
70	6036834	901	-1	21	突厥左翼军		46.326225	78.866035	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
71	6036840	901	-1	21	突厥左翼军		47.286873	82.375137	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
72	6036841	901	-1	21	突厥左翼军		45.505028	83.813896	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
73	6036843	901	-1	21	突厥左翼军		43.075645	79.626373	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
74	6036844	901	-1	21	突厥左翼军		40.275917	76.90139	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
75	6036852	901	-1	21	突厥左翼军		48.956543	85.008667	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
76	6036853	901	-1	21	突厥左翼军		46.399155	86.319046	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
77	6036865	901	-1	21	突厥左翼军		48.632217	77.411926	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
78	6036930	901	-1	21	突厥左翼军		51.705032	83.745819	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
79	6036935	901	-1	21	突厥左翼军		36.78376	73.821198	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
80	6036943	901	-1	21	突厥左翼军		40.494568	73.487579	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
81	6043208	904	-1	21	突厥精锐兵		225.673523	50.205467	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
82	6043211	904	-1	21	突厥精锐兵		229.924377	54.678131	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
83	6043212	904	-1	21	突厥精锐兵		230.934601	51.106636	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
84	6043214	904	-1	21	突厥精锐兵		228.008484	57.702888	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
