NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	14551956	2	109005	20	丘山烈		233.690384	33.586895	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	55	0	
1	14554456	6	109007	20	丘山惑		221.976822	30.726309	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	55	0	
2	14554475	18	109006	20	丘山阳		216.100311	28.244024	29	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	55	0	
3	14554525	118	109008	20	史天泽	被俘虏的	234.524109	35.877254	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	55	0	
4	14556414	690	-1	21	完颜合周	谋克军校尉	220.948929	101.354591	15	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	55	0	
5	14558229	711	109009	20	张弘范	金国大将	185.286179	116.872391	22	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	55	0	
6	14558267	678	109022	20	亲兵		187.160233	111.705818	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	55	0	
7	14558277	678	109022	20	亲兵		187.251114	122.291367	22	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	55	0	
8	14558287	678	109022	20	亲兵		184.227737	112.801933	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	55	0	
9	14558301	678	109022	20	亲兵		184.355286	120.72905	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	55	0	
10	14558305	678	109022	20	亲兵		182.395126	116.310089	27	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	55	0	
11	14558770	691	-1	21	奚军溃兵	金国	172.714203	150.044235	34	-1	1000	-1	-1	0	2	-1	-1	-1	-1	-1	-1	55	0	
12	14558773	691	-1	21	奚军溃兵	金国	174.171066	146.786453	34	-1	1000	-1	-1	0	2	-1	-1	-1	-1	-1	-1	55	0	
13	14558774	691	-1	21	奚军溃兵	金国	183.714203	145.935349	30	-1	1000	-1	-1	0	2	-1	-1	-1	-1	-1	-1	55	0	
14	14558788	691	-1	21	奚军溃兵	金国	186.164581	147.74234	26	-1	1000	-1	-1	0	2	-1	-1	-1	-1	-1	-1	55	0	
15	14558789	691	-1	21	奚军溃兵	金国	178.94928	147.585815	30	-1	1000	-1	-1	0	2	-1	-1	-1	-1	-1	-1	55	0	
16	14558790	691	-1	21	奚军溃兵	金国	181.339584	162.185913	6	-1	1000	-1	-1	0	2	-1	-1	-1	-1	-1	-1	55	0	
17	14558791	691	-1	21	奚军溃兵	金国	178.152481	160.216339	2	-1	1000	-1	-1	0	2	-1	-1	-1	-1	-1	-1	55	0	
18	14558794	691	-1	21	奚军溃兵	金国	175.628143	151.346237	2	-1	1000	-1	-1	0	2	-1	-1	-1	-1	-1	-1	55	0	
19	14558795	691	-1	21	奚军溃兵	金国	172.628708	153.222672	2	-1	1000	-1	-1	0	2	-1	-1	-1	-1	-1	-1	55	0	
20	14558796	691	-1	21	奚军溃兵	金国	183.421722	164.8022	6	-1	1000	-1	-1	0	2	-1	-1	-1	-1	-1	-1	55	0	
21	14558797	691	-1	21	奚军溃兵	金国	183.768219	163.046158	6	-1	1000	-1	-1	0	2	-1	-1	-1	-1	-1	-1	55	0	
