NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	14275141	650	108000	20	木华黎	蒙古太师	109.495064	205.732239	32	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
1	14275471	643	-1	21	伏兵	金国飞虎军	95.680176	210.569946	9	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
2	14275476	643	-1	21	伏兵	金国飞虎军	91.265091	196.657104	27	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
3	14275478	643	-1	21	伏兵	金国飞虎军	108.827332	187.444031	22	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
4	14275485	643	-1	21	伏兵	金国飞虎军	101.687943	189.961777	0	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
5	14275491	643	-1	21	伏兵	金国飞虎军	124.021301	206.981018	0	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
6	14275492	643	-1	21	伏兵	金国飞虎军	96.123108	216.444046	0	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
7	14275494	643	-1	21	伏兵	金国飞虎军	130.34079	193.72229	22	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
8	14275495	643	-1	21	伏兵	金国飞虎军	127.586792	213.064331	32	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
9	14275500	643	-1	21	伏兵	金国飞虎军	105.874298	187.590164	22	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
10	14275666	643	-1	21	伏兵	金国飞虎军	102.350533	185.673569	20	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
11	14275668	643	-1	21	伏兵	金国飞虎军	126.957748	197.164124	27	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
12	14275670	643	-1	21	伏兵	金国飞虎军	87.963852	209.685898	20	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
13	14275672	643	-1	21	伏兵	金国飞虎军	101.415253	216.347763	20	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
14	14275673	643	-1	21	伏兵	金国飞虎军	127.522736	206.455933	27	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
15	14275675	643	-1	21	伏兵	金国飞虎军	105.793922	183.684845	22	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
16	14275685	643	-1	21	伏兵	金国飞虎军	97.766159	187.423615	22	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
17	14275687	643	-1	21	伏兵	金国飞虎军	95.272224	204.219482	27	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
18	14275691	643	-1	21	伏兵	金国飞虎军	88.247787	203.614716	22	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
19	14275693	643	-1	21	伏兵	金国飞虎军	129.159088	190.58551	32	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
20	14275743	643	-1	21	伏兵	金国飞虎军	128.89267	198.131226	20	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	50	0	
21	14276625	497	108007	20	成吉思汗	拥有四海的王	97.649246	56.008865	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
22	14277431	153	108003	20	速不台	蒙古怯薛军统帅	124.201111	62.44046	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
23	14277468	205	108004	20	托雷	成吉思汗四子	106.384445	55.93103	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
24	14277554	331	108006	20	郭靖	金刀驸马	91.85054	63.685379	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
25	14277567	216	108001	20	丘处机	长春真人	89.846237	57.440605	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
26	14277617	153	108020	20	大汗亲卫	蒙古	95.245987	54.88348	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
27	14277621	153	108021	20	大汗亲卫	蒙古	99.81237	54.981899	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
28	14277673	784	108019	20	士兵	蒙古	111.935593	67.420021	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
29	14277676	784	108020	20	士兵	蒙古	90.47448	52.278408	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
30	14277679	784	108021	20	士兵	蒙古	112.140114	59.481861	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
31	14277690	784	108019	20	士兵	蒙古	124.302231	58.703651	34	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
32	14277695	784	108020	20	士兵	蒙古	124.827888	66.405403	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
33	14277699	784	108021	20	士兵	蒙古	95.99939	77.081512	34	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
34	14277703	784	108019	20	士兵	蒙古	121.911758	66.12336	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
35	14277720	784	108020	20	士兵	蒙古	103.378922	76.773804	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
36	14277728	784	108021	20	士兵	蒙古	121.579735	59.249004	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
37	14277854	1152	108025	20	钥匙老人		108.962044	68.276741	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
38	14278766	329	108002	20	周伯通	老顽童	30.503437	103.909225	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	50	0	
39	14279700	642	-1	21	狼人	月夜杀戮者	208.0923	110.879234	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
40	14279720	642	-1	21	狼人	月夜杀戮者	202.982986	118.555687	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
41	14279721	642	-1	21	狼人	月夜杀戮者	197.738998	129.622116	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
42	14279726	642	-1	21	狼人	月夜杀戮者	198.30838	120.426971	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
43	14279728	642	-1	21	狼人	月夜杀戮者	195.297699	105.16259	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
44	14279729	642	-1	21	狼人	月夜杀戮者	188.517975	133.685333	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
45	14279730	642	-1	21	狼人	月夜杀戮者	212.707138	133.44342	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
46	14279731	642	-1	21	狼人	月夜杀戮者	214.686584	125.134895	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
47	14279732	642	-1	21	狼人	月夜杀戮者	205.963364	102.370728	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
48	14279735	642	-1	21	狼人	月夜杀戮者	208.17717	134.946121	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
49	14279888	640	-1	21	黑蝎子		86.067848	159.127045	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
50	14279890	640	-1	21	黑蝎子		68.049828	141.6315	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
51	14279893	640	-1	21	黑蝎子		91.478966	139.992905	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
52	14279895	640	-1	21	黑蝎子		90.338249	132.884323	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
53	14279896	640	-1	21	黑蝎子		99.53804	150.058472	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
54	14279897	640	-1	21	黑蝎子		60.528473	145.130737	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
55	14279898	640	-1	21	黑蝎子		79.267563	153.323517	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
56	14279900	640	-1	21	黑蝎子		75.678268	164.89621	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
57	14279901	640	-1	21	黑蝎子		83.039063	134.224762	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
58	14279902	640	-1	21	黑蝎子		75.214867	136.406509	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	50	0	
