NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
index	guid	type	obj_id	camp_id	name	title	pos_x	pos_z	dir	script_id	respawn_time	group_id	team_id	base_ai	ai_file	patrol_id	shop0	shop1	shop2	shop3	ReputationID	level	viewgroup
0	1	1	-1	20	╢с╬ежщю╢╣дхК©з		50.310070	126.605049	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	60	0	
1	2	18801	-1	21	©ждЯ		59.777321	194.816345	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
2	3	18801	-1	21	©ждЯ		58.677322	194.916351	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
3	4	18801	-1	21	©ждЯ		58.677322	195.916351	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
4	5	18801	-1	21	©ждЯ		58.677322	193.916351	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
5	6	18801	-1	21	©ждЯ		59.677322	195.916351	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
6	7	18801	-1	21	©ждЯ		59.677322	193.916351	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
7	8	18801	-1	21	©ждЯ		60.677322	194.916351	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
8	9	18801	-1	21	©ждЯ		60.677322	195.916351	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
9	10	18801	-1	21	©ждЯ		60.677322	193.916351	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
10	11	18801	-1	21	©ждЯ		183.205795	34.858047	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
11	12	18801	-1	21	©ждЯ		183.305801	34.758045	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
12	13	18801	-1	21	©ждЯ		182.205795	34.858047	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
13	14	18801	-1	21	©ждЯ		182.205795	35.858047	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
14	15	18801	-1	21	©ждЯ		182.205795	33.858047	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
15	16	18801	-1	21	©ждЯ		183.205795	35.858047	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
16	17	18801	-1	21	©ждЯ		183.205795	33.858047	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
17	18	18801	-1	21	©ждЯ		184.205795	34.858047	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
18	19	18801	-1	21	©ждЯ		184.205795	35.858047	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
19	20	18801	-1	21	©ждЯ		184.205795	33.858047	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
20	21	18803	-1	21	╩ПардЯ		199.927063	177.536133	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
21	22	18803	-1	21	╩ПардЯ		200.027069	177.436127	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
22	23	18803	-1	21	╩ПардЯ		198.927063	177.536133	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
23	24	18803	-1	21	╩ПардЯ		198.927063	178.536133	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
24	25	18803	-1	21	╩ПардЯ		198.927063	176.536133	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
25	26	18803	-1	21	╩ПардЯ		199.927063	178.536133	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
26	27	18803	-1	21	╩ПардЯ		199.927063	176.536133	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
27	28	18803	-1	21	╩ПардЯ		200.927063	177.536133	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
28	29	18803	-1	21	╩ПардЯ		200.927063	178.536133	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
29	30	18803	-1	21	╩ПардЯ		200.927063	176.536133	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
30	31	18803	-1	21	╩ПардЯ		68.567131	98.378723	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
31	32	18803	-1	21	╩ПардЯ		68.667130	98.278725	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
32	33	18803	-1	21	╩ПардЯ		67.567131	98.378723	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
33	34	18803	-1	21	╩ПардЯ		67.567131	99.378723	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
34	35	18803	-1	21	╩ПардЯ		67.567131	97.378723	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
