NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	11446157	216	101000	20	丘处机	长春真人	69.000000	185.000000	34	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
1	11451415	61	101004	20	孛儿贴	草原明珠	124.066307	52.711533	30	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
2	11451625	48	101005	20	德薛禅	孛儿贴的父亲	126.891319	53.521061	29	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
3	11451952	59	101006	20	月伦夫人	铁木真的母亲	112.849091	51.998192	25	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
4	11456755	163	-1	20	花背	牧羊犬	128.700897	52.614082	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	1	0	
5	11457014	60	101009	20	雅苏夫人	孛儿贴的母亲	111.176033	53.803146	1	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
6	11469319	152	101007	20	勇士速不台	德薛禅义子	62.000000	42.000000	30	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
7	11674174	85	101010	20	忽尔牧	牧羊人	118.351189	52.400841	30	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
8	11699840	665	101002	20	木华黎	草原勇士	99.961090	156.764496	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
9	11699845	664	101003	20	札木合	草原勇士	94.708702	154.108154	8	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
10	11699860	415	101001	20	铁木真	草原英雄	97.796021	154.407501	6	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
11	11700526	1152	101020	20	钥匙老人		49.000000	204.000000	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	11	0	
12	13007147	87	101012	20	阿不台	行脚商人	121.341003	65.530098	5	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
13	13007149	86	101013	20	忽里满	草原游医	133.464035	61.353500	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
14	11451350	581	-1	20	　　		206.000000	198.000000	27	-1	1000	-1	-1	2	0	0	-1	-1	-1	-1	-1	20	0	
15	11451352	581	-1	20	　　		207.000000	198.000000	27	-1	1000	-1	-1	2	0	1	-1	-1	-1	-1	1	20	0	
16	11456701	581	-1	20	　　		202.438095	192.407501	27	-1	1000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	20	0	
17	11456704	581	-1	20	　　		215.800385	185.734207	27	-1	1000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	20	0	
18	11456706	581	-1	20	　　		223.840271	199.733505	27	-1	1000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	20	0	
19	11456708	581	-1	20	　　		225.138428	198.694641	27	-1	1000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	20	0	
20	11456710	581	-1	20	　　		215.746384	197.090988	27	-1	1000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	20	0	
21	11670936	574	-1	20	　　		136.325821	46.111446	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	1	0	
22	11670945	574	-1	20	　　		134.857193	47.072220	29	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	1	0	
23	11688881	581	-1	20	　　		214.277710	169.108627	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
24	11688884	581	-1	20	　　		213.679886	168.430237	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
25	11700522	168	-1	20	　　		39.000000	134.000000	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	10	0	
26	13007093	576	-1	21	黑熊		146.865082	116.854790	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
27	13007103	576	-1	21	黑熊		147.965652	108.069427	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
28	13007104	576	-1	21	黑熊		146.751099	104.636726	15	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
29	13007105	576	-1	21	黑熊		112.716805	91.621330	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
30	13007114	576	-1	21	黑熊		145.142776	100.096733	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
31	13007128	576	-1	21	黑熊		121.924904	95.445122	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
32	13007132	576	-1	21	黑熊		125.233284	117.282227	3	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
33	13007133	576	-1	21	黑熊		106.128113	99.499947	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
34	13007134	576	-1	21	黑熊		138.658142	91.251762	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
35	13007136	576	-1	21	黑熊		139.125565	111.207886	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
36	13007139	576	-1	21	黑熊		133.566269	92.237411	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
37	11474914	576	-1	21	黑熊		134.284302	116.133583	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
38	11474951	576	-1	21	黑熊		126.049828	109.234726	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
39	11474958	576	-1	21	黑熊		130.816422	96.403069	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
40	11474960	576	-1	21	黑熊		153.861298	91.507019	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
41	11474962	576	-1	21	黑熊		101.502876	111.940834	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
42	11474983	576	-1	21	黑熊		115.321564	99.973213	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
43	11474985	576	-1	21	黑熊		156.686462	104.005447	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
44	11474987	576	-1	21	黑熊		154.985733	115.938751	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
45	11474989	576	-1	21	黑熊		106.876984	111.140305	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
46	11474990	576	-1	21	黑熊		113.426933	106.761055	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
47	11474992	576	-1	21	黑熊		122.458008	116.541443	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
48	11474997	576	-1	21	黑熊		147.906464	89.126434	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
49	11475000	576	-1	21	黑熊		160.735931	95.180328	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
50	11475002	576	-1	21	黑熊		121.320946	104.936409	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
51	11475005	576	-1	21	黑熊		151.279373	101.647568	16	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
52	13007093	576	-1	21	黑熊		146.865082	116.854790	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
53	13007103	576	-1	21	黑熊		145.437531	108.439140	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
54	13007104	576	-1	21	黑熊		130.443512	109.279678	16	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
55	13007105	576	-1	21	黑熊		115.998726	93.024078	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
56	13007114	576	-1	21	黑熊		143.852203	100.006561	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
57	13007128	576	-1	21	黑熊		124.152512	95.697929	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
58	13007132	576	-1	21	黑熊		118.930344	112.716766	3	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
59	13007133	576	-1	21	黑熊		108.526810	100.329590	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	13	0	
