NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	6	1407	111000	20	拖雷	西征主帅	178.809158	118.330879	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
1	9	1348	111011	20	李安远	西夏军统领	175.69014	120.562401	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
2	18	1402	111012	20	完颜合	被俘的完颜洪烈部将	211.738342	118.101112	12	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
3	22	1348	111022	20	李德安	西夏军统领	175.759964	123.269638	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
4	24	1370	111004	20	萨伊	回鹘部族王子	161.371994	64.230797	24	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
5	35	1413	111005	20	乌罕	党项部族族长	36.426552	31.479786	32	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
6	41	213	111007	20	耶律楚材	西征副帅	162.526535	205.543106	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
7	48	153	111006	20	旭烈兀	西征军万夫长	49.533932	213.28569	8	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
8	25	1368	111003	20	萨尔沃	回鹘部族长老	219.831604	34.442215	24	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
9	30	1369	111029	20	萨尔干	回鹘部族猎户	214.603699	31.997353	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
10	31	60	111030	20	伊珊	回鹘部族	223.610062	44.234055	16	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
11	32	153	111002	20	合丹	西征军万夫长	220.361023	39.316181	16	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
12	23	1369	111032	20	卡尔木	回鹘部族	189.425232	130.481934	18	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
13	19	153	111001	20	察合台	西征军万夫长	208.584015	116.092903	32	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
14	66	1410	111034	20	拔都	西征军万夫长	79.543198	112.965462	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
15	66	1152	111028	20	钥匙老人	剧场传送人	193	113	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
16	7	153	111014	20	拖雷亲卫		183	116.366287	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
17	8	153	111015	20	拖雷亲卫		174.75351	116.366287	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
18	10	153	111013	20	忽必烈	西征军千夫长	182.047882	120.608681	20	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
19	11	153	111016	20	拜尔答	西征军千夫长	182.10376	123.468262	16	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
20	12	1414	111021	20	西夏擒生军		172	126	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
21	13	1414	111023	20	西夏擒生军		172	123	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
22	14	1414	111024	20	西夏擒生军		172	120	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
23	15	1414	111021	20	西夏擒生军		172	117	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
24	12	152	111017	20	蒙古西征军		213.304749	106.618637	20	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
25	13	152	111018	20	蒙古西征军		172.794998	163.813995	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
26	14	152	111019	20	蒙古西征军		183.44838	164.012466	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
27	15	152	111020	20	蒙古西征军		174.575745	138.38205	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
28	16	152	111017	20	蒙古西征军		182.560944	138.40358	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
29	17	152	111018	20	蒙古西征军		205.291336	106.136993	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
30	20	152	111019	20	蒙古西征军		207.934341	119.465355	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
31	21	152	111020	20	蒙古西征军		212.561768	114.015648	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
32	26	1370	111025	20	回鹘部族勇士		208.878876	44.473488	16	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
33	27	1370	111026	20	回鹘部族勇士		211.320709	32.880165	20	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
34	28	1370	111027	20	回鹘部族勇士		204.224976	46.508888	12	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
35	29	1370	111025	20	回鹘部族勇士		209.624069	30.342646	20	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
36	33	152	111017	20	蒙古西征军		222.674332	41.640392	20	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
37	34	152	111018	20	蒙古西征军		221.957535	37.180695	16	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
38	36	1346	111038	20	党项部落勇士		44	29.379112	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
39	36	1346	111039	20	党项部落勇士		32	33	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
40	36	1346	111040	20	党项部落勇士		28	36	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
41	36	1346	111041	20	党项部落勇士		37	52	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
42	36	1346	111038	20	党项部落勇士		28	58	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
43	36	1346	111042	20	受伤的党项勇士		26	41	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
44	36	1346	111043	20	受伤的党项勇士		26	39	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
45	36	4273	111036	20	珊娜	党项部落	26	43	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
46	36	1346	111037	20	达耶	党项部落巫医	30	35	28	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
47	43	153	111031	20	蒙古西征军百夫长		159.439957	202.081329	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
48	45	153	111031	20	蒙古西征军百夫长		158.915588	208.232605	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
49	46	152	111017	20	蒙古西征军		157.338211	198.331314	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
50	47	152	111018	20	蒙古西征军		157.173203	211.357437	0	0	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
