NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	13480328	48	104100	-1	王汗	克烈部可汗	205.159332	55.60577	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
1	13480732	87	104101	-1	失里黑	克烈部鼓手	196.315475	47.296364	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
2	13492666	497	104102	-1	铁木真	乞颜部可汗	203.867615	168.635406	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
3	13492874	1152	104103	-1	钥匙老人		177	111	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
4	13492974	153	104104	-1	博尔术	乞颜部	205.044342	166.432343	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
5	13493069	153	104105	-1	术赤	铁木真长子	205.233337	170.051559	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
6	13482251	91	104106	-1	答理台		200.644653	45.462296	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
7	13482329	91	104107	-1	阿勒坛		192.589447	65.844666	13	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
8	13482368	91	104108	-1	忽察儿		181.708206	61.992077	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
9	13495331	61	104109	-1	华筝	铁木真爱女	194.144058	165.21991	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
10	13495358	64	104110	-1	乌日娜		194.507477	163.456573	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
11	13495371	64	104111	-1	托亚		192.257263	165.164383	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
12	13495465	153	104112	-1	速不台	乞颜部	180.10379	183.53511	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
13	13495632	784	104113	-1	答速	乞颜部	179.693787	186.540787	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
14	13495648	784	104114	-1	不里	乞颜部	178.390289	181.577728	36	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
15	13495725	1905	104115	-1	木华黎	乞颜部	113.117973	185.110535	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
16	13495767	153	104116	-1	察合台	乞颜部	110.773598	183.512085	29	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
17	13495789	153	104117	-1	窝阔台	乞颜部	114.827118	183.053619	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
18	13640791	331	104118	-1	郭靖		104.940643	45.868973	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
19	13640887	211	104119	-1	哲别		107.483551	47.237267	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
20	13640896	153	104120	-1	拖雷		110.042404	45.062443	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
21	13644245	382	104121	-1	失踪的侦察兵		210.903854	201.991699	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
22	13481302	146	104122	-1	草原战士	克烈部	196.152817	66.404449	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
23	13481312	146	104124	-1	草原战士	克烈部	178.666199	69.627937	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
24	13481317	146	104125	-1	草原战士	克烈部	188.548889	71.356712	23	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
25	13481733	146	104129	-1	草原战士	克烈部	164.890778	54.744118	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
26	13481856	146	104130	-1	草原战士	克烈部	189.917328	59.559914	23	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
27	13481860	146	104131	-1	草原战士	克烈部	190.859512	73.958496	23	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
28	13482570	147	104132	-1	可汗护卫	克烈部	207.13765	54.869972	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
29	13482575	147	104133	-1	可汗护卫	克烈部	205.587296	57.641354	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
30	13483997	146	104140	-1	草原战士	克烈部	186.437134	55.289417	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
31	13484012	146	104142	-1	草原战士	克烈部	172.783676	68.271355	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
32	13484032	146	104145	-1	草原战士	克烈部	203.302551	43.948936	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
33	13484036	146	104146	-1	草原战士	克烈部	202.042404	62.86478	13	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
34	13484114	146	104148	-1	草原战士	克烈部	167.300003	57.604897	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
35	13484118	146	104149	-1	草原战士	克烈部	169.167542	66.366776	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
36	13484131	146	104150	-1	草原战士	克烈部	194.167526	52.721188	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
37	13484136	146	104151	-1	草原战士	克烈部	193.560593	48.858379	36	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
38	13493657	784	104152	-1	草原战士	乞颜部	160.826538	145.852478	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
39	13493665	784	104153	-1	草原战士	乞颜部	160.792908	143.547211	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
40	13493676	784	104154	-1	草原战士	乞颜部	175.351868	127.522942	11	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
41	13493681	784	104155	-1	草原战士	乞颜部	172.972595	128.762421	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
42	13493690	784	104156	-1	草原战士	乞颜部	204.049896	134.588104	11	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
43	13493695	784	104157	-1	草原战士	乞颜部	198.087173	135.237518	11	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
44	13493702	784	104158	-1	草原战士	乞颜部	201.282257	107.359619	11	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
