NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	12194084	497	105100	-1	铁木真	东蒙古之王	69.843254	123.334961	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
1	12112417	1152	105103	-1	钥匙老人		49.724678	138.74176	10	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
2	12108063	94	105104	-1	阔阔出		29.880556	125.385323	1	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
3	12113506	781	105106	-1	太阳汗	乃蛮部可汗	174.599686	90.858337	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
4	12113510	782	105107	-1	札木合	札阑部可汗	101.956673	32.78587	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
5	12113516	783	105108	-1	王汗	克烈部可汗	174.254379	93.98777	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
6	12177724	87	105110	-1	德薛禅	铁木真岳父	72.177498	139.580063	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
7	12177938	153	105111	-1	察合台	铁木真二子	60.254532	143.07074	5	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
8	12194090	153	105112	-1	博尔术		72.507927	127.244072	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
9	12194099	153	105113	-1	者勒篾		75.493935	127.588516	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
10	12194107	153	105114	-1	术赤		75.720291	118.578033	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
11	12194113	153	105115	-1	窝阔台		73.040047	119.17421	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
12	12197619	60	105116	-1	月伦夫人	铁木真之母	30.004511	122.995804	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
13	12197624	61	105117	-1	华筝	铁木真爱女	49.097973	108.323936	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
