NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	677445	443	112000	-1	成吉思汗		127.662857	85.355896	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
1	677466	1167	112001	-1	耶律楚材		124.626205	86.72551	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
2	15486644	1690	112002	-1	耶律洪熙护卫		193.56601	56.813766	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
3	15486648	55	112003	-1	耶律洪熙		191.57637	55.571777	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
4	677782	153	112004	-1	旭烈兀	拖雷之子	196.267029	85.047302	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
5	678302	331	112005	-1	郭宝玉	郭靖之子	181.492172	138.437424	30	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
6	15487362	1157	112006	-1	慕容莺		186.979889	156.40834	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
7	15487362	1152	112007	-1	钥匙老人		139.478333	116.14386	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
8	679259	1939	112008	-1	阿剌丁	穆斯林长老	21.786602	55.711739	34	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
9	679352	1914	112009	-1	耶律婉容		221.598785	160.90123	22	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
10	15480788	153	112010	-1	贵由	窝阔台之子	42.888092	66.985519	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
11	15488769	153	112013	-1	蒙哥	拖雷之子	131.509369	89.743874	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
12	15566568	153	112014	-1	拔都	术赤之子	123.50441	89.730858	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
13	15487380	1939	112015	-1	拓跋羯	霍山刺客大首领	201.218033	209.415817	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
14	679185	1629	112016	-1	西辽穆斯林		23.21299	58.60434	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
15	679191	1629	112017	-1	西辽穆斯林		111.930832	163.010864	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
16	679200	1909	112018	-1	西辽穆斯林		21.845547	52.989891	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
17	679218	1909	112019	-1	西辽穆斯林		109.540268	161.951355	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
18	679229	1629	112020	-1	西辽穆斯林		25.075245	55.293137	22	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
19	690561	1629	112023	-1	西辽百姓		139.359329	103.554993	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
20	690570	1911	112024	-1	西辽百姓		120.438385	159.191208	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
21	690583	1629	112026	-1	西辽百姓		114.934052	103.728821	29	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
22	690590	1911	112027	-1	西辽百姓		145.317184	161.466095	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
23	690595	1629	112028	-1	西辽百姓		146.401428	158.043503	23	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
24	690599	1629	112034	-1	欧阳锋	西辽百姓	143.060043	157.107971	29	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
25	690626	1912	112031	-1	西辽百姓		149.453827	106.091507	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
26	15482680	770	112035	-1	蒙古士兵		122.541977	98.286499	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
27	677795	770	112039	-1	蒙古士兵		194.871521	88.92141	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
28	677805	770	112040	-1	蒙古士兵		200.367935	86.115234	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
29	678316	770	112041	-1	蒙古士兵		179.323792	137.009628	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
30	678322	770	112042	-1	蒙古士兵		183.723846	136.205566	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
31	15482880	770	112045	-1	蒙古士兵		34.12748	68.634491	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
32	15482883	770	112046	-1	蒙古士兵		31.702492	67.907303	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
33	15482890	770	112047	-1	蒙古士兵		40.440704	70.758575	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
34	15482893	770	112048	-1	蒙古士兵		36.844299	69.610153	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
35	15482912	770	112051	-1	蒙古士兵		132.53299	98.320114	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
36	15482920	770	112052	-1	蒙古士兵		133.406372	107.667542	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
37	15486448	770	112054	-1	蒙古士兵		121.950211	107.728577	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
38	15486456	770	112055	-1	蒙古士兵		45.253372	64.572617	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
39	15486459	770	112056	-1	蒙古士兵		44.311172	70.575447	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
40	15487168	770	112057	-1	蒙古士兵		219.862671	88.895927	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
41	15487173	770	112058	-1	蒙古士兵		218.310776	109.750671	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
42	15487204	770	112060	-1	蒙古士兵		121.40239	156.501663	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
43	15487223	770	112062	-1	蒙古士兵		223.894379	108.942566	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
44	15487266	770	112063	-1	蒙古士兵		122.211792	84.756798	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
45	15487270	770	112064	-1	蒙古士兵		133.106262	84.741287	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
46	15487293	770	112067	-1	蒙古士兵		129.837799	156.585388	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	70	0	
47	15558313	1682	-1	21	突厥先锋军		87.685448	181.992874	7	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	70	0	
48	15558314	1682	-1	21	突厥先锋军		76.85717	197.012421	7	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	70	0	
49	15558316	1682	-1	21	突厥先锋军		83.743156	201.913513	7	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	70	0	
