NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	2336879	153	113000	-1	拔都	术赤之子	98.2752	63.452248	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
1	2336958	443	113001	-1	成吉思汗		163.827652	39.671925	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
2	2336979	153	113002	-1	蒙哥	拖雷之子	145.093002	103.579002	11	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
3	2395707	331	113003	-1	郭宝玉	郭靖之子	190.214539	197.382172	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
4	2395736	773	113004	-1	旭烈兀	拖雷之子	110.998428	166.008545	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
5	2405939	1305	113006	-1	直古鲁	西辽国王	45.056328	115.396049	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
6	2409408	31	113007	-1	天宸禅师		123.352821	51.32444	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
7	2409571	13	113008	-1	小和尚		126.393646	52.935513	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
8	2335986	1167	113009	-1	耶律楚材		144.028549	101.039223	34	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
9	2335995	153	113010	-1	忽必烈	拖雷之子	146.658035	101.788834	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
10	2502301	1152	113011	-1	钥匙老人		142.364716	53.337193	34	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
11	2502408	773	113012	-1	拜答尔	察合台之子	164.134277	102.438904	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
12	2502470	773	113013	-1	合丹	窝阔台之子	152.357742	71.864952	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	65	0	
