NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	14107753	208	107010	20	大乌丸	野人女真头领	229.082184	111.410324	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
1	14108033	497	107001	20	成吉思汗	蒙古四海之王	137.359528	44.197697	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
2	14108395	205	107005	20	托雷	成吉思汗四子	133.599503	154.704773	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
3	14108595	153	107006	20	忽必来	蒙古千夫长	131.134979	158.152832	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
4	14109454	62	107016	20	纳兰真	大乌丸爱女	232.258774	113.834404	21	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
5	14109527	54	107007	20	完颜齐回	金军迎旨官	164.752487	183.685135	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
6	14109884	115	107009	20	耶律阿海	耶律家仆人	50.794052	62.402637	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
7	14266986	1906	107003	20	木华黎	蒙古万夫长	130.125793	155.024628	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
8	14267241	210	107014	20	杨康	金国小王爷	45	35	25	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
9	14267338	153	107011	20	速不台	蒙古千夫长	54.217598	142.311096	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	14267344	213	107012	20	窝阔台	成吉思汗三子	51.306816	145.54863	10	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
11	14268478	1027	-1	21	金国钦差		186.567856	119.595955	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
12	14268595	1024	-1	21	完颜合达	金国龙兴将军	97.999641	49.160336	20	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
13	14268848	1025	-1	21	耶律家臣		73.719963	85.331535	13	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
14	14109940	1167	107008	20	耶律楚材	尚书员外郎	50.159389	59.85038	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
15	14265462	1013	-1	21	群牧监守备		192.215866	76.600044	13	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
16	14265473	1013	-1	21	群牧监守备		204.916214	74.227554	13	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
17	14265481	1013	-1	21	群牧监守备		200.252594	86.619202	13	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
18	14265487	1014	-1	21	牧马监		208.354599	59.035229	33	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
19	14265489	1014	-1	21	牧马监		206.403214	63.503929	1	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
20	14269223	1031	-1	21	完颜纲	金国丞相	131.115219	91.542274	17	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
21	14350411	1030	-1	21	胡沙虎	金国虎翼将军	40	35	30	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
22	14393844	331	107013	20	郭靖	金刀驸马	47.702049	142.558044	1	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
23	14452052	1029	-1	21	形迹可疑的使臣		104.887138	73.659325	23	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
24	14108908	784	107020	20	蒙古士兵		145.339798	41.788761	23	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
25	14108909	784	107021	20	蒙古士兵		144.162918	54.231003	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
26	14108913	784	107020	20	蒙古士兵		217.448639	39.148449	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
27	14108953	784	107021	20	蒙古士兵		149.714523	44.143368	23	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
28	14108954	784	107015	20	蒙古士兵		217.526306	29.917744	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
29	14108987	784	107020	20	蒙古士兵		172.999374	54.578869	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
30	14108990	784	107021	20	蒙古士兵		139.833038	52.137394	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
31	14108995	784	107015	20	蒙古士兵		157.562408	49.56926	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
32	14109000	784	107015	20	蒙古士兵		153.471558	56.505219	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
33	14109017	784	107015	20	蒙古士兵		138.898697	156.67038	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
34	14109018	784	107015	20	蒙古士兵		132.923965	163.836029	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
35	14109059	784	107020	20	蒙古士兵		38.302353	195.066101	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
36	14109063	784	107021	20	蒙古士兵		38.137226	184.464279	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
37	14109075	784	107015	20	蒙古士兵		48.347408	147.78334	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
38	14109175	784	107015	20	蒙古士兵		167.559647	63.895607	33	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
