NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	10734095	34	103000	20	完颜洪烈	大金国赵王	209.028137	211.813248	11	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
1	10734238	497	103001	20	铁木真	乞颜部领袖	209	208	15	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
2	10734275	784	103004	20	士兵	乞颜部	179.471252	192.181046	13	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
3	10734284	784	103004	20	士兵	乞颜部	179.588867	190.387283	13	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
4	10734527	61	103005	20	华筝	小郡主	223.360168	85.022095	18	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
5	10734729	216	103006	20	丘处机	长春道长	207.104904	42.852001	27	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
6	10735062	117	103008	20	赵王府侍卫	金国	207.594589	212.884186	11	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
7	10735098	117	103008	20	赵王府侍卫	金国	210.639328	212.816238	13	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
8	10735328	153	103020	20	窝阔台	铁木真三子	190.425186	209.110245	4	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
9	10735351	784	103010	20	士兵	乞颜部	174.522034	199.949081	10	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
10	10735404	784	103011	20	士兵	乞颜部	205.343292	182.644577	11	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
11	10735429	784	103011	20	士兵	乞颜部	192.178864	191.957169	15	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
12	10735451	784	103013	20	士兵	乞颜部	184.115128	200.870026	11	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
13	10735495	153	103018	20	术赤	铁木真长子	195.514618	211.627701	10	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
14	10735509	784	103012	20	士兵	乞颜部	217.037643	206.625793	14	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
15	11408816	1906	103003	20	木华黎	乞颜部将军	214	206	17	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
16	11408870	213	103002	20	速不台	乞颜部将军	214.950226	198.399261	22	-1	15000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
