NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	10734095	34	103000	20	完颜洪烈	大金国赵王	208.842911	211.658401	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
1	10734238	497	103001	20	铁木真	乞颜部领袖	209.735947	210.032181	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
2	10734275	308	103004	20	士兵	乞颜部	174.678177	187.866364	13	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
3	10734284	308	103004	20	士兵	乞颜部	173.664673	184.978409	13	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
4	10734527	61	103005	20	华筝	小郡主	204.891739	213.823578	10	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
5	10734729	216	103006	20	丘处机	长春道长	207.104904	42.852001	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
6	10735098	786	103008	20	赵王府侍卫	金国	208.853439	213.600525	13	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
7	10735328	661	103020	20	窝阔台	铁木真三子	212.645004	199.085999	21	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
8	10735404	308	103011	20	士兵	乞颜部	183.072052	176.998123	11	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
9	10735429	308	103011	20	士兵	乞颜部	192.510422	189.688324	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
10	10735451	308	103013	20	士兵	乞颜部	187.314423	197.567688	11	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
11	10735495	661	103018	20	术赤	铁木真长子	199.024002	212.828003	8	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
12	10735509	308	103012	20	士兵	乞颜部	215.225983	206.583786	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
13	11408816	1905	103003	20	木华黎	乞颜部将军	213.527420	204.983124	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
14	11408870	213	103002	20	速不台	乞颜部将军	166.249207	198.551636	14	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
15	11408907	308	103012	20	士兵	乞颜部	213.188477	196.431686	21	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
16	11408914	308	103011	20	士兵	乞颜部	215.080750	202.222900	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
17	11408981	661	103019	20	察合台	铁木真次子	211.931213	209.389236	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
18	10734095	62	103017	20	华筝的侍女	乞颜部	204.040848	215.008087	11	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	30	0	
19	12034681	588	-1	21	雪人	圣山	183.576172	91.863464	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
20	12034705	588	-1	21	雪人	圣山	171.152802	82.359039	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
21	12034708	588	-1	21	雪人	圣山	187.603165	63.323071	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
22	12034721	588	-1	21	雪人	圣山	198.313797	56.481621	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
23	12034722	588	-1	21	雪人	圣山	191.396530	65.662468	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
24	12034724	588	-1	21	雪人	圣山	181.947327	72.428833	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
25	12034726	588	-1	21	雪人	圣山	175.571228	86.752052	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
26	12034728	588	-1	21	雪人	圣山	159.086090	88.287056	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
27	12034730	588	-1	21	雪人	圣山	167.804611	87.707405	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
28	12034731	588	-1	21	雪人	圣山	163.769730	85.961540	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
29	12034739	588	-1	21	雪人	圣山	225.071259	58.786121	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
30	12034746	588	-1	21	雪人	圣山	227.355042	48.861771	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
31	12034752	588	-1	21	雪人	圣山	234.568710	25.679726	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
32	12034756	588	-1	21	雪人	圣山	232.796387	31.918125	2	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
33	12034763	588	-1	21	雪人	圣山	228.457611	37.507019	14	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
34	12034770	588	-1	21	雪人	圣山	220.884888	23.568153	32	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
35	12034777	588	-1	21	雪人	圣山	201.083847	21.477900	4	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
36	12034785	588	-1	21	雪人	圣山	180.738571	23.157393	2	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
37	12034791	588	-1	21	雪人	圣山	181.735336	27.038515	2	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
38	12034805	589	-1	21	雪人王	雪山征服者	184.099792	22.807579	27	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	20	0	
39	12035380	588	-1	21	雪人	圣山	200.438553	97.848251	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
40	12035381	588	-1	21	雪人	圣山	204.345444	91.388351	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
41	12035388	588	-1	21	雪人	圣山	223.579010	92.357140	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
42	12035405	588	-1	21	雪人	圣山	207.232697	99.220650	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
43	12035455	657	103007	20	郭靖	潜入敌营的乞颜部驸马	59.288830	50.154755	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
44	12035562	657	103009	20	哲别	潜入敌营的乞颜部将军	60.000000	49.000000	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
45	12036335	608	-1	21	弓箭手	塔塔尔	137.580750	181.060623	0	-1	1000	-1	-1	1	2	-1	-1	-1	-1	-1	-1	20	0	
46	12036339	608	-1	21	弓箭手	塔塔尔	138.392029	187.072296	2	-1	1000	-1	-1	1	2	-1	-1	-1	-1	-1	-1	20	0	
47	12036357	608	-1	21	弓箭手	塔塔尔	131.227554	192.007339	2	-1	1000	-1	-1	1	2	-1	-1	-1	-1	-1	-1	20	0	
48	12036368	608	-1	21	弓箭手	塔塔尔	129.344818	189.627609	9	-1	1000	-1	-1	1	2	-1	-1	-1	-1	-1	-1	20	0	
49	12036375	608	-1	21	弓箭手	塔塔尔	115.900742	188.806702	9	-1	1000	-1	-1	1	2	-1	-1	-1	-1	-1	-1	20	0	
50	12036381	608	-1	21	弓箭手	塔塔尔	123.295547	196.362030	2	-1	1000	-1	-1	1	2	-1	-1	-1	-1	-1	-1	20	0	
51	12036593	608	-1	21	弓箭手	塔塔尔	110.689819	190.677185	2	-1	1000	-1	-1	1	2	-1	-1	-1	-1	-1	-1	20	0	
