NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	16343839	16122	120000	20	蒙古勇士		218.302185	65.327942	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
1	16343840	16100	120001	20	郭宝玉	西征军副统帅	214.139771	64.076576	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
2	16343842	16101	120002	20	虎儿台	西征将军	194.423004	26.342501	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
3	16343843	16102	120003	20	图特阿海	西征将军	201.548996	26.242901	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
4	16343844	16102	120004	20	罕失剌	西征将军	201.520004	29.199499	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
5	16343845	16103	-1	20	蒙古勇士		193.857208	33.107491	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
6	16343846	16101	120006	20	赫尔温	西征将军	194.556	29.4006	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
7	16343848	16122	120007	20	蒙古勇士		209.385651	65.384567	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
8	16343849	16122	120008	20	蒙古勇士		208.509384	69.089661	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
9	16343850	16122	120009	20	蒙古勇士		219.701706	68.799538	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
10	16343851	16122	120010	20	蒙古勇士		219.701996	68.7995	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
11	16343852	16103	-1	20	蒙古勇士		202.846298	59.938126	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
12	16343854	16122	120013	20	蒙古勇士		184.662384	148.74823	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
13	16343855	16103	-1	20	蒙古勇士		193.832397	59.777756	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
14	16343856	16105	120015	20	苏德延吉儿	西征军大萨满	192.934799	78.49321	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
15	16343857	16106	120016	20	拔都	西征军统帅	197.891006	23.5835	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	94	0	
