NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15997573	207	110000	20	耶律楚材	蒙古和亲使	123.512077	122.988487	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
1	16008449	153	110001	20	和亲护卫军	蒙古	125.003769	121.994568	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
2	16008460	153	110002	20	和亲护卫军	蒙古	121.614563	122.077126	28	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	45	0	
3	16008593	55	110003	20	李宪	西夏亡国之君	125.231789	124.877693	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
4	16008613	54	110004	20	枢密侍郎	西夏国	120.146584	122.833702	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
5	16008621	53	110005	20	中书侍郎	西夏国	126.443741	122.842484	25	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
6	16009518	153	110006	20	塔拉	蒙古千夫长	106.561844	147.272308	3	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
7	16010198	56	110032	20	巴萨	商人	113.657516	109.313774	36	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
8	16010218	57	110033	20	萨凡	商人	147.881866	111.117249	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
9	16010244	73	110007	20	拉伊娜		108.215416	112.745598	2	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
10	16011190	71	110011	20	娜妮		108.763344	147.024719	14	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
11	16011491	83	110014	20	萨特姆	商人	152.945526	118.927681	22	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
12	16011850	85	110017	20	朝鲁	商人	111	110	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
13	16011933	91	110019	20	高良惠	西夏三司侍郎	147.80484	148.750504	17	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
14	16012629	81	110021	20	巴伊		75.560913	74.967102	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
15	16016832	814	-1	21	巴伊的护卫		73.550323	76.082825	3	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	45	0	
16	16016832	814	-1	21	巴伊的护卫		75.464417	73.145706	35	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	45	0	
17	16016832	814	-1	21	巴伊的护卫		76	77	3	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	45	0	
18	16016832	814	-1	21	巴伊的护卫		78	74	35	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	45	0	
19	16016919	82	110024	20	巴里	商人	82.657707	120.649712	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
20	16018712	72	110025	20	娜姬		37.210262	76.420326	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
21	16018855	71	110026	20	娜拉		58.072201	192.790558	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
22	16018932	73	110027	20	娜美		119.152359	223.683136	8	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
23	16018975	74	110028	20	娜菲		196.703552	98.548134	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
24	16019184	70	110029	20	神秘公主		217.601898	219.331329	14	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
25	16019421	108	110030	20	李延	一品堂	225.433395	166.57457	19	-1	1000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	45	0	
26	16020418	828	-1	20	   		71.010902	72.419724	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
27	16028117	88	110036	20	阿鲁	马车夫	54.695656	192.812714	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
28	16028130	86	110035	20	也台	西域商人	56.541107	190.385406	14	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
29	16028159	826	-1	20	           		53.759483	195.277298	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
30	16028264	107	110042	20	商队保镖		61.044556	195.814621	12	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
31	16028268	107	110042	20	商队保镖		54.788101	197.619324	25	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
32	14277854	1152	110039	20	钥匙老人		136.024368	129.110184	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	45	0	
33	3550696	801	-1	21	西夏匪兵		53.707134	87.809723	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
34	3550698	801	-1	21	西夏匪兵		52.128693	105.53331	25	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
35	3550820	801	-1	21	西夏匪兵		44.96209	102.350502	2	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
36	3552126	801	-1	21	西夏匪兵		54.806236	114.544533	2	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
37	3552128	801	-1	21	西夏匪兵		50.648911	94.618881	2	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
38	3552131	801	-1	21	西夏匪兵		50.367935	109.234039	2	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	45	0	
