NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±‡∫≈	ÀÊª˙±‡∫≈	attr±‡∫≈	¬ﬂº≠±Ì±‡∫≈	’Û”™±‡∫≈	√˚≥∆	≥∆∫≈	x÷·◊¯±Í	z÷·◊¯±Í	≥ØœÚ	Ω≈±æ±‡∫≈	÷ÿ…˙ ±º‰	∑÷◊È±‡∫≈	∂”ŒÈ±‡∫≈	ª˘¥°AI	AIŒƒº˛	—≤¬ﬂ¬∑æ∂	…ÃµÍ0	…ÃµÍ1	…ÃµÍ2	…ÃµÍ3	√˚”˛ID	µ»º∂	æµœÒ◊È
0	2	19101	-1	21	±˘¡È		32.170982	73.925392	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
1	3	19101	-1	21	±˘¡È		37.161316	72.794426	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
2	5	19101	-1	21	±˘¡È		31.264849	76.5392	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
3	6	19101	-1	21	±˘¡È		23.574265	76.835617	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
4	8	19101	-1	21	±˘¡È		22.734663	80.295166	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
5	9	19101	-1	21	±˘¡È		30.565529	78.750824	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
6	10	19101	-1	21	±˘¡È		36.281185	77.480202	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
7	11	19101	-1	21	±˘¡È		27.283514	81.525658	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
8	12	19101	-1	21	±˘¡È		33.038643	80.497681	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
9	13	19101	-1	21	±˘¡È		28.24332	86.120888	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
10	14	19101	-1	21	±˘¡È		37.52858	82.934998	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
11	15	19101	-1	21	±˘¡È		33.168358	83.52066	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
12	16	19101	-1	21	±˘¡È		24.504156	42.65147	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
13	17	19101	-1	21	±˘¡È		31.851727	37.69051	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
14	18	19101	-1	21	±˘¡È		33.056198	40.6973	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
15	19	19101	-1	21	±˘¡È		31.106462	45.81213	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
16	20	19101	-1	21	±˘¡È		26.756258	50.215054	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
17	21	19101	-1	21	±˘¡È		24.299515	53.539097	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
18	22	19101	-1	21	±˘¡È		29.770201	58.377335	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
19	24	19101	-1	21	±˘¡È		26.694023	65.219109	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
20	26	19106	-1	21	∑Á¡È		87.486755	34.438522	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
21	27	19106	-1	21	∑Á¡È		92.539223	32.460403	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
22	28	19106	-1	21	∑Á¡È		98.639503	31.7987	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
23	29	19106	-1	21	∑Á¡È		102.956192	31.80941	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
24	30	19106	-1	21	∑Á¡È		81.103287	35.49683	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
25	31	19106	-1	21	∑Á¡È		86.2705	37.848282	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
26	32	19106	-1	21	∑Á¡È		91.138695	35.584286	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
27	33	19106	-1	21	∑Á¡È		97.205666	33.623512	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
28	34	19106	-1	21	∑Á¡È		104.24044	37.331615	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
29	36	19106	-1	21	∑Á¡È		93.597168	40.925144	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
30	38	19106	-1	21	∑Á¡È		101.458694	41.571236	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
31	40	19106	-1	21	∑Á¡È		91.715973	47.759815	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
32	42	19106	-1	21	∑Á¡È		94.125404	47.854076	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
33	44	19106	-1	21	∑Á¡È		86.475403	54.686565	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
34	46	19106	-1	21	∑Á¡È		87.289337	62.102158	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
35	48	19106	-1	21	∑Á¡È		91.306686	69.010185	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
36	50	19106	-1	21	∑Á¡È		91.928871	78.247665	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
37	52	19106	-1	21	∑Á¡È		91.883034	86.718826	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
38	54	19106	-1	21	∑Á¡È		78.296295	91.711304	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
39	56	19106	-1	21	∑Á¡È		67.162903	95.916481	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
40	57	19001	-1	21	«Âµ¿∑Ú		24.515959	64.722092	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
41	58	19101	-1	21	±˘¡È		30.538662	53.70874	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
42	59	19101	-1	21	±˘¡È		33.357132	53.873646	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
43	60	19101	-1	21	±˘¡È		34.257713	49.737297	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
44	61	19101	-1	21	±˘¡È		34.077293	46.970669	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
45	62	19101	-1	21	±˘¡È		28.564674	50.293156	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
46	63	19101	-1	21	±˘¡È		26.55958	45.495426	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
47	64	19101	-1	21	±˘¡È		26.949429	77.349075	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
48	65	19101	-1	21	±˘¡È		28.097971	75.199516	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
49	66	19101	-1	21	±˘¡È		29.713442	85.192596	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
50	67	19101	-1	21	±˘¡È		25.925632	88.651237	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
51	68	19101	-1	21	±˘¡È		32.97937	89.133575	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
52	69	19101	-1	21	±˘¡È		33.680164	86.53183	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
53	70	19101	-1	21	±˘¡È		35.956432	80.499146	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
54	71	19101	-1	21	±˘¡È		33.919395	71.438904	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
55	72	19101	-1	21	±˘¡È		33.351437	65.223976	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
56	73	19101	-1	21	±˘¡È		33.69973	61.86005	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
57	74	19101	-1	21	±˘¡È		33.309509	56.53257	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
58	75	19101	-1	21	±˘¡È		30.227764	48.37191	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
59	76	19101	-1	21	±˘¡È		25.646858	57.076981	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
60	77	19101	-1	21	±˘¡È		26.678844	53.896393	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
61	78	19106	-1	21	∑Á¡È		84.759613	45.741402	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
