NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	2	19101	-1	21	冰灵		116.659096	89.822571	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
1	4	19101	-1	21	冰灵		114.320862	105.822151	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
2	7	19101	-1	21	冰灵		111.551888	83.830894	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
3	8	19101	-1	21	冰灵		118.381866	86.33609	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
4	9	19101	-1	21	冰灵		113.114822	97.703423	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
5	10	19101	-1	21	冰灵		111.616531	109.173553	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
6	11	19101	-1	21	冰灵		90.384995	97.093246	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
7	12	19101	-1	21	冰灵		87.321854	101.14846	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
8	14	19101	-1	21	冰灵		79.410919	97.377739	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
9	15	19101	-1	21	冰灵		79.956871	99.896729	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
10	16	19101	-1	21	冰灵		87.181099	92.858833	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
11	17	19101	-1	21	冰灵		92.672562	90.582405	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
12	18	19101	-1	21	冰灵		85.821785	97.374878	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
13	19	19101	-1	21	冰灵		77.013687	92.873695	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
14	20	19101	-1	21	冰灵		81.76886	90.439499	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
15	21	19101	-1	21	冰灵		78.804649	101.987007	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
16	22	19101	-1	21	冰灵		85.572441	85.709007	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
17	24	19101	-1	21	冰灵		84.604767	72.295128	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
18	26	19101	-1	21	冰灵		90.889778	65.170776	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
19	27	19101	-1	21	冰灵		81.782524	64.723152	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
20	29	19101	-1	21	冰灵		88.699959	75.507706	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
21	32	19109	-1	21	水灵		48.622044	82.339882	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
22	34	19109	-1	21	水灵		54.90559	98.56237	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
23	35	19109	-1	21	水灵		59.781082	93.824707	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
24	36	19109	-1	21	水灵		44.689758	96.368073	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
25	38	19109	-1	21	水灵		64.2519	97.920319	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
26	40	19109	-1	21	水灵		56.220013	111.337402	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
27	41	19109	-1	21	水灵		59.197433	103.451912	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
28	44	19109	-1	21	水灵		28.703745	33.810852	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
29	46	19109	-1	21	水灵		13.747637	33.05835	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
30	47	19109	-1	21	水灵		13.608525	13.442251	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
31	48	19109	-1	21	水灵		20.485596	12.46773	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
32	51	19109	-1	21	水灵		24.217003	18.950224	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
33	52	19109	-1	21	水灵		18.759512	20.557924	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
34	54	19109	-1	21	水灵		20.024761	25.34449	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
35	56	19109	-1	21	水灵		21.768955	27.876362	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
36	59	19109	-1	21	水灵		49.94529	17.559931	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
37	60	19109	-1	21	水灵		51.863453	25.127775	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
38	61	19109	-1	21	水灵		54.776367	31.960396	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
39	63	19109	-1	21	水灵		48.375057	36.71365	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
40	64	19001	-1	21	清道夫		112.635956	88.940422	0	0	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
41	65	19101	-1	21	冰灵		114.191147	101.428802	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
42	66	19101	-1	21	冰灵		114.511795	92.843948	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
43	67	19101	-1	21	冰灵		115.761955	93.953316	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
44	68	19101	-1	21	冰灵		116.626732	96.404938	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
45	69	19101	-1	21	冰灵		114.644279	96.767441	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
46	70	19101	-1	21	冰灵		112.323982	100.196205	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
47	71	19101	-1	21	冰灵		112.010223	92.620041	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
48	72	19101	-1	21	冰灵		111.20578	94.576538	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
49	73	19101	-1	21	冰灵		114.489456	85.834358	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
50	74	19101	-1	21	冰灵		115.466507	101.994202	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
51	75	19101	-1	21	冰灵		83.06031	95.427315	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
52	76	19101	-1	21	冰灵		82.577515	100.015526	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
53	77	19101	-1	21	冰灵		82.760941	101.851311	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
54	78	19101	-1	21	冰灵		84.279114	103.464752	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
55	79	19101	-1	21	冰灵		86.188835	104.373871	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
56	80	19101	-1	21	冰灵		90.865967	100.274628	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
57	81	19101	-1	21	冰灵		87.847893	94.590691	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
58	82	19101	-1	21	冰灵		91.230675	92.000023	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
59	83	19101	-1	21	冰灵		82.941574	90.524696	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
60	84	19101	-1	21	冰灵		80.013786	92.604034	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	110	0	
61	85	19109	-1	21	水灵		51.097332	91.362549	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
62	86	19109	-1	21	水灵		50.751148	94.10743	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
63	87	19109	-1	21	水灵		58.747486	98.016701	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
64	88	19109	-1	21	水灵		54.453812	102.047005	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
65	89	19109	-1	21	水灵		57.071259	106.362137	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
66	90	19109	-1	21	水灵		60.23217	108.327721	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
67	91	19109	-1	21	水灵		50.510326	96.830803	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
68	92	19109	-1	21	水灵		55.495358	92.555466	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
69	93	19109	-1	21	水灵		46.627396	91.325195	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
70	94	19109	-1	21	水灵		53.800083	85.65963	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
71	95	19109	-1	21	水灵		24.082134	25.429815	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
72	96	19109	-1	21	水灵		26.611139	27.241873	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
73	97	19109	-1	21	水灵		23.920296	30.840242	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
74	98	19109	-1	21	水灵		14.226894	28.678917	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
75	99	19109	-1	21	水灵		19.980888	31.302244	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
76	100	19109	-1	21	水灵		17.119316	29.685419	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
77	101	19109	-1	21	水灵		17.262793	33.624672	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
78	102	19109	-1	21	水灵		24.434576	34.723118	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
79	103	19109	-1	21	水灵		28.350876	21.053272	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
80	104	19109	-1	21	水灵		46.071499	28.455759	0	300640	10000	-1	-1	0	0	-1	-1	-1	-1	-1	-1	115	0	
