NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	0	9895	-1	21	红惑之蝠		96	50	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
1	1	9895	-1	21	红惑之蝠		79	98	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
2	2	9895	-1	21	红惑之蝠		16	108	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
3	3	9886	-1	21	冥王部将		47	32	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
4	4	56607	-1	21			95	50	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	80	0	
5	5	56607	-1	21			95.099998	49.900002	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	80	0	
6	6	56607	-1	21			94	50	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	80	0	
7	7	56607	-1	21			94	51	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	80	0	
8	8	56607	-1	21			94	49	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	80	0	
9	9	56607	-1	21			95	51	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	80	0	
10	10	56607	-1	21			95	49	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	80	0	
11	11	56607	-1	21			96	50	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	80	0	
12	12	56607	-1	21			96	51	0	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	80	0	
