NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
╠Ю╨е	кФ╩З╠Ю╨е	attr╠Ю╨е	бъ╪╜╠М╠Ю╨е	уСс╙╠Ю╨е	цШЁф	Ёф╨е	xжАвЬ╠Й	zжАвЬ╠Й	Ё╞оР	╫е╠╬╠Ю╨е	жьиЗй╠╪Д	╥жвИ╠Ю╨е	╤снИ╠Ю╨е	╩Ы╢║AI	AIнд╪Ч	я╡бъб╥╬╤	ил╣Й0	ил╣Й1	ил╣Й2	ил╣Й3	цШсЧID	╣х╪╤	╬╣оЯвИ
0	1	6960	-1	21	сд╨зж╝жК		157.410675	36.738827	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
1	2	6960	-1	21	сд╨зж╝жК		190.453369	86.478874	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
2	3	6960	-1	21	сд╨зж╝жК		141.682632	77.577698	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
3	4	6960	-1	21	сд╨зж╝жК		116.353233	60.330788	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
4	5	6960	-1	21	сд╨зж╝жК		115.055176	87.731133	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
5	6	6960	-1	21	сд╨зж╝жК		81.215431	73.206635	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
6	7	6960	-1	21	сд╨зж╝жК		55.606586	93.244736	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
7	8	6960	-1	21	сд╨зж╝жК		66.806877	126.120422	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
8	9	6960	-1	21	сд╨зж╝жК		100.502426	131.735855	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
9	10	6960	-1	21	сд╨зж╝жК		170.842758	130.60498	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
10	12	6961	-1	21	сдущж╝╥Д		70.282234	164.486343	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
11	13	6961	-1	21	сдущж╝╥Д		63.325802	200.294846	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
12	14	6961	-1	21	сдущж╝╥Д		139.060654	207.783508	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
13	15	6961	-1	21	сдущж╝╥Д		106.759789	162.179855	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
14	16	6961	-1	21	сдущж╝╥Д		135.145905	163.258514	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
15	17	6961	-1	21	сдущж╝╥Д		168.741135	167.1884	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
16	1	6960	-1	21	сд╨зж╝жК		157.591904	38.298107	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
17	2	6960	-1	21	сд╨зж╝жК		190.427017	87.971848	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
18	3	6960	-1	21	сд╨зж╝жК		141.682632	77.577698	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
19	4	6960	-1	21	сд╨зж╝жК		117.091011	59.272724	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
20	5	6960	-1	21	сд╨зж╝жК		113.944588	90.262032	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
21	6	6960	-1	21	сд╨зж╝жК		79.666367	74.024773	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
22	7	6960	-1	21	сд╨зж╝жК		55.911655	91.318947	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
23	8	6960	-1	21	сд╨зж╝жК		65.272507	125.435669	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
24	9	6960	-1	21	сд╨зж╝жК		100.455292	130.487198	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
25	10	6960	-1	21	сд╨зж╝жК		172.371643	131.78891	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
26	12	6961	-1	21	сдущж╝╥Д		68.882179	165.891281	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
27	13	6961	-1	21	сдущж╝╥Д		63.223965	198.565689	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
28	14	6961	-1	21	сдущж╝╥Д		104.376846	202.171417	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
29	15	6961	-1	21	сдущж╝╥Д		108.464027	161.162704	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
30	16	6961	-1	21	сдущж╝╥Д		134.173325	162.299438	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
31	17	6961	-1	21	сдущж╝╥Д		171.385437	207.653305	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
32	1	6960	-1	21	сд╨зж╝жК		157.184692	34.835018	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
33	2	6960	-1	21	сд╨зж╝жК		188.628143	87.242325	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
34	3	6960	-1	21	сд╨зж╝жК		141.682632	77.577698	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
35	4	6960	-1	21	сд╨зж╝жК		117.025078	59.729332	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
36	5	6960	-1	21	сд╨зж╝жК		115.186035	90.264435	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
37	6	6960	-1	21	сд╨зж╝жК		78.389549	70.128761	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
38	7	6960	-1	21	сд╨зж╝жК		58.35939	92.91272	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
39	8	6960	-1	21	сд╨зж╝жК		68.733421	126.273422	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
40	9	6960	-1	21	сд╨зж╝жК		102.663078	130.669662	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
41	10	6960	-1	21	сд╨зж╝жК		174.821289	128.47937	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
42	12	6961	-1	21	сдущж╝╥Д		67.461815	165.643951	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
43	13	6961	-1	21	сдущж╝╥Д		64.931007	199.329163	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
44	14	6961	-1	21	сдущж╝╥Д		102.768532	201.631378	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
45	15	6961	-1	21	сдущж╝╥Д		105.658897	161.10083	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
46	16	6961	-1	21	сдущж╝╥Д		135.69046	161.693344	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
47	17	6961	-1	21	сдущж╝╥Д		190.789459	158.254089	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
48	1	6960	-1	21	сд╨зж╝жК		158.531372	34.895477	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
49	2	6960	-1	21	сд╨зж╝жК		190.908371	87.027122	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
50	3	6960	-1	21	сд╨зж╝жК		141.682632	77.577698	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
51	4	6960	-1	21	сд╨зж╝жК		117.659149	60.672611	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
52	5	6960	-1	21	сд╨зж╝жК		112.731293	89.346764	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
53	6	6960	-1	21	сд╨зж╝жК		78.001236	72.467186	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
