NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	7336573	6969	-1	21	ÓÄ±ùÖ®×¦		93.140617	79.611923	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
1	7336574	6969	-1	21	ÓÄ±ùÖ®×¦		172.908112	62.154564	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
2	7336575	6969	-1	21	ÓÄ±ùÖ®×¦		122.016533	79.392609	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
3	7336578	6968	-1	21	ÓÄº¿Ö®Å£		85.60733	173.026306	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
4	7336579	6968	-1	21	ÓÄº¿Ö®Å£		132.583862	175.698853	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
5	7336581	6968	-1	21	ÓÄº¿Ö®Å£		132.919281	143.284103	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
6	7336583	6968	-1	21	ÓÄº¿Ö®Å£		199.928284	127.994759	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
7	7336589	6969	-1	21	ÓÄ±ùÖ®×¦		173.315399	57.887676	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
8	7336590	6969	-1	21	ÓÄ±ùÖ®×¦		121.502853	80.285301	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
9	7336593	6968	-1	21	ÓÄº¿Ö®Å£		83.55748	174.042465	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
10	7336594	6968	-1	21	ÓÄº¿Ö®Å£		133.113083	176.932022	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
11	7336596	6968	-1	21	ÓÄº¿Ö®Å£		134.059128	142.535873	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
12	7336598	6968	-1	21	ÓÄº¿Ö®Å£		198.608566	129.338333	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
13	7336599	6968	-1	21	ÓÄº¿Ö®Å£		190.046478	199.412018	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
14	7336650	6969	-1	21	ÓÄ±ùÖ®×¦		120.703644	80.632309	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
15	7336653	6968	-1	21	ÓÄº¿Ö®Å£		85.077682	172.608337	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
16	7336654	6968	-1	21	ÓÄº¿Ö®Å£		133.369583	176.034119	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
17	7336656	6968	-1	21	ÓÄº¿Ö®Å£		134.087433	144.167862	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
18	7336658	6968	-1	21	ÓÄº¿Ö®Å£		200.078079	130.236786	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
19	7336659	6968	-1	21	ÓÄº¿Ö®Å£		190.062805	162.898987	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
20	7336660	6969	-1	21	ÓÄ±ùÖ®×¦		61.669449	78.713905	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
21	7336661	6969	-1	21	ÓÄ±ùÖ®×¦		61.178123	59.915245	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
22	7336663	6969	-1	21	ÓÄ±ùÖ®×¦		94.74308	81.348434	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
23	7336664	6969	-1	21	ÓÄ±ùÖ®×¦		174.185242	62.254929	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
24	7336665	6969	-1	21	ÓÄ±ùÖ®×¦		123.229446	79.246422	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
