NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	6970	-1	21	幽金之奴		66.166687	192.276962	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
1	3	6970	-1	21	幽金之奴		61.249405	126.387703	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
2	5	6970	-1	21	幽金之奴		96.504791	122.274689	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
3	6	6970	-1	21	幽金之奴		63.911942	92.313324	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
4	7	6970	-1	21	幽金之奴		64.015602	61.675949	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
5	8	6970	-1	21	幽金之奴		97.456047	186.101196	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
6	9	6970	-1	21	幽金之奴		120.715286	183.605927	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
7	12	6971	-1	21	幽岩之奴		186.841476	185.367249	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
8	13	6971	-1	21	幽岩之奴		151.129364	182.884338	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
9	14	6971	-1	21	幽岩之奴		147.610382	166.166809	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
10	15	6971	-1	21	幽岩之奴		152.610184	62.647404	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
11	16	6971	-1	21	幽岩之奴		184.574158	122.115616	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
12	18	6971	-1	21	幽岩之奴		185.034744	89.352432	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
13	1	6970	-1	21	幽金之奴		67.506958	192.69989	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
14	3	6970	-1	21	幽金之奴		65.228958	125.914886	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
15	5	6970	-1	21	幽金之奴		92.992462	122.402695	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
16	6	6970	-1	21	幽金之奴		65.738655	93.131172	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
17	7	6970	-1	21	幽金之奴		65.340378	61.907692	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
18	8	6970	-1	21	幽金之奴		95.365753	182.540665	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
19	9	6970	-1	21	幽金之奴		119.560371	183.799026	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	80	0	
20	12	6971	-1	21	幽岩之奴		184.59227	181.820969	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
21	13	6971	-1	21	幽岩之奴		148.100327	164.114822	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
22	14	6971	-1	21	幽岩之奴		148.036362	165.960693	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
23	15	6971	-1	21	幽岩之奴		156.221146	83.863228	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
24	16	6971	-1	21	幽岩之奴		132.017807	121.04306	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
25	18	6971	-1	21	幽岩之奴		186.771561	88.082268	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	85	0	
