NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	7	6952	-1	21	幽焰之奴		103.00975	70.065399	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
1	8	6952	-1	21	幽焰之奴		95.314964	188.062653	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
2	9	6952	-1	21	幽焰之奴		115.720238	158.065979	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
3	14	6953	-1	21	幽铁之奴		145.931747	166.59964	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	95	0	
4	16	6953	-1	21	幽铁之奴		131.818527	122.753929	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	95	0	
5	17	6953	-1	21	幽铁之奴		179.95668	56.454884	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	95	0	
6	1	6952	-1	21	幽焰之奴		67.225441	201.349304	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
7	2	6952	-1	21	幽焰之奴		39.555801	190.696411	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
8	5	6952	-1	21	幽焰之奴		94.616516	121.887184	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
9	6	6952	-1	21	幽焰之奴		68.898216	94.935814	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
10	7	6952	-1	21	幽焰之奴		101.68148	69.936638	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
11	8	6952	-1	21	幽焰之奴		94.628326	183.499252	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
12	9	6952	-1	21	幽焰之奴		118.19133	158.759659	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	90	0	
