NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	7191860	2602	101173	-1	ÃÔ¹¬°Ë²ã	ÃÔ¹¬´«ËÍÈË	109	50	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
1	7191861	6954	-1	21	ÓÄº®Ö®Ä§		86.266937	78.927139	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
2	7191862	6954	-1	21	ÓÄº®Ö®Ä§		198.301163	118.982414	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
3	7191863	6954	-1	21	ÓÄº®Ö®Ä§		88.873299	81.144096	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
4	7191864	6954	-1	21	ÓÄº®Ö®Ä§		91.766319	81.655403	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
5	7191865	6954	-1	21	ÓÄº®Ö®Ä§		91.189163	77.564957	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
6	7191866	6954	-1	21	ÓÄº®Ö®Ä§		86.515068	80.755974	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
7	7191867	6954	-1	21	ÓÄº®Ö®Ä§		91.713074	79.118927	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
8	7191868	6954	-1	21	ÓÄº®Ö®Ä§		85.812958	76.976326	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
9	7191869	6954	-1	21	ÓÄº®Ö®Ä§		90.407692	83.549149	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
10	7191870	6954	-1	21	ÓÄº®Ö®Ä§		87.872116	84.299065	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
11	7191871	6954	-1	21	ÓÄº®Ö®Ä§		88.4711	79.326378	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
12	7191872	6954	-1	21	ÓÄº®Ö®Ä§		88.487053	77.077934	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
13	7191873	6954	-1	21	ÓÄº®Ö®Ä§		87.641022	32.766846	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
