NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
╠Ю╨е	кФ╩З╠Ю╨е	attr╠Ю╨е	бъ╪╜╠М╠Ю╨е	уСс╙╠Ю╨е	цШЁф	Ёф╨е	xжАвЬ╠Й	zжАвЬ╠Й	Ё╞оР	╫е╠╬╠Ю╨е	жьиЗй╠╪Д	╥жвИ╠Ю╨е	╤снИ╠Ю╨е	╩Ы╢║AI	AIнд╪Ч	я╡бъб╥╬╤	ил╣Й0	ил╣Й1	ил╣Й2	ил╣Й3	цШсЧID	╣х╪╤	╬╣оЯвИ
0	7336570	6900	-1	21	сд╨зж╝жК		60.393364	80.875023	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
1	7336571	6900	-1	21	сд╨зж╝жК		80.53363	51.903675	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
2	7336572	6900	-1	21	сд╨зж╝жК		148.902634	82.793144	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
3	7336573	6900	-1	21	сд╨зж╝жК		102.241837	71.315758	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
4	7336574	6900	-1	21	сд╨зж╝жК		191.707825	54.984142	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
5	7336575	6900	-1	21	сд╨зж╝жК		120.568626	83.178856	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
6	7336576	6901	-1	21	сдущж╝╥Д		112.172424	180.828674	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
7	7336577	6901	-1	21	сдущж╝╥Д		87.943336	172.832367	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
8	7336578	6901	-1	21	сдущж╝╥Д		82.840027	187.949661	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
9	7336579	6901	-1	21	сдущж╝╥Д		115.334351	196.474976	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
10	7336580	6901	-1	21	сдущж╝╥Д		105.439941	165.785736	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
11	7336581	6901	-1	21	сдущж╝╥Д		133.514664	119.205902	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
12	7336582	6901	-1	21	сдущж╝╥Д		179.113937	127.110153	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
13	7336583	6901	-1	21	сдущж╝╥Д		190.316528	157.695663	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
14	7336584	6901	-1	21	сдущж╝╥Д		190.04953	183.856689	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
15	7336585	6900	-1	21	сд╨зж╝жК		60.370193	83.606621	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
16	7336586	6900	-1	21	сд╨зж╝жК		80.427979	54.063164	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
17	7336587	6900	-1	21	сд╨зж╝жК		147.907654	80.693146	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
18	7336588	6900	-1	21	сд╨зж╝жК		101.931786	69.009712	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
19	7336589	6900	-1	21	сд╨зж╝жК		195.006836	53.243484	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
20	7336590	6900	-1	21	сд╨зж╝жК		120.402359	84.791359	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
21	7336591	6901	-1	21	сдущж╝╥Д		110.436501	183.440857	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
22	7336592	6901	-1	21	сдущж╝╥Д		79.746834	167.238312	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
23	7336593	6901	-1	21	сдущж╝╥Д		85.875755	187.693192	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
24	7336594	6901	-1	21	сдущж╝╥Д		115.124969	193.86676	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
25	7336595	6901	-1	21	сдущж╝╥Д		108.342972	166.039627	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
26	7336596	6901	-1	21	сдущж╝╥Д		133.376465	120.806412	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
27	7336597	6901	-1	21	сдущж╝╥Д		179.140167	124.772835	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
28	7336598	6901	-1	21	сдущж╝╥Д		192.176834	160.05098	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
29	7336599	6901	-1	21	сдущж╝╥Д		189.351639	181.438995	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
30	7336600	6900	-1	21	сд╨зж╝жК		58.610233	76.38385	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
31	7336601	6900	-1	21	сд╨зж╝жК		79.903297	56.442173	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
32	7336602	6900	-1	21	сд╨зж╝жК		145.531937	83.36142	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
33	7336603	6900	-1	21	сд╨зж╝жК		101.38327	74.080124	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
34	7336604	6900	-1	21	сд╨зж╝жК		197.748184	58.111786	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
35	7336605	6900	-1	21	сд╨зж╝жК		123.017555	82.8843	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	30	0	
36	7336606	6901	-1	21	сдущж╝╥Д		113.114861	183.956573	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
37	7336607	6901	-1	21	сдущж╝╥Д		84.365837	170.207825	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
38	7336608	6901	-1	21	сдущж╝╥Д		82.951653	191.024261	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
39	7336609	6901	-1	21	сдущж╝╥Д		115.548859	199.196884	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
40	7336610	6901	-1	21	сдущж╝╥Д		107.987144	164.569702	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
41	7336611	6901	-1	21	сдущж╝╥Д		133.630295	122.950066	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
42	7336612	6901	-1	21	сдущж╝╥Д		179.063446	129.296722	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	35	0	
