NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	6906	-1	21	幽熔之怪		85.153549	197.219254	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
1	2	6906	-1	21	幽熔之怪		123.733307	196.573303	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
2	3	6906	-1	21	幽熔之怪		165.763535	191.139145	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
3	4	6906	-1	21	幽熔之怪		194.458664	182.519287	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
4	5	6906	-1	21	幽熔之怪		178.209656	165.553848	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
5	6	6906	-1	21	幽熔之怪		163.643646	111.166702	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
6	7	6906	-1	21	幽熔之怪		192.914749	109.005867	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
7	8	6906	-1	21	幽熔之怪		186.360092	67.496872	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
8	9	6906	-1	21	幽熔之怪		164.450684	67.661751	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
9	10	6906	-1	21	幽熔之怪		124.975739	149.877747	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
10	11	6907	-1	21	幽角之怪		61.570553	154.360428	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
11	12	6907	-1	21	幽角之怪		88.727409	140.354813	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
12	13	6907	-1	21	幽角之怪		60.932816	112.802704	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
13	14	6907	-1	21	幽角之怪		120.987671	105.618813	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
14	15	6907	-1	21	幽角之怪		133.070923	53.631908	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
15	16	6907	-1	21	幽角之怪		111.819359	66.884544	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
16	17	6906	-1	21	幽熔之怪		84.938232	196.149826	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
17	18	6906	-1	21	幽熔之怪		125.259834	195.320831	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
