NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	7191860	2600	101157	-1	ÃÔ¹¬°Ë²ã	ÃÔ¹¬´«ËÍ	190	205	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
1	7191861	6914	-1	21	ÓÄº®Ö®Ä§		152.490982	54.273262	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
2	7191862	6914	-1	21	ÓÄº®Ö®Ä§		183.853897	150.244003	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
3	7191863	6914	-1	21	ÓÄº®Ö®Ä§		179.847137	152.820435	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
4	7191864	6914	-1	21	ÓÄº®Ö®Ä§		186.837234	154.180374	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
5	7191865	6914	-1	21	ÓÄº®Ö®Ä§		189.41449	152.646851	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
6	7191866	6914	-1	21	ÓÄº®Ö®Ä§		177.046432	192.163803	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
7	7191867	6914	-1	21	ÓÄº®Ö®Ä§		179.313461	155.167953	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
8	7191868	6914	-1	21	ÓÄº®Ö®Ä§		181.764557	155.961182	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
9	7191869	6914	-1	21	ÓÄº®Ö®Ä§		186.625565	148.583725	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
10	7191870	6914	-1	21	ÓÄº®Ö®Ä§		187.449936	150.703979	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
11	7191871	6914	-1	21	ÓÄº®Ö®Ä§		183.717712	152.941193	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
12	7191872	6914	-1	21	ÓÄº®Ö®Ä§		184.470703	152.635757	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
13	7191873	6914	-1	21	ÓÄº®Ö®Ä§		186.152618	110.276665	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
14	7191878	6914	-1	21	ÓÄº®Ö®Ä§		188.349701	107.031845	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
15	7191880	6914	-1	21	ÓÄº®Ö®Ä§		185.671356	108.023521	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
