NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15123695	9720	142600	16	¸ÁÍ¼¶û	Â¥À¼Ì½Âí	187	71	27	-1	180000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	100	0	
1	15123696	9720	142601	18	ÀîË¾	À¥ÂØÌ½Âí	195	186	27	-1	180000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	100	0	
2	15123697	9720	142602	17	Ë÷Àí	À³ÒðÌ½Âí	75	75	27	-1	180000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	100	0	
3	15123698	9720	142603	19	¼Ó²¼	¶Ø»ÍÌ½Âí	85	178	27	-1	180000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	100	0	
4	9049302	9572	-1	21			70.006416	165.953598	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
5	9049303	9572	-1	21			69.209106	165.169067	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
6	9049305	9572	-1	21			70.745438	165.169174	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
7	9049307	9572	-1	21			69.287292	166.202438	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
8	9049308	9572	-1	21			70.75705	166.248444	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
9	9049309	9572	-1	21			70.012589	164.279495	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
10	9049310	9572	-1	21			69.93248	167.036987	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
11	9049313	9572	-1	21			68.582153	165.573868	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
12	9049315	9572	-1	21			71.552216	165.612732	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
13	9049319	9572	-1	21			69.238304	166.881714	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
14	9049321	9572	-1	21			70.856155	166.993286	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
15	9049322	9572	-1	21			68.630348	166.062546	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
16	9049324	9572	-1	21			71.349266	166.486588	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
17	9049326	9572	-1	21			70.954742	164.404007	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
18	9049330	9572	-1	21			69.047211	164.265015	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
19	9049374	9572	-1	21			81.039841	191.114761	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
20	9049376	9572	-1	21			80.047226	190.032944	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
21	9049378	9572	-1	21			81.816467	190.138962	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
22	9049380	9572	-1	21			80.110458	191.773972	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
23	9049381	9572	-1	21			81.895195	191.904495	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
24	9049383	9572	-1	21			80.992371	191.949295	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
25	9049384	9572	-1	21			80.987747	189.875198	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
26	9049386	9572	-1	21			82.158554	190.682053	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
27	9049387	9572	-1	21			79.947151	190.569214	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
28	9049389	9572	-1	21			80.568512	192.514954	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
29	9049390	9572	-1	21			81.405792	192.67334	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
30	9049392	9572	-1	21			82.791641	190.988556	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
31	9049394	9572	-1	21			79.299438	191.002457	27	-1	1000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	75	0	
