NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	2	6927	-1	21	幽角之怪		89.12735	198.190796	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
1	3	6927	-1	21	幽角之怪		127.766792	198.134781	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
2	4	6927	-1	21	幽角之怪		161.09874	193.840652	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
3	5	6927	-1	21	幽角之怪		194.15564	188.792084	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
4	6	6927	-1	21	幽角之怪		162.500031	155.491791	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
5	7	6927	-1	21	幽角之怪		163.738586	109.802437	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
6	8	6927	-1	21	幽角之怪		194.456696	105.639496	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
7	9	6927	-1	21	幽角之怪		193.304199	62.85453	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
8	10	6927	-1	21	幽角之怪		165.85289	63.692486	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
9	11	6927	-1	21	幽角之怪		124.711517	144.289658	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	65	0	
10	12	6926	-1	21	幽熔之怪		63.826202	153.303558	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
11	13	6926	-1	21	幽熔之怪		90.510338	153.773178	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
12	14	6926	-1	21	幽熔之怪		62.082554	103.646744	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
13	15	6926	-1	21	幽熔之怪		125.274345	106.133736	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
14	16	6926	-1	21	幽熔之怪		127.257629	58.570492	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
15	17	6926	-1	21	幽熔之怪		89.450615	61.892803	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	60	0	
