NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	2	6929	-1	21	ÓÄ±ùÖ®×¦		61.169331	167.445023	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
1	3	6929	-1	21	ÓÄ±ùÖ®×¦		71.661217	140.028122	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
2	6	6929	-1	21	ÓÄ±ùÖ®×¦		97.631317	62.596058	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
3	7	6929	-1	21	ÓÄ±ùÖ®×¦		67.914093	87.583969	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
4	8	6929	-1	21	ÓÄ±ùÖ®×¦		95.116196	185.646484	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
5	9	6929	-1	21	ÓÄ±ùÖ®×¦		94.921463	154.777206	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
6	10	6929	-1	21	ÓÄ±ùÖ®×¦		130.344666	87.641113	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
7	11	6929	-1	21	ÓÄ±ùÖ®×¦		158.124115	61.245693	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
8	12	6928	-1	21	ÓÄº¿Ö®Å£		194.731644	183.817993	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
9	13	6928	-1	21	ÓÄº¿Ö®Å£		151.303421	185.487381	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
10	14	6928	-1	21	ÓÄº¿Ö®Å£		148.789352	160.615967	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
11	15	6928	-1	21	ÓÄº¿Ö®Å£		146.855804	123.918068	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
12	2	6929	-1	21	ÓÄ±ùÖ®×¦		60.314728	167.238144	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
13	3	6929	-1	21	ÓÄ±ùÖ®×¦		71.292595	139.926758	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
14	6	6929	-1	21	ÓÄ±ùÖ®×¦		98.664719	61.942184	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
15	7	6929	-1	21	ÓÄ±ùÖ®×¦		68.351952	86.323036	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
16	8	6929	-1	21	ÓÄ±ùÖ®×¦		97.099976	184.903198	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
17	9	6929	-1	21	ÓÄ±ùÖ®×¦		119.375237	155.603821	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
18	10	6929	-1	21	ÓÄ±ùÖ®×¦		128.39093	89.51886	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
19	11	6929	-1	21	ÓÄ±ùÖ®×¦		156.02771	63.176868	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
20	12	6928	-1	21	ÓÄº¿Ö®Å£		196.84877	185.886642	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
21	13	6928	-1	21	ÓÄº¿Ö®Å£		148.32785	185.41925	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
22	14	6928	-1	21	ÓÄº¿Ö®Å£		149.195297	162.086166	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
23	15	6928	-1	21	ÓÄº¿Ö®Å£		148.588867	123.285469	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
24	2	6929	-1	21	ÓÄ±ùÖ®×¦		60.520206	168.07901	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
25	3	6929	-1	21	ÓÄ±ùÖ®×¦		71.392235	138.83786	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
26	5	6929	-1	21	ÓÄ±ùÖ®×¦		95.233284	121.122467	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
27	6	6929	-1	21	ÓÄ±ùÖ®×¦		100.839806	62.02174	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
28	7	6929	-1	21	ÓÄ±ùÖ®×¦		67.059662	86.853973	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
29	8	6929	-1	21	ÓÄ±ùÖ®×¦		96.140663	184.424255	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
30	9	6929	-1	21	ÓÄ±ùÖ®×¦		122.343323	184.598572	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
31	10	6929	-1	21	ÓÄ±ùÖ®×¦		129.908295	89.018036	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
32	11	6929	-1	21	ÓÄ±ùÖ®×¦		157.02179	59.879955	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
33	12	6928	-1	21	ÓÄº¿Ö®Å£		195.596085	156.467224	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
34	13	6928	-1	21	ÓÄº¿Ö®Å£		150.000473	183.661163	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
35	14	6928	-1	21	ÓÄº¿Ö®Å£		148.34668	161.451904	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
36	15	6928	-1	21	ÓÄº¿Ö®Å£		148.078308	125.239899	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	70	0	
37	2	6929	-1	21	ÓÄ±ùÖ®×¦		61.038387	166.521698	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
38	3	6929	-1	21	ÓÄ±ùÖ®×¦		70.8097	139.320023	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	75	0	
