NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	0	9899	-1	21	烁金力尊		107	107	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
1	1	9899	-1	21	烁金力尊		22	100	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
2	2	9899	-1	21	烁金力尊		17	17	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
3	3	9889	-1	21	冥王部将		68	74	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
4	4	56601	-1	21			100.921417	38.784477	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	100	0	
5	5	56601	-1	21			105.371727	38.71452	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	100	0	
6	6	56601	-1	21			103.32872	38.695301	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	100	0	
7	7	56601	-1	21			102.108803	37.069386	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	100	0	
8	8	56601	-1	21			104.422958	36.909473	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	100	0	
9	9	56601	-1	21			100.720596	34.852013	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	100	0	
10	10	56601	-1	21			105.702919	34.778404	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	100	0	
11	11	56601	-1	21			103.158409	34.548309	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	100	0	
12	12	56601	-1	21			99.775269	37.031982	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	100	0	
