NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	0	9900	-1	21	玄冰力尊		86	17	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	105	0	
1	1	9900	-1	21	玄冰力尊		29	99	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	105	0	
2	2	9900	-1	21	玄冰力尊		54	35	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	105	0	
3	3	9890	-1	21	冥王部将		22	38	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	105	0	
4	4	56602	-1	21			103.738159	65.811081	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
5	5	56602	-1	21			102.737778	65.950981	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
6	6	56602	-1	21			101.798691	66.155586	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
7	7	56602	-1	21			100.870338	66.491783	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
8	8	56602	-1	21			99.827576	66.4468	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
9	9	56602	-1	21			100.364799	68.578796	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
10	10	56602	-1	21			101.339607	68.653976	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
11	11	56602	-1	21			102.360748	68.779198	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
12	12	56602	-1	21			103.174492	68.692902	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
13	13	56602	-1	21			103.363281	64.272942	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
14	14	56602	-1	21			102.290405	64.096886	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
15	15	56602	-1	21			101.230469	64.429657	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
16	16	56602	-1	21			100.225212	64.53511	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
17	17	56602	-1	21			98.847984	65.648552	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
18	18	56602	-1	21			104.487274	64.672203	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
19	19	56602	-1	21			85.032852	45.888985	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
20	20	56602	-1	21			84.024284	45.958431	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
21	21	56602	-1	21			82.974258	46.099934	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
22	22	56602	-1	21			81.967789	46.234673	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
23	23	56602	-1	21			82.397003	49.049656	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
24	24	56602	-1	21			83.49604	48.731766	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
25	25	56602	-1	21			84.619995	48.667427	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
26	26	56602	-1	21			84.700912	44.290848	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
27	27	56602	-1	21			83.430115	44.400234	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
28	28	56602	-1	21			82.354294	44.654202	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
29	29	56602	-1	21			81.301788	48.618416	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	105	0	
