NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	2603	101183	20	仙人谷传送人		59.556011	45.04512	26	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
1	2	9902	-1	21	幽冥力尊		19	28	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
2	3	9902	-1	21	幽冥力尊		97	31	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
3	4	9892	-1	21	冥王部将		60	102	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
4	5	9892	-1	21	冥王部将		61	60	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
5	6	56604	-1	21			18.530458	35.436287	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
6	7	56604	-1	21			17.912416	34.984959	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
7	8	56604	-1	21			19.144146	35.02438	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
8	9	56604	-1	21			17.630322	35.703476	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
9	10	56604	-1	21			19.208061	35.94685	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
10	11	56604	-1	21			18.5581	33.58643	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
11	12	56604	-1	21			17.614424	34.277954	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
12	13	56604	-1	21			19.664608	34.345642	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
13	14	56604	-1	21			20.070156	35.440643	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
14	15	56604	-1	21			19.674971	36.771854	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
15	16	56604	-1	21			16.803383	34.768238	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
16	17	56604	-1	21			16.75996	36.107239	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
17	18	56604	-1	21			17.606245	36.901909	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
18	19	56604	-1	21			18.951347	37.097691	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
19	20	56604	-1	21			18.320707	36.536751	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
20	21	56604	-1	21			51.750244	17.506069	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
21	22	56604	-1	21			51.129063	17.259365	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
22	23	56604	-1	21			52.178543	16.932968	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
23	24	56604	-1	21			51.365082	18.322598	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
24	25	56604	-1	21			52.367592	18.114843	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
25	26	56604	-1	21			51.687675	15.779443	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
26	27	56604	-1	21			50.831112	16.569443	27	300640	10000	-1	-1	16	0	-1	-1	-1	-1	-1	-1	115	0	
