NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	0	9898	-1	21	³àÑ×Á¦×ð		36	87	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	95	0	
1	1	9898	-1	21	³àÑ×Á¦×ð		87	92	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	95	0	
2	2	9898	-1	21	³àÑ×Á¦×ð		88	29	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	95	0	
3	3	9898	-1	21	³àÑ×Á¦×ð		36	39	0	-1	14400000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	95	0	
4	4	56600	-1	21			88.760704	26.262163	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
5	5	56600	-1	21			88.253044	25.389473	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
6	6	56600	-1	21			89.542603	25.699167	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
7	7	56600	-1	21			87.825203	26.474508	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
8	8	56600	-1	21			89.620117	27.047678	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
9	9	56600	-1	21			88.692284	24.843725	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
10	10	56600	-1	21			90.128738	25.360756	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
11	11	56600	-1	21			90.480347	26.222816	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
12	12	56600	-1	21			90.538383	27.101137	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
13	13	56600	-1	21			88.999611	27.776747	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
14	14	56600	-1	21			88.044098	27.422564	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
15	15	56600	-1	21			86.39537	26.380844	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
16	16	56600	-1	21			86.629913	25.857964	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
17	17	56600	-1	21			86.86644	24.863783	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
18	18	56600	-1	21			87.753639	24.30035	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
19	19	56600	-1	21			89.380997	24.414782	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
20	20	56600	-1	21			88.689041	23.883583	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
21	21	56600	-1	21			101.658417	56.172977	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
22	22	56600	-1	21			102.776039	55.740349	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
23	23	56600	-1	21			101.553268	55.489826	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
24	24	56600	-1	21			101.947716	55.143211	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
25	25	56600	-1	21			103.174004	54.938564	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
26	26	56600	-1	21			101.000893	54.770058	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
27	27	56600	-1	21			101.732887	54.517998	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
28	28	56600	-1	21			102.683533	54.34211	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
29	29	56600	-1	21			101.065971	54.009583	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
30	30	56600	-1	21			100.382324	54.75959	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
31	31	56600	-1	21			100.487976	55.54493	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
32	32	56600	-1	21			102.827179	56.324394	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
33	33	56600	-1	21			32.023998	34.862759	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
34	34	56600	-1	21			31.579136	34.43119	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
35	35	56600	-1	21			32.76413	34.600964	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
36	36	56600	-1	21			32.316883	34.165657	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
37	37	56600	-1	21			31.246548	35.297005	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
38	38	56600	-1	21			32.915081	35.527191	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
39	39	56600	-1	21			33.709072	35.053276	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
40	40	56600	-1	21			31.888742	36.077778	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
41	41	56600	-1	21			30.515154	35.047657	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
42	42	56600	-1	21			30.637619	36.201965	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
43	43	56600	-1	21			33.464306	36.177147	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
44	44	56600	-1	21			31.99184	36.742607	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
45	45	56600	-1	21			66.489243	30.979506	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
46	46	56600	-1	21			65.845108	30.490845	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
47	47	56600	-1	21			67.102142	30.556719	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
48	48	56600	-1	21			66.626518	29.903114	27	300640	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	95	0	
