NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
1	1	1087	141140	-1	展身	战车车身制造大师	38	46	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
2	2	1312	141141	-1	展志	战车装备制造大师	17	35	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
3	3	1313	141142	-1	展强	战车装备强化大师	18	29	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
4	4	1090	141143	-1	邦车	帮会战车大师	42	32	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
5	5	1311	141144	-1	展道	战车道具商人	20	43	5	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
6	6	1078	141155	-1	焦占撤	巴尔干战车大师	42	26	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
7	7	3	141157	-1	休宜夏	战车修理大师	23	43	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
8	8	4252	405000	-1	荣玉欢	战车荣誉商店	31	46	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
9	9	1925	141166	-1	孔石	战车镶嵌大师	18	24	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
10	10	1223	141129	-1	展回	战车装备回收大师	42	38	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0	
