NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	21000	-1	20	突厥武士男_01		20	20	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
1	2	21001	-1	20	江南剑侠男_01		20	25	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
2	3	21002	-1	20	草原骑射男_01		20	30	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
3	4	21003	-1	20	中原火枪男_01		20	35	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
4	5	21004	-1	20	波斯先知男_01		20	40	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
5	6	21005	-1	20	雪山萨满男_01		20	45	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
6	7	21006	-1	20	地中海十字军男_01		20	50	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
7	8	21007	-1	20	西域圣火使男_01		20	55	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
8	9	21008	-1	20	西夏刺客男_01		20	60	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
9	10	21009	-1	20	蒙古近卫军男_01		20	65	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
10	11	21010	-1	20	斯拉夫隐修士男_01		20	70	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
11	12	21011	-1	20	高原喇嘛男_01		20	75	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
12	13	21012	-1	20	突厥武士女_01		20	80	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
13	14	21013	-1	20	江南剑侠女_01		20	85	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
14	15	21014	-1	20	草原骑射女_01		20	90	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
15	16	21015	-1	20	中原火枪女_01		20	95	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
16	17	21016	-1	20	波斯先知女_01		20	100	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
17	18	21017	-1	20	雪山萨满女_01		20	105	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
18	19	21018	-1	20	地中海十字军女_01		20	110	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
19	20	21019	-1	20	西域圣火使女_01		20	115	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
20	21	21020	-1	20	西夏刺客女_01		20	120	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
21	22	21021	-1	20	蒙古近卫军女_01		20	125	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
22	23	21022	-1	20	斯拉夫隐修士女_01		20	130	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
23	24	21023	-1	20	高原喇嘛女_01		20	135	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
24	25	21024	-1	20	成2汉人贩夫男_01		20	140	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
25	26	21025	-1	20	汉人贩夫男_02		20	145	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
26	27	21026	-1	20	汉人贩夫男_03		20	150	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
27	28	21027	-1	20	汉人贩夫男_04		20	155	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
28	29	21028	-1	20	汉人贩夫男_05		20	160	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
29	30	21029	-1	20	汉人贩夫男_06		20	165	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
30	31	21030	-1	20	白驼山帮众男		20	170	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
31	32	21031	-1	20	成2汉人商人男_02		20	175	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
32	33	21032	-1	20	成2汉人商人男_03		20	180	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
33	34	21033	-1	20	汉人文官男_01		20	185	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
34	35	21034	-1	20	汉人文官男_02		20	190	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
35	36	21035	-1	20	汉人文官男_03		20	195	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
36	37	21036	-1	20	汉人侠客男_01		20	200	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	95	0	
