NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1505229	9814	-1	21	路易士	条顿之王爪牙	47	170	5	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
1	15052370	2604	101308	-1	拜占庭帝国	领地传送人	97	148	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
2	41	43	400535	20	米凯尔	红衣神甫	106.83519	150.774597	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
3	42	44	400536	20	伊萨克	蓝衣神甫	106.455132	161.392075	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
4	33	1383	400531	20	阿历克塞	陆军将军	115.79187	155.932571	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
5	37	1384	400532	20	巴希尔	水军将军	148.158844	149.889282	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
6	46	77	400534	20	里奥	威尼斯商人	88.517365	117.644691	4	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
7	48	79	400533	20	提比斯	热那亚商人	91.18544	117.575035	12	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
8	3	1384	400545	20	拜占庭水兵		157.800903	135.485855	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
9	4	1384	400546	20	拜占庭水兵		178.762512	79.503426	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
10	5	1384	400547	20	拜占庭水兵		189.339142	81.454521	24	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
11	7	1384	400548	20	拜占庭水兵		184.802002	95.136528	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
12	18	1384	400549	20	拜占庭水兵		184.744492	97.285568	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
13	20	1384	400545	20	拜占庭水兵		195.905563	96.618065	32	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
14	21	1384	400546	20	拜占庭水兵		197.853516	93.311737	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
15	49	1384	400547	20	拜占庭水兵		179.285004	85.488632	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
16	38	1384	400548	20	拜占庭水兵		157.467926	142.424393	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
17	39	1384	400549	20	拜占庭水兵		154.888351	153.166107	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
18	40	1384	400550	20	拜占庭水兵		154.78479	146.4888	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
19	51	1384	400542	20	拜占庭水兵		177	110	18	0	10000	-1	-1	3	0	0	-1	-1	-1	-1	-1	100	0	
20	52	1384	400543	20	拜占庭水兵		171	166	18	0	10000	-1	-1	3	0	1	-1	-1	-1	-1	-1	100	0	
21	50	1384	400544	20	拜占庭水兵		132	197	18	0	10000	-1	-1	3	0	2	-1	-1	-1	-1	-1	100	0	
22	54	1384	400542	20	拜占庭水兵		90	197	18	0	10000	-1	-1	3	0	3	-1	-1	-1	-1	-1	100	0	
23	36	1384	400543	20	拜占庭水兵		155	71	18	0	10000	-1	-1	3	0	4	-1	-1	-1	-1	-1	100	0	
24	53	1384	400544	20	拜占庭水兵		115	59	18	0	10000	-1	-1	3	0	5	-1	-1	-1	-1	-1	100	0	
25	16	1383	400537	20	拜占庭士兵		31.145761	105.566528	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
26	17	1383	400538	20	拜占庭士兵		76.448532	71.983627	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
27	22	1383	400539	20	拜占庭士兵		31.20089	115.437447	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
28	23	1383	400540	20	拜占庭士兵		82.667458	147.293304	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
29	24	1383	400541	20	拜占庭士兵		52.565018	103.056557	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
30	25	1383	400537	20	拜占庭士兵		68.707985	71.977058	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
31	26	1383	400538	20	拜占庭士兵		99.107727	118.657135	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
32	27	1383	400539	20	拜占庭士兵		78.559265	137.098572	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
33	28	1383	400540	20	拜占庭士兵		78.203293	178.899368	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
34	29	1383	400541	20	拜占庭士兵		110.487152	159.768555	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
35	30	1383	400537	20	拜占庭士兵		97.258675	160.018173	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
36	31	1383	400538	20	拜占庭士兵		82.602448	160.604523	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
37	32	1383	400539	20	拜占庭士兵		97.394119	152.074188	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
38	34	1383	400540	20	拜占庭士兵		76.888885	160.815796	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
39	35	1383	400541	20	拜占庭士兵		77.281776	147.14856	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
40	43	1383	400537	20	拜占庭士兵		110.435547	152.093506	18	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
41	44	1383	400538	20	拜占庭士兵		49.709877	123.315353	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
42	45	1383	400539	20	拜占庭士兵		105.821777	118.459488	9	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
43	15052371	2226	-1	21	拜占庭风魔		129.092819	126.882278	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	100	0	
