NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2600	101115	-1	楼兰马场	楼兰王国传送人	42	127	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
1	5699540	2316	124000	-1	帖木儿	楼兰将军	42.786942	149.675217	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
2	5699999	2400	124011	-1	楼兰卫戍军		43.104523	152.690933	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
3	5700009	2400	124011	-1	楼兰卫戍军		34.738232	138.949951	31	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
4	6117836	2400	124010	-1	楼兰卫戍军		40.096634	149.748047	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
5	6122133	2400	124011	-1	楼兰卫戍军		34.833008	150.196487	5	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
6	5700158	2400	124019	-1	楼兰卫戍军		16.476845	138.447418	36	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
7	5700159	2400	124020	-1	楼兰卫戍军		17.134941	151.205292	36	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
8	5700181	2400	124020	-1	楼兰卫戍军		14.589268	140.346436	27	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
9	5700181	2400	124042	-1	楼兰卫戍军		15.037402	149.188004	7	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	5699990	2400	124044	-1	楼兰卫戍军		29.320225	150.572617	10	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
11	5700097	2400	124040	-1	楼兰卫戍军		29.394297	138.561768	23	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
12	7297698	5612	-1	21	探马[20级]	狂沙部落	43.788773	64.349236	29	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
13	7297703	5612	-1	21	探马[20级]	狂沙部落	52.338928	60.794098	31	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
14	7297706	5612	-1	21	探马[20级]	狂沙部落	61.966621	65.668312	33	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
15	7297712	5612	-1	21	探马[20级]	狂沙部落	58.779755	61.423767	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
16	7297714	5612	-1	21	探马[20级]	狂沙部落	54.613922	67.83754	2	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
17	7297789	5612	-1	21	探马[20级]	狂沙部落	52.010231	72.469872	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
18	7297793	5612	-1	21	探马[20级]	狂沙部落	64.511292	69.884804	9	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
19	7297795	5612	-1	21	探马[20级]	狂沙部落	60.091698	72.72506	11	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
20	7297799	5613	-1	21	探马[20级]	狂沙部落	50.681427	64.313713	14	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
21	7297805	5613	-1	21	探马[20级]	狂沙部落	67.376648	65.140427	16	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
22	7297821	5612	-1	21	探马[20级]	狂沙部落	64.363045	60.539024	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
23	7297823	5612	-1	21	探马[20级]	狂沙部落	43.377823	69.145195	21	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
24	7297828	5612	-1	21	探马[20级]	狂沙部落	48.746208	69.594727	23	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
25	7297834	5614	-1	21	探马[20级]	狂沙部落	42.40004	60.721642	25	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
26	7297838	5614	-1	21	探马[20级]	狂沙部落	53.844574	44.213402	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
27	7297845	5612	-1	21	探马[20级]	狂沙部落	60.751106	55.294182	29	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
28	7297848	5612	-1	21	探马[20级]	狂沙部落	49.486664	51.860558	31	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
29	7297850	5612	-1	21	探马[20级]	狂沙部落	43.579613	49.057358	33	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
30	7297855	5615	-1	21	探马[20级]	狂沙部落	39.169228	41.845314	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
31	7297858	5615	-1	21	探马[20级]	狂沙部落	42.024391	40.874466	2	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
32	7297873	5612	-1	21	探马[20级]	狂沙部落	43.391937	45.743126	4	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	20	0	
