NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	6113251	2356	-1	-1	 	 	171.448181	117.632782	22	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
1	6113265	2357	-1	-1	 	 	169.855743	133.198608	18	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
2	6113276	2358	-1	-1	 	 	168	134	13	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
3	6104081	2304	-1	21	铁鹞子	马匪首领	86.12722	48.66684	18	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	40	0	
4	6104163	2304	-1	21	花狼	马匪首领	80.318634	38.691826	27	-1	1000	-1	-1	5	0	-1	-1	-1	-1	-1	-1	40	0	
5	6107893	2307	-1	21	高原棕熊		32.278671	152.206604	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
6	6107898	2307	-1	21	高原棕熊		32.278671	152.206604	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
7	6107916	2307	-1	21	高原棕熊		50.688927	141.012695	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
8	6107942	2307	-1	21	高原棕熊		30.783739	130.782623	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
9	6107973	2307	-1	21	高原棕熊		77.203957	130.670776	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
10	6107976	2307	-1	21	高原棕熊		70.568489	132.816116	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
11	6107979	2307	-1	21	高原棕熊		74.954338	133.328018	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
12	6107989	2307	-1	21	高原棕熊		68.415405	135.248489	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
13	6107992	2307	-1	21	高原棕熊		73.077522	135.113617	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
14	6107995	2307	-1	21	高原棕熊		77.211861	135.165588	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
15	6108134	2307	-1	21	高原棕熊		48.468578	119.896294	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
16	6108136	2307	-1	21	高原棕熊		53.063442	120.007202	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
17	6108139	2307	-1	21	高原棕熊		56.832291	119.952927	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
18	6108141	2307	-1	21	高原棕熊		50.665943	123.16642	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
19	6108166	2307	-1	21	高原棕熊		100.450691	153.965271	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
20	6108168	2307	-1	21	高原棕熊		104.243668	154.058807	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
21	6108171	2307	-1	21	高原棕熊		108.127907	153.812103	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
22	6108173	2307	-1	21	高原棕熊		120.253647	158.598206	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
23	6108175	2307	-1	21	高原棕熊		124.310196	158.762421	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
24	6108178	2307	-1	21	高原棕熊		128.244827	158.929306	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
25	6108180	2307	-1	21	高原棕熊		121.994911	161.110031	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
26	6108183	2307	-1	21	高原棕熊		126.070328	161.184784	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
27	6108188	2307	-1	21	高原棕熊		124.236794	163.737167	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
28	6108190	2307	-1	21	高原棕熊		128.393478	164.032089	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
29	6114013	2315	-1	21	黑林恶狼		191.104675	35.764736	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
30	6114016	2315	-1	21	黑林恶狼		192.188599	37.074989	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
31	6114018	2315	-1	21	黑林恶狼		192.432327	34.325207	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
32	6114068	2315	-1	21	黑林恶狼		193.723587	36.154678	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
33	6114086	2315	-1	21	黑林恶狼		206.42894	74.696503	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
34	6114088	2315	-1	21	黑林恶狼		204.110611	73.553543	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
35	6114091	2315	-1	21	黑林恶狼		204.087128	76.33783	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
36	6114093	2315	-1	21	黑林恶狼		205.503448	77.270073	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
37	6114211	2315	-1	21	黑林恶狼		212.765533	96.830406	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
38	6114213	2315	-1	21	黑林恶狼		214.27832	97.979988	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
39	6114215	2315	-1	21	黑林恶狼		211.439987	96.010193	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
40	6114235	2315	-1	21	黑林恶狼		201.277298	122.71299	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
41	6114238	2315	-1	21	黑林恶狼		199.519028	121.398415	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
42	6114241	2315	-1	21	黑林恶狼		202.126938	123.971436	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
43	6114271	2315	-1	21	黑林恶狼		212.946381	138.321548	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
44	6114361	2315	-1	21	黑林恶狼		218.707504	173.578415	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
45	6114364	2315	-1	21	黑林恶狼		220.815491	173.322281	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
46	6114366	2315	-1	21	黑林恶狼		219.606537	176.010361	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
47	6114389	2315	-1	21	黑林恶狼		195.816864	178.695694	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
48	6114392	2315	-1	21	黑林恶狼		197.53215	180.001022	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
49	6114394	2315	-1	21	黑林恶狼		195.877975	181.096252	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
50	6114437	2315	-1	21	黑林恶狼		185.717087	199.440048	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
51	6114440	2315	-1	21	黑林恶狼		186.235428	201.24025	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
52	6114442	2315	-1	21	黑林恶狼		185.029739	200.483017	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
53	6114461	2315	-1	21	黑林恶狼		196.987701	213.937576	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
54	6114464	2315	-1	21	黑林恶狼		197.957809	214.368301	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
55	6114466	2315	-1	21	黑林恶狼		195.935715	214.332214	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
56	6114499	2315	-1	21	黑林恶狼		212.865631	218.589417	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
57	6114501	2315	-1	21	黑林恶狼		212.749496	214.645004	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
58	6114504	2315	-1	21	黑林恶狼		214.684479	218.058975	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
59	7061851	166	-1	-1	 	 	36.716759	193.929306	0	-1	1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	40	0	
60	7061859	166	-1	-1	 	 	38.294941	195.559418	20	-1	1000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	40	0	
61	7061866	166	-1	-1	 	 	37.344463	191.714142	27	-1	1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	40	0	
62	7061914	255	-1	-1	 	 	39.448456	193.054977	27	-1	1000	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	40	0	
63	7144910	2306	-1	21	神秘山匪		74.312836	42.987461	27	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	40	0	
64	7144911	2306	-1	21	神秘山匪		74.730576	53.641125	27	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	40	0	
65	7144913	2306	-1	21	神秘山匪		84.768341	53.57629	27	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	40	0	
66	7144914	2306	-1	21	神秘山匪		77.372551	37.515968	27	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	40	0	
67	7144915	2306	-1	21	神秘山匪		83.249489	42.726593	27	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	40	0	
68	7144917	2306	-1	21	神秘山匪		83.083641	37.587345	27	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	40	0	
69	7145044	2306	-1	21	神秘山匪		60.70034	84.004471	27	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	40	0	
70	7145046	2306	-1	21	神秘山匪		72.659081	84.040573	27	-1	1000	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	40	0	
