NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15052370	2600	101114	-1	Â¥À¼ÁÔ³¡	Â¥À¼Íõ¹ú´«ËÍÈË	198.800003	84.599998	13	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	100	0	
1	15052371	11992	125000	-1	ÐÛÓ¥³¤ÀÏ	Â¥À¼ÏÈÏÍ	201.961761	74.766678	19	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
2	15052372	12000	125001	-1	ÖÇÕß¹þ´ï		193.795334	84.419113	9	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
3	15052373	11980	125002	-1	µ¶Ö®Áé		145.948013	105.703278	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
4	15052374	11981	125003	-1	½£Ö®Áé		142.498581	106.767242	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
5	15052375	11982	125004	-1	Ç¹Ö®Áé		138.912964	107.348297	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
6	15052376	11983	125005	-1	¹­Ö®Áé		135.458237	106.93779	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
7	15052377	11984	125006	-1	é³Ö®Áé		131.230957	106.392273	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
8	15052378	11985	125007	-1	ÕÈÖ®Áé		127.45314	104.692245	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
9	15052379	11986	125008	-1	Ã¬Ö®Áé		146.647934	94.060715	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
10	15052380	11987	125009	-1	ÁîÖ®Áé		142.856567	92.600685	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
11	15052381	11988	125010	-1	åóÖ®Áé		139.077652	91.691559	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
12	15052382	11989	125011	-1	ï¥Ö®Áé		134.530548	91.384277	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
13	15052383	11990	125012	-1	á¦Ö®Áé		130.710617	92.406601	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
14	15052384	11991	125013	-1	Ê¥Ê®×ÖÖ®Áé		127.170868	94.255547	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
15	15052385	11994	125014	-1	²ÔÀÇ³¤ÀÏ	Â¥À¼ÏÈÏÍ	143.098633	99.575409	0	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
16	15052386	11995	125015	-1	Ä¾Í¼	°×Â¹³¤ÀÏµÄËæ´Ó	80.549034	71.799294	25	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
17	15052387	11996	125016	-1	°×Â¹³¤ÀÏ	Â¥À¼ÏÈÏÍ	74.240761	116.547867	6	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
18	15052389	11960	125018	-1	ÌúÎä	ÐÂ±ø¾üÐè¹Ù	145	203	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
19	15052391	11960	125026	-1	ÌúÁ¦	ÐÂ±ø½Ì¹Ù	142.310608	197.184616	26	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
20	8699010	11971	-1	21	²ÝÔ­ÀÇ		112.267776	35.051865	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
21	8699013	11971	-1	21	²ÝÔ­ÀÇ		102.483978	66.941582	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
22	8699014	11971	-1	21	²ÝÔ­ÀÇ		122.879837	51.834427	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
23	8699017	11971	-1	21	²ÝÔ­ÀÇ		118.73349	36.52919	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
24	8699019	11971	-1	21	²ÝÔ­ÀÇ		120.035751	28.615362	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
25	8699024	11971	-1	21	²ÝÔ­ÀÇ		110.148285	30.113604	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
26	8699028	11971	-1	21	²ÝÔ­ÀÇ		104.529663	31.394991	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
27	8699031	11971	-1	21	²ÝÔ­ÀÇ		131.437164	52.144054	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
28	8699032	11971	-1	21	²ÝÔ­ÀÇ		129.086685	34.982677	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
29	8699034	11971	-1	21	²ÝÔ­ÀÇ		139.532394	32.859169	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
30	8699050	11971	-1	21	²ÝÔ­ÀÇ		112.460999	58.786869	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
31	8699052	11971	-1	21	²ÝÔ­ÀÇ		111.384933	64.147507	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
32	8699057	11971	-1	21	²ÝÔ­ÀÇ		119.819824	65.517639	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
33	8699064	11971	-1	21	²ÝÔ­ÀÇ		96.078018	62.95369	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
34	8699068	11971	-1	21	²ÝÔ­ÀÇ		134.938232	45.552372	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
35	8699070	11971	-1	21	²ÝÔ­ÀÇ		106.133392	44.08498	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
36	8699075	11971	-1	21	²ÝÔ­ÀÇ		100.045593	49.111416	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
37	8699104	11971	-1	21	²ÝÔ­ÀÇ		119.285767	43.990265	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
38	8699109	11971	-1	21	²ÝÔ­ÀÇ		105.879745	58.815506	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
39	8699111	11971	-1	21	²ÝÔ­ÀÇ		138.948334	42.084179	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
40	8699115	11971	-1	21	²ÝÔ­ÀÇ		109.904175	53.394852	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
41	8699116	11971	-1	21	²ÝÔ­ÀÇ		100.098221	39.661697	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
42	8699144	11971	-1	21	²ÝÔ­ÀÇ		125.629257	59.051796	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
