NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	1	4821	144806	20	宁采臣	#kN#G大乱斗#o活动#G使者	130	90	27	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	80	0
1	2	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
2	3	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
3	4	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
4	5	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
5	6	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
6	7	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
7	8	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
8	9	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
9	10	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
10	11	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
11	12	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
12	13	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
13	14	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
14	15	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
15	16	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
16	17	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
17	18	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
18	19	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
19	20	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
20	21	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
21	22	18416	-1	21			222	120	27	0	3000	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	60	0
