NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15052371	9819	-1	21	ËÉÆÖÒ»×å	Ä»¸®Ö®Íõ×¦ÑÀ	198	152	18	300619	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
1	1	18801	-1	21	¾ÅÖÝÄ¾Ñý		39.735294	29.642471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
2	2	18801	-1	21	¾ÅÖÝÄ¾Ñý		39.835294	29.542471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
3	3	18801	-1	21	¾ÅÖÝÄ¾Ñý		38.735294	29.642471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
4	4	18801	-1	21	¾ÅÖÝÄ¾Ñý		38.735294	30.642471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
5	5	18801	-1	21	¾ÅÖÝÄ¾Ñý		38.735294	28.642471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
6	6	18801	-1	21	¾ÅÖÝÄ¾Ñý		39.735294	30.642471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
7	7	18801	-1	21	¾ÅÖÝÄ¾Ñý		39.735294	28.642471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
8	8	18801	-1	21	¾ÅÖÝÄ¾Ñý		40.735294	29.642471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
9	9	18801	-1	21	¾ÅÖÝÄ¾Ñý		40.735294	30.642471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
10	10	18801	-1	21	¾ÅÖÝÄ¾Ñý		40.735294	28.642471	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
11	11	18801	-1	21	¾ÅÖÝÄ¾Ñý		33.502998	49.987148	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
12	12	18801	-1	21	¾ÅÖÝÄ¾Ñý		33.602998	49.887148	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
13	13	18801	-1	21	¾ÅÖÝÄ¾Ñý		32.502998	49.987148	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
14	14	18801	-1	21	¾ÅÖÝÄ¾Ñý		32.502998	50.987148	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
15	15	18801	-1	21	¾ÅÖÝÄ¾Ñý		32.502998	48.987148	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
16	16	18801	-1	21	¾ÅÖÝÄ¾Ñý		33.502998	50.987148	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
17	17	18801	-1	21	¾ÅÖÝÄ¾Ñý		33.502998	48.987148	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
18	18	18801	-1	21	¾ÅÖÝÄ¾Ñý		34.502998	49.987148	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
19	19	18801	-1	21	¾ÅÖÝÄ¾Ñý		34.502998	50.987148	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
20	20	18801	-1	21	¾ÅÖÝÄ¾Ñý		34.502998	48.987148	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
21	21	18801	-1	21	¾ÅÖÝÄ¾Ñý		95.603302	34.465897	0	300640	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	115	0	
