NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2603	133000	-1	敦煌马场	敦煌王国传送人	226	124.5	18	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
1	15052378	2318	133007	-1	岱钦	卫国将军	221.963333	127.739655	15	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
2	15052379	2403	133008	-1	卫兵		224.399323	127.965416	17	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
3	15052381	2403	133009	-1	卫兵		223.001801	130.060364	13	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
4	15052382	2403	133010	-1	卫兵		240.607758	129.88826	14	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
5	15052383	2403	133011	-1	卫兵		219.110489	117.602272	18	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
6	15052384	2403	133012	-1	卫兵		240.256653	120.019722	21	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
7	15052386	2403	133013	-1	卫兵		236.790817	114.176163	25	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
8	15052387	2403	133014	-1	卫兵		227.406357	118.714645	26	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
9	15052388	2403	133015	-1	卫兵		227.655075	131.382034	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	7298054	6806	-1	21	探马[10级]	雪隼部落	210.105743	85.019814	27	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
11	7298062	6806	-1	21	探马[10级]	雪隼部落	210.105743	85.019814	29	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
12	7298064	6806	-1	21	探马[10级]	雪隼部落	210.105743	85.019814	31	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
13	7298072	6806	-1	21	探马[10级]	雪隼部落	210.105743	85.019814	33	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
14	7298077	6806	-1	21	探马[10级]	雪隼部落	210.105743	85.019814	0	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	10	0	
