NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
编号	随机编号	attr编号	逻辑表编号	阵营编号	名称	称号	x轴坐标	z轴坐标	朝向	脚本编号	重生时间	分组编号	队伍编号	基础AI	AI文件	巡逻路径	商店0	商店1	商店2	商店3	名誉ID	等级	镜像组
0	15052370	2601	127500	-1	天山古道	天山王国传送人	94	141.699997	1	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
1	15052372	2401	127502	-1	天山戍边军		93.555283	135.292099	28	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
2	15052374	2401	127504	-1	天山戍边军		90.882637	138.197342	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
3	15052379	2401	127507	-1	天山戍边军		113.066978	126.845428	27	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
4	15052380	2401	127508	-1	天山戍边军		113.001846	136.125153	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
5	15052381	63	127509	-1	曹布德	牧民女子	80.561218	145.00441	24	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
6	15052382	88	127510	-1	浩吉格日	牧民	93.813499	159.255203	25	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
7	15052386	2401	127511	-1	天山戍边军		115.610077	40.964588	17	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
8	15052387	2401	127512	-1	天山戍边军		104.733246	46.227589	35	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
9	15052388	2401	127513	-1	天山戍边军		108.746674	39.159267	35	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
10	15052389	2401	127514	-1	天山戍边军		117.11377	16.937246	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
11	15052391	2401	127516	-1	天山戍边军		112.432732	48.437042	16	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
12	15052392	2401	127517	-1	天山戍边军		129.769455	208.4655	3	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
13	15052393	2401	127518	-1	天山戍边军		132.634796	213.253555	3	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
14	15052394	2401	127519	-1	天山戍边军		135.909073	198.106873	21	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
15	15052395	2401	127520	-1	天山戍边军		126.942993	203.614517	3	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
16	15052396	2401	127521	-1	天山戍边军		141.379807	207.317932	21	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
17	15052397	2401	127522	-1	天山戍边军		138.439407	202.510071	21	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
18	15052398	37	127523	-1	阿日斯兰	村长	205.949188	85.190697	16	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
19	15052399	71	127524	-1	扎娜	村长女儿	204.806427	86.462372	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
20	15052400	62	127525	-1	伊日毕斯	牧民	207.315323	69.53035	32	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
21	15052401	93	127526	-1	孛日帖赤那	牧民	212.510452	78.967491	13	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
22	15052402	87	127527	-1	查干巴日	牧民	201.724335	77.969528	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
23	15052411	72	127533	-1	米妮娅	灵女首领	203.831375	231.39386	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
24	15052412	73	127534	-1	侍女		198.207932	231.928589	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
25	15052413	73	127535	-1	侍女		198.640808	224.333649	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
26	15052414	73	127536	-1	侍女		209.114777	232.05304	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
27	15052415	73	127537	-1	侍女		209.289841	224.650543	9	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
28	15052416	2373	-1	21	灵女		211.998001	191.486847	18	-1	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
29	15052417	2373	-1	21	灵女		208.154388	208.865173	18	-1	10000	-1	-1	6	0	0	-1	-1	-1	-1	-1	40	0	
30	15052418	2373	-1	21	灵女		185.591476	201.330643	0	-1	10000	-1	-1	6	0	1	-1	-1	-1	-1	-1	40	0	
31	15052419	2373	-1	21	灵女		193.02977	199.140991	9	-1	10000	-1	-1	6	0	2	-1	-1	-1	-1	-1	40	0	
32	15052420	2373	-1	21	灵女		208.373535	199.750244	9	-1	10000	-1	-1	6	0	3	-1	-1	-1	-1	-1	40	0	
33	15052421	2373	-1	21	灵女		189.718002	191.150467	0	-1	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
34	15052422	2373	-1	21	灵女		189.513794	194.179337	0	-1	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
35	15052423	2373	-1	21	灵女		189.78833	197.395416	0	-1	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
36	15052424	2373	-1	21	灵女		211.952377	197.810349	18	-1	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
37	15052425	2373	-1	21	灵女		211.963181	194.46283	18	-1	10000	-1	-1	6	0	-1	-1	-1	-1	-1	-1	40	0	
38	15052403	166	-1	20	   		210.030487	80.788506	13	-1	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	40	0	
39	15052404	166	-1	20	   		208.820511	66.423759	32	-1	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	40	0	
40	15052405	166	-1	20	   		204.603729	89.472832	13	-1	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	40	0	
41	15052376	2332	-1	20	  		98.322357	130.114182	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
42	15052377	2332	-1	20	  		93.303177	129.553162	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
43	15052427	166	-1	20	  		150.064072	60.588326	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
44	15052428	166	-1	20	  		146.332336	63.612865	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
45	15052429	166	-1	20	  		151.12822	62.567162	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
46	15052430	166	-1	20	  		148.182114	64.049011	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
47	15052431	166	-1	20	  		149.236252	63.203903	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
48	15052432	166	-1	20	  		147.95993	60.034599	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
49	15052384	166	-1	20	   		77.870667	147.442856	2	-1	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	40	0	
50	15052385	166	-1	20	   		74.88652	144.734985	0	-1	10000	-1	-1	2	0	-1	-1	-1	-1	-1	-1	40	0	
51	15052448	2339	-1	21	黄脊虎		217.351425	122.669685	0	-1	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	40	0	
52	15052449	2339	-1	21	黄脊虎		225.473145	118.463486	0	-1	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	40	0	
53	15052450	2339	-1	21	黄脊虎		231.620102	123.162239	0	-1	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	40	0	
54	15052451	2339	-1	21	黄脊虎		211.0793	116.261314	0	-1	10000	-1	-1	4	0	-1	-1	-1	-1	-1	-1	40	0	
55	15052454	2368	-1	21	天山冥狐		163.533569	31.037939	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
56	15052457	2368	-1	21	天山冥狐		164.757141	31.792656	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
57	15052461	2368	-1	21	天山冥狐		164.757141	31.792656	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
58	15052471	2368	-1	21	天山冥狐		202.163361	51.021244	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
59	15052476	2368	-1	21	天山冥狐		207.470139	41.424141	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
60	15052477	2368	-1	21	天山冥狐		220.820786	55.46994	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
61	15052480	2368	-1	21	天山冥狐		210.488083	27.557724	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
62	15052486	2368	-1	21	天山冥狐		170.468124	50.234413	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
63	15052490	2368	-1	21	天山冥狐		170.468124	50.234413	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
64	15052491	2368	-1	21	天山冥狐		180.375366	67.572609	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
65	15052520	2368	-1	21	天山冥狐		216.343033	160.710312	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
66	15052524	2368	-1	21	天山冥狐		191.123734	165.042938	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
67	15052526	2368	-1	21	天山冥狐		191.365997	166.366547	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
68	15052532	2368	-1	21	天山冥狐		140.288589	94.855553	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
69	15052538	2368	-1	21	天山冥狐		160.715317	100.122894	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
70	15052544	2368	-1	21	天山冥狐		177.446762	91.176041	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
71	15052563	2368	-1	21	天山冥狐		166.414246	125.224701	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
72	15052565	2368	-1	21	天山冥狐		150.380234	117.403	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
73	15052577	2368	-1	21	天山冥狐		178.699112	141.417221	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
74	15052614	2338	-1	21	天山狼		44.282352	36.309307	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
75	15052618	2338	-1	21	天山狼		45.593555	37.30336	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
76	15052621	2338	-1	21	天山狼		66.689835	25.719727	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
77	15052624	2338	-1	21	天山狼		68.707741	25.663368	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
78	15052625	2338	-1	21	天山狼		69.615944	24.346689	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
79	15052633	2338	-1	21	天山狼		68.429749	49.319969	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
80	15052637	2338	-1	21	天山狼		37.803944	66.99453	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
81	15052640	2338	-1	21	天山狼		39.50248	66.006096	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
82	15052644	2338	-1	21	天山狼		57.646854	74.102745	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
83	15052646	2338	-1	21	天山狼		59.211769	72.713577	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
84	15052648	2338	-1	21	天山狼		59.018852	73.094582	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
85	15052659	2338	-1	21	天山狼		58.261681	104.641884	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
86	15052660	2338	-1	21	天山狼		59.216366	102.009155	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
87	15052689	2338	-1	21	天山狼		64.460899	159.322998	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
88	15052690	2338	-1	21	天山狼		64.293091	159.989059	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
89	15052691	2338	-1	21	天山狼		65.467995	160.764923	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
90	15052696	2338	-1	21	天山狼		34.997383	177.590836	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
91	15052698	2338	-1	21	天山狼		38.259991	176.120743	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
92	15052703	2338	-1	21	天山狼		66.422119	185.608154	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
93	15052704	2338	-1	21	天山狼		65.878052	186.018784	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
94	15052705	2338	-1	21	天山狼		67.23954	185.980484	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
95	15052709	2338	-1	21	天山狼		90.667511	194.561508	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
96	15052711	2338	-1	21	天山狼		92.246033	194.066589	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
97	15052720	2338	-1	21	天山狼		105.334373	209.969437	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
98	15052725	2338	-1	21	天山狼		37.610157	199.904984	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
99	15052726	2338	-1	21	天山狼		36.870625	199.811935	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
100	15052727	2338	-1	21	天山狼		37.914082	201.181351	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
101	15052733	2338	-1	21	天山狼		58.375786	218.115448	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
102	15052737	2338	-1	21	天山狼		80.375633	210.620636	0	-1	10000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	40	0	
103	15052740	2401	127511	-1	天山士卒		98.557465	131.219376	35	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
104	15052747	363	-1	20	 		76.132401	146.104996	4	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
105	15052750	1466	-1	20	 		80.328888	147.744507	8	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
106	15052751	1441	-1	20	  		77.085739	143.011154	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
107	15052756	1165	-1	20	  		90.785156	163.958511	32	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
108	15052759	666	-1	20	  		91.851051	166.145187	4	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
109	15052762	667	-1	20	  		95.045876	163.859299	8	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
110	15052766	2401	127520	-1	天山士卒		95.149002	120.905884	7	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
111	15052768	213	127501	-1	忽察	天山将军	92.688332	137.236664	32	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
112	15052786	57	127540	-1	吾依古尔	皮货商人	94.370865	148.485077	4	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
113	15052790	38	127541	-1	沙木沙克	玉石商人	94.400055	132.133743	28	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
114	15052804	1155	-1	20	 		208.21759	69.641106	24	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
115	15052806	61	127545	-1	塔吉古丽	村长女儿	206.405594	70.905373	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
116	15052807	166	-1	-1	  	 	152.680237	62.278923	0	-1	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	40	0	
117	8921579	207	129720	17	国昭	王国召集人	204.850296	132.62973	18	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
118	8921579	9779	129747	20	屠城战传送石		22	29	32	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
119	8921579	9779	129748	20	屠城战传送石		69	228	9	-1	30000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
120	5791262	2352	128515	-1	佐盛伊	中转商	97	124	0	-1	1000	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	40	0	
121	15052811	1320	101537	-1	前往王国迷宫二层	王国迷宫传送	172.699997	111	21	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
122	15052374	1320	127561	20	狩龙	龙魂密探	85	170	0	0	10000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	60	0	
