NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
±àºÅ	Ëæ»ú±àºÅ	attr±àºÅ	Âß¼­±í±àºÅ	ÕóÓª±àºÅ	Ãû³Æ	³ÆºÅ	xÖá×ø±ê	zÖá×ø±ê	³¯Ïò	½Å±¾±àºÅ	ÖØÉúÊ±¼ä	·Ö×é±àºÅ	¶ÓÎé±àºÅ	»ù´¡AI	AIÎÄ¼þ	Ñ²ÂßÂ·¾¶	ÉÌµê0	ÉÌµê1	ÉÌµê2	ÉÌµê3	ÃûÓþID	µÈ¼¶	¾µÏñ×é
0	15052370	2601	128067	-1	ÌìÉ½ÁÔ³¡	ÌìÉ½Íõ¹ú´«ËÍÈË	57	71	29	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
1	15052371	11992	128000	-1	ÐÛÓ¥³¤ÀÏ	ÌìÉ½ÏÈÏÍ	50.70816	81.144043	35	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
2	15052372	12000	128001	-1	ÖÇÕß¹þ´ï		60.278099	70.797203	25	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
3	15052373	11980	128002	-1	µ¶Ö®Áé		90.363792	127.737991	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
4	15052374	11981	128003	-1	½£Ö®Áé		95.320389	131.089905	16	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
5	15052375	11982	128004	-1	Ç¹Ö®Áé		101.180649	133.203766	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
6	15052376	11983	128005	-1	¹­Ö®Áé		107.79718	132.908005	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
7	15052377	11984	128006	-1	é³Ö®Áé		113.57933	130.846344	20	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
8	15052378	11985	128007	-1	ÕÈÖ®Áé		117.720581	126.793564	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
9	15052379	11986	128008	-1	Ã¬Ö®Áé		117.696442	116.768616	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
10	15052380	11987	128009	-1	ÁîÖ®Áé		113.252609	114.167526	24	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
11	15052381	11988	128010	-1	åóÖ®Áé		107.380066	112.78656	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
12	15052382	11989	128011	-1	ï¥Ö®Áé		101.338013	112.785889	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
13	15052383	11990	128012	-1	á¦Ö®Áé		95.766716	114.811539	28	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
14	15052384	11991	128013	-1	Ê¥Ê®×ÖÖ®Áé		90.61097	117.428055	32	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
15	15052385	11994	128014	-1	²ÔÀÇ³¤ÀÏ	ÌìÉ½ÏÈÏÍ	94.309845	122.979584	15	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
16	15052386	11995	128015	-1	Ä¾Í¼	°×Â¹³¤ÀÏµÄËæ´Ó	166.297226	87.94371	29	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
17	15052387	11996	128016	-1	°×Â¹³¤ÀÏ	ÌìÉ½ÏÈÏÍ	180.481018	108.53183	8	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
18	15052389	11960	128018	-1	ÌúÎä	ÐÂ±ø¾üÐè¹Ù	120	206	8	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
19	15052391	11960	128026	-1	ÌúÁ¦	ÐÂ±ø½Ì¹Ù	115	202	4	-1	1000	-1	-1	3	0	-1	-1	-1	-1	-1	-1	20	0	
20	8699010	11971	-1	21	²ÝÔ­ÀÇ		206.67012	63.48518	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
21	8699013	11971	-1	21	²ÝÔ­ÀÇ		104.344673	66.749901	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
22	8699014	11971	-1	21	²ÝÔ­ÀÇ		145.740295	42.888748	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
23	8699017	11971	-1	21	²ÝÔ­ÀÇ		119.102234	32.455597	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	6	0	
24	8699019	11971	-1	21	²ÝÔ­ÀÇ		190.744675	71.413078	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
25	8699024	11971	-1	21	²ÝÔ­ÀÇ		209.366058	45.665646	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	6	0	
26	8699028	11971	-1	21	²ÝÔ­ÀÇ		185.569183	54.364239	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
27	8699031	11971	-1	21	²ÝÔ­ÀÇ		131.277344	51.311928	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
28	8699032	11971	-1	21	²ÝÔ­ÀÇ		143.287064	29.854805	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
29	8699034	11971	-1	21	²ÝÔ­ÀÇ		158.601471	33.602783	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
30	8699037	11971	-1	21	²ÝÔ­ÀÇ		166.526886	47.055664	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
31	8699045	11971	-1	21	²ÝÔ­ÀÇ		115.691322	77.059509	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
32	8699049	11971	-1	21	²ÝÔ­ÀÇ		120.613991	75.484131	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
33	8699050	11971	-1	21	²ÝÔ­ÀÇ		193.288193	63.867306	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
34	8699052	11971	-1	21	²ÝÔ­ÀÇ		109.974632	63.762894	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
35	8699057	11971	-1	21	²ÝÔ­ÀÇ		120.042206	65.657082	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
36	8699062	11971	-1	21	²ÝÔ­ÀÇ		134.500824	82.256813	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
37	8699064	11971	-1	21	²ÝÔ­ÀÇ		96.649017	65.14254	16	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	6	0	
38	8699068	11971	-1	21	²ÝÔ­ÀÇ		138.123291	51.053532	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
39	8699070	11971	-1	21	²ÝÔ­ÀÇ		109.781883	27.03665	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	6	0	
40	8699075	11971	-1	21	²ÝÔ­ÀÇ		135.910324	34.195068	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
41	8699104	11971	-1	21	²ÝÔ­ÀÇ		119.285767	43.990265	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
42	8699109	11971	-1	21	²ÝÔ­ÀÇ		103.190498	57.955463	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
43	8699111	11971	-1	21	²ÝÔ­ÀÇ		155.067047	41.722206	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	6	0	
44	8699114	11971	-1	21	²ÝÔ­ÀÇ		142.858887	67.666237	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
45	8699115	11971	-1	21	²ÝÔ­ÀÇ		180.570679	65.905678	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
46	8699116	11971	-1	21	²ÝÔ­ÀÇ		211.801483	36.698586	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
47	8699144	11971	-1	21	²ÝÔ­ÀÇ		159.372269	48.182571	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
48	8699146	11971	-1	21	²ÝÔ­ÀÇ		128.852936	43.796398	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
49	8699151	11971	-1	21	²ÝÔ­ÀÇ		211.277145	29.507969	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
50	8699153	11971	-1	21	²ÝÔ­ÀÇ		107.593246	38.429237	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
51	8699155	11971	-1	21	²ÝÔ­ÀÇ		113.811325	59.954273	16	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
52	8699174	11971	-1	21	²ÝÔ­ÀÇ		155.930923	26.681211	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
53	8699187	11971	-1	21	²ÝÔ­ÀÇ		143.473083	36.739796	18	-1	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	6	0	
54	8699189	11971	-1	21	²ÝÔ­ÀÇ		213.364304	63.821411	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
55	8699191	11971	-1	21	²ÝÔ­ÀÇ		149.372131	24.805927	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
56	8699194	11971	-1	21	²ÝÔ­ÀÇ		113.511368	40.865379	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
57	8699198	11971	-1	21	²ÝÔ­ÀÇ		121.891579	38.365822	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
58	8699201	11971	-1	21	²ÝÔ­ÀÇ		149.940735	35.39954	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
59	8699203	11971	-1	21	²ÝÔ­ÀÇ		223.497391	41.29491	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
60	8699205	11971	-1	21	²ÝÔ­ÀÇ		220.513916	35.538143	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
61	8699215	11971	-1	21	²ÝÔ­ÀÇ		216.42305	78.582298	18	-1	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
62	15052545	11971	-1	21	²ÝÔ­ÀÇ		128.110641	35.509033	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
63	15052546	11971	-1	21	²ÝÔ­ÀÇ		114.322762	33.774689	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
64	15052547	11971	-1	21	²ÝÔ­ÀÇ		215.576477	41.278194	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
65	15052548	11971	-1	21	²ÝÔ­ÀÇ		142.61647	87.335419	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
66	15052549	11971	-1	21	²ÝÔ­ÀÇ		134.515549	89.516602	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
67	15052550	11971	-1	21	²ÝÔ­ÀÇ		218.462204	27.824003	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
68	15052551	11971	-1	21	²ÝÔ­ÀÇ		142.585907	92.398315	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
69	15052552	11971	-1	21	²ÝÔ­ÀÇ		101.709915	75.980385	0	0	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	6	0	
70	15052553	11971	-1	21	²ÝÔ­ÀÇ		127.939392	67.714325	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
71	15052554	11971	-1	21	²ÝÔ­ÀÇ		125.786629	84.050117	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
72	15052555	11971	-1	21	²ÝÔ­ÀÇ		222.131744	22.585274	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
73	15052556	11971	-1	21	²ÝÔ­ÀÇ		224.674759	30.169287	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
74	15052557	11971	-1	21	²ÝÔ­ÀÇ		173.433563	69.340546	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
75	15052558	11971	-1	21	²ÝÔ­ÀÇ		217.809418	71.296204	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
76	15052559	11971	-1	21	²ÝÔ­ÀÇ		167.099274	72.875343	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
77	15052560	11971	-1	21	²ÝÔ­ÀÇ		129.60556	71.658356	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
78	15052561	11971	-1	21	²ÝÔ­ÀÇ		172.230698	63.206741	0	0	1000	-1	-1	1	0	-1	-1	-1	-1	-1	-1	6	0	
79	15052562	11971	-1	21	²ÝÔ­ÀÇ		228.573959	25.285391	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
80	15052563	11971	-1	21	²ÝÔ­ÀÇ		204.900208	74.242432	0	0	1000	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	6	0	
